Desc	Family ID	Anas	Gallus	Columba
(null)	cluster712	1	1	2
(null)	cluster713	2	0	2
(null)	cluster714	2	1	1
(null)	cluster715	1	2	1
(null)	cluster716	1	1	2
(null)	cluster717	1	1	2
(null)	cluster718	1	1	2
(null)	cluster719	2	1	1
(null)	cluster720	2	1	1
(null)	cluster721	1	1	2
(null)	cluster722	2	1	1
(null)	cluster723	1	2	1
(null)	cluster724	1	2	1
(null)	cluster725	1	0	3
(null)	cluster726	1	1	2
(null)	cluster727	2	1	1
(null)	cluster728	1	1	2
(null)	cluster729	2	1	1
(null)	cluster730	2	0	2
(null)	cluster731	2	1	1
(null)	cluster732	1	0	3
(null)	cluster733	3	1	0
(null)	cluster734	1	2	1
(null)	cluster735	1	2	1
(null)	cluster736	1	2	1
(null)	cluster737	2	1	1
(null)	cluster738	2	1	1
(null)	cluster739	1	1	2
(null)	cluster740	2	1	1
(null)	cluster741	1	1	2
(null)	cluster742	1	1	2
(null)	cluster743	2	1	1
(null)	cluster744	2	1	1
(null)	cluster745	1	1	2
(null)	cluster746	1	1	2
(null)	cluster747	1	1	2
(null)	cluster748	2	1	1
(null)	cluster749	1	1	2
(null)	cluster750	1	2	1
(null)	cluster751	1	1	2
(null)	cluster752	2	1	1
(null)	cluster753	1	2	1
(null)	cluster754	2	1	1
(null)	cluster755	2	1	1
(null)	cluster756	1	1	2
(null)	cluster757	1	2	1
(null)	cluster758	1	2	1
(null)	cluster759	2	1	1
(null)	cluster760	2	1	1
(null)	cluster761	1	1	2
(null)	cluster762	2	1	1
(null)	cluster763	2	1	1
(null)	cluster764	2	1	1
(null)	cluster765	1	0	3
(null)	cluster766	2	1	1
(null)	cluster767	1	1	2
(null)	cluster768	1	2	1
(null)	cluster769	2	1	1
(null)	cluster770	2	1	1
(null)	cluster771	2	1	1
(null)	cluster772	1	2	1
(null)	cluster773	2	1	1
(null)	cluster774	1	1	2
(null)	cluster775	2	1	1
(null)	cluster776	2	1	1
(null)	cluster777	1	2	1
(null)	cluster778	2	0	2
(null)	cluster779	1	2	1
(null)	cluster780	2	1	1
(null)	cluster781	2	1	1
(null)	cluster782	2	1	1
(null)	cluster783	1	1	2
(null)	cluster784	2	1	1
(null)	cluster785	1	2	1
(null)	cluster786	1	1	2
(null)	cluster787	1	1	2
(null)	cluster788	2	1	1
(null)	cluster789	1	1	2
(null)	cluster790	1	1	2
(null)	cluster791	1	1	2
(null)	cluster792	1	2	1
(null)	cluster793	1	1	2
(null)	cluster794	1	1	2
(null)	cluster795	1	2	1
(null)	cluster796	0	2	2
(null)	cluster797	0	2	2
(null)	cluster798	0	0	4
(null)	cluster799	0	1	3
(null)	cluster800	0	3	1
(null)	cluster801	0	1	3
(null)	cluster802	0	3	1
(null)	cluster803	0	1	3
(null)	cluster804	0	1	3
(null)	cluster805	0	2	2
(null)	cluster806	0	3	1
(null)	cluster807	0	1	3
(null)	cluster808	0	1	3
(null)	cluster809	0	1	3
(null)	cluster810	0	4	0
(null)	cluster811	1	1	1
(null)	cluster812	2	0	1
(null)	cluster813	1	1	1
(null)	cluster814	1	1	1
(null)	cluster815	1	1	1
(null)	cluster816	1	1	1
(null)	cluster817	1	1	1
(null)	cluster818	1	1	1
(null)	cluster819	1	1	1
(null)	cluster820	1	1	1
(null)	cluster821	1	1	1
(null)	cluster822	1	1	1
(null)	cluster823	1	1	1
(null)	cluster824	1	1	1
(null)	cluster825	1	1	1
(null)	cluster826	1	1	1
(null)	cluster827	1	1	1
(null)	cluster828	1	1	1
(null)	cluster829	1	1	1
(null)	cluster830	1	1	1
(null)	cluster831	1	1	1
(null)	cluster832	1	1	1
(null)	cluster833	1	1	1
(null)	cluster834	1	0	2
(null)	cluster835	1	1	1
(null)	cluster836	1	1	1
(null)	cluster837	1	1	1
(null)	cluster838	1	1	1
(null)	cluster839	1	1	1
(null)	cluster840	1	1	1
(null)	cluster841	1	0	2
(null)	cluster842	1	1	1
(null)	cluster843	2	1	0
(null)	cluster844	2	0	1
(null)	cluster845	1	1	1
(null)	cluster846	1	1	1
(null)	cluster847	1	1	1
(null)	cluster848	1	1	1
(null)	cluster849	1	1	1
(null)	cluster850	1	1	1
(null)	cluster851	1	1	1
(null)	cluster852	1	1	1
(null)	cluster853	1	1	1
(null)	cluster854	1	1	1
(null)	cluster855	1	1	1
(null)	cluster856	1	1	1
(null)	cluster857	1	1	1
(null)	cluster858	1	1	1
(null)	cluster859	1	1	1
(null)	cluster860	1	1	1
(null)	cluster861	1	1	1
(null)	cluster862	1	1	1
(null)	cluster863	1	1	1
(null)	cluster864	1	1	1
(null)	cluster865	1	1	1
(null)	cluster866	2	0	1
(null)	cluster867	1	1	1
(null)	cluster868	1	1	1
(null)	cluster869	1	1	1
(null)	cluster870	1	1	1
(null)	cluster871	1	1	1
(null)	cluster872	1	1	1
(null)	cluster873	1	1	1
(null)	cluster874	1	1	1
(null)	cluster875	1	1	1
(null)	cluster876	2	0	1
(null)	cluster877	1	1	1
(null)	cluster878	1	1	1
(null)	cluster879	1	1	1
(null)	cluster880	1	1	1
(null)	cluster881	1	1	1
(null)	cluster882	2	0	1
(null)	cluster883	1	1	1
(null)	cluster884	1	0	2
(null)	cluster885	1	1	1
(null)	cluster886	1	1	1
(null)	cluster887	1	1	1
(null)	cluster888	1	1	1
(null)	cluster889	3	0	0
(null)	cluster890	1	1	1
(null)	cluster891	1	1	1
(null)	cluster892	1	1	1
(null)	cluster893	1	1	1
(null)	cluster894	1	1	1
(null)	cluster895	2	1	0
(null)	cluster896	1	1	1
(null)	cluster897	1	1	1
(null)	cluster898	1	1	1
(null)	cluster899	1	1	1
(null)	cluster900	1	1	1
(null)	cluster901	1	1	1
(null)	cluster902	1	1	1
(null)	cluster903	1	1	1
(null)	cluster904	1	1	1
(null)	cluster905	1	1	1
(null)	cluster906	1	1	1
(null)	cluster907	1	1	1
(null)	cluster908	2	1	0
(null)	cluster909	1	1	1
(null)	cluster910	1	1	1
(null)	cluster911	1	1	1
(null)	cluster912	1	1	1
(null)	cluster913	1	1	1
(null)	cluster914	1	1	1
(null)	cluster915	1	1	1
(null)	cluster916	1	1	1
(null)	cluster917	1	1	1
(null)	cluster918	1	1	1
(null)	cluster919	1	1	1
(null)	cluster920	1	1	1
(null)	cluster921	1	1	1
(null)	cluster922	1	1	1
(null)	cluster923	1	1	1
(null)	cluster924	1	1	1
(null)	cluster925	1	1	1
(null)	cluster926	1	1	1
(null)	cluster927	1	1	1
