KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Metabolism	Lipid metabolism	12	A0A8V0YKA1;P11602;A0A8V0X637;A0A8V0XXM5;A0A8V0YJV4;A0A8V0WZN3;A0A8V0YZJ3;A0A8V0XWZ8;A0A8V1A6U2;A0A8V0Z1C5;A0A8V1A0M8;A0A1D5P1F1
Metabolism	Metabolism of cofactors and vitamins	5	A0A8V0YKA1;A0A8V0ZG46;A0A3Q2UEL1;A0A8V0YJV4;A0A1L1RSD2
Metabolism	Metabolism of other amino acids	4	A0A8V1A0M8;A0A8V1AHJ8;A0A8V0ZIZ5;E1BYF1
Metabolism	Metabolism of terpenoids and polyketides	1	A0A8V1AK88
Metabolism	Nucleotide metabolism	5	A0A8V1A9L3;A0A8V0ZWX9;A0A8V0ZG46;A0A8V1A4P2;A0A8V0YC57
Metabolism	Xenobiotics biodegradation and metabolism	3	A0A8V0Y9F8;A0A1L1RSD2;A0A8V1AHJ8
Organismal Systems	Aging	3	A0A8V1AHJ8;A0A8V0Y7Y9;A0A8V0X7F0
Organismal Systems	Circulatory system	5	A0A8V0XB58;A0A8V0ZY91;A0A8V0ZX85;A0A8V1ABC9;A0A8V0XYR2
Organismal Systems	Development and regeneration	18	A0A8V0Y0V1;A0A8V1AG56;A0A8V0Z8V4;A0A8V0ZDU4;A0A8V0XB58;A0A1D5PBU5;A0A8V0ZKS6;Q0PVE4;A0A8V0ZB91;A0A8V0ZNY6;A0A1D5NW03;A0A3Q3A4U3;A0A8V1ACD6;A0A8V1ABC9;A0A8V0ZPH9;A0A8V0YRG2;A0A8V0ZEJ3;A0A8V1A8M1
Organismal Systems	Digestive system	18	A0A8V0X783;P11602;A0A8V0XB58;A0A8V0ZLV3;A0A8V1AFR2;A0A8V0ZY91;A0A8V0YEZ4;A0A8V0ZRU9;A0A8V0YLT1;A0A8V0ZX85;A0A8V1ABC9;A0A1D5PE57;A0A8V0YA97;P01875;A0A8V0ZMD5;A0A8V0XXK8;A0A8V0Z249;P02460
Organismal Systems	Endocrine system	23	A0A8V1AG56;P11602;A0A8V0ZI29;A0A8V1A9A7;A0A8V0YEZ4;A0A8V0XUJ8;A0A8V0XYR2;A0A8V0YC57;A0A8V0ZX85;A0A1D5PE57;A0A8V1A7R0;A0A8V0Y4Q2;A0A8V0XB58;A0A8V0XA92;A0A8V0YDG8;A0A8V1ABC9;A0A1D5PLP1;A0A8V0ZKI8;Q05744;A0A8V1AB67;A0A8V1AJV5;A0A8V0Z4M1;P01875
Organismal Systems	Environmental adaptation	2	A0A8V0XB58;A0A8V1ABC9
Organismal Systems	Excretory system	8	A0A1D5PCU0;A0A8V0ZZU1;A0A8V0XK27;A0A8V0YLT1;A0A8V0ZX85;A0A8V0Z9Y8;Q5ZHL0;A0A8V1ABC9
Organismal Systems	Immune system	38	A0A1D5PZV7;A0A8V1A2P5;A0A8V0Y4R7;A0A8V1A8R6;A0A8V0XEJ0;A0A8V0ZEJ3;E1C9E0;A0A8V0ZSG8;A0A8V1A8N2;A0A8V1AM71;A0A8V1ABC8;A0A8V0ZQS2;E1C733;A0A8V1AKH4;A0A8V0X852;A0A8V0YRF2;A0A1D5PE57;A0A8V1A7R0;A0A1D5P1F1;A0A8V0XL71;A0A8V1AAH7;A0A8V1AJ90;A0A8V0Y7Y9;A0A8V1AA32;Q5ZJ58;A0A1D5PNL3;A0A1D5NWP2;A0A8V1ABC9;A0A8V0YSI0;A0A8V0XA34;A0A8V0X8D5;A0A8V0XDT2;A0A8V1AFH0;A0A8V1A9R2;A0A8V0ZDZ5;A0A8V0ZTG6;P01875;A0A8V0YFD4
Organismal Systems	Nervous system	8	A0A1D5PCU0;A0A8V0XB58;A0A8V0Y7Y9;A0A8V1AB67;A0A8V0ZY91;A0A8V1ABC9;A0A8V0Z9Y8;Q5ZHL0
Organismal Systems	Sensory system	2	A0A8V0XB58;A0A8V1ABC9
