KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Metabolism	Amino acid metabolism	38	A0A8V0X3M7;A0A1D5PNB8;A0A1D5PXH4;A0A8V0Z4R1;A0A8V0Y492;A0A8V0ZT56;P00337;A0A8V0ZHL4;A0A8V0XVT5;A0A8V0X2T8;A0A8V0X9K8;Q5ZLN1;A0A1D5NY06;E1BYF1;A0A1L1RIY4;P05122;A0A1D5PQV3;A0A8V0ZJT8;A0A8V1A1S6;Q5F3M8;A0A8V1AKL9;A0A8V1ABW1;A0A8V0XM35;E1BTT8;A0A8V0ZTF7;A0A8V0X354;A0A8V0XE68;A0A1D5PL45;A0A8V0Y513;A0A8V0YKJ7;F1NDP5;A0A1D5NT61;E1BVT3;Q5ZJ23;A0A8V0ZV32;A0A8V0XIM8;A0A8V0YB71;A0A8V0XYL0
Metabolism	Biosynthesis of other secondary metabolites	3	A0A8V0ZJD3;A0A8V0XTM2;A0A8V0ZM20
Metabolism	Carbohydrate metabolism	60	A0A8V0ZUI9;A0A8V0XCX4;A0A1D5PHE2;A0A1D5PEH3;A0A1D5PXH4;A0A8V0Y492;A0A8V0ZT56;A0A8V0ZYM1;P00337;A0A8V0YGM0;Q5F3B9;A0A8V0XVT5;P07032;A0A8V1ACH5;A0A8V1AIR0;A0A8V0X9K8;A0A8V0XHN0;A0A8V0ZVS5;A0A8V0XM79;Q5ZMH8;A0A8V0YA67;A0A8V1AMB6;P00356;Q5ZLN1;A0A1D5PQV0;A0A8V0ZM20;A0A1D5P9I3;A0A8V0ZAI6;E1BVD1;A0A1D5PQV3;A0A8V0ZTG8;A0A8V1A4P2;A0A1L1RSD2;Q5F3M8;A0A8V0Z0B1;A0A8V1AKL9;A0A1D5PD70;A0A8V0ZWH3;A0A8V1ABW1;A0A8V0ZLV3;A0A8V0YKA1;A0A1D5P8I7;E1BTT8;Q5ZJ58;A0A8V0YZJ3;E1BSN7;A0A8V0XE68;A0A8V0Z832;A0A8V0YHD4;A0A1L1RZK1;A0A1D5NWL4;A0A8V1A5Y9;E1BVT3;A0A1D5PC23;A0A8V0X6I8;A0A8V0YJV4;A0A8V0XIM8;A0A8V0YBE2;A0A8V0XMD4;A0A8V0ZQS2
Metabolism	Energy metabolism	51	A0A1D5PCU0;A0A1D5PNM0;A0A3Q2UJ64;A0A8V0ZRZ8;A0A8V1AA37;A0A8V0Z2Y8;A0A8V0YZL1;E1C658;A0A8V1AEM5;A0A8V1A840;A0A8V0XW68;A0A8V0XCD2;A0A8V0X535;A0A8V1A4N7;A0A1D5PP57;A0A8V0Y8W7;A0A1D5P179;A0A8V0YC52;A0A8V0Z863;A0A8V0ZVA2;A0A8V1AH40;F1NIL3;A0A1D5NW93;A0A8V0Y9V7;A0A8V1A3B4;A0A8V0Y6X8;A0A8V1A624;A0A8V0Z7C7;A0A8V0YFF3;A0A8V0Y9X9;A0A8V0X6I3;A0A8V1AAC8;A0A8V0Z382;A0A8V0Y513;A0A8V0ZJD3;F1NDP5;P18944;A0A8V0ZU95;A0A1D5NT61;F1NBW2;A0A8V0ZC01;Q9YH14;A0A8V0XTM2;A0A8V0ZBC9;A0A1D5P0U8;A0A8V0YLT1;A0A8V0YCL9;Q5ZHL0;A0A1D5PN54;R4GGZ2;A0A8V0ZI98
Metabolism	Global and overview maps	219	A0A8V1A9L3;A0A8V0ZWX9;A0A8V0ZRZ8;A0A8V0YBC7;A0A8V0X675;A0A1D5PMU2;A0A8V0Z4R1;A0A8V0Z2Y8;A0A8V0ZT56;P07032;A0A8V0X9K8;A0A1D5PZJ5;A0A8V0ZY61;A0A8V0ZG46;A0A8V0XM79;A0A8V0XAH5;Q5ZLN1;A0A8V0ZAI6;A0A8V0X2C5;A0A8V1A4P2;A0A8V0Y8W7;A0A1D5P179;A0A8V0YEN4;A0A8V0Z0B9;A0A8V0Z0B1;A0A1D5PD70;Q8QFM7;A0A8V0Y9V7;A0A8V1ABW1;A0A8V0Y6X8;A0A8V0XM46;A0A8V1AAC8;A0A8V0Z832;A0A8V0Z382;A0A8V0YYQ9;A0A8V0ZJD3;F1NGB8;A0A8V0XX21;A0A8V0XAV4;Q5ZJ23;A0A8V0ZQS2;A0A8V0ZZL0;P05122;A0A1D5PSI2;A0A1D5PCU0;A0A3Q2UHG8;A0A8V0XCX4;A0A1D5PHE2;A0A8V0XXM5;A0A8V0YP51;A0A8V0XDL7;A0A1D5PK92;P00337;A0A8V0YGM0;A0A8V0XVT5;A0A8V0X2T8;A0A8V0ZI24;A0A8V1A0C2;A0A8V0XHN0;A0A8V0YU69;A0A8V0ZVS5;A0A8V0Z2F8;A0A8V0XW68;A0A8V1AMB6;A0A8V0X637;E1C3Z8;A0A1D5NY06;A0A8V0ZM20;E1BYF1;A0A1D5P9I3;A0A1L1RIY4;A0A8V0ZJT8;A0A1D5PP57;A0A8V0ZXC9;A0A1L1RSD2;E1C2T4;A0A8V1A1S6;A0A8V0Z863;A0A8V0ZVA2;Q5F3M8;A0A8V0ZWC9;A0A8V1AC34;A0A1D5NW93;A0A8V0Z6S1;A0A8V0ZWH3;A0A8V1AK88;A0A1D5PJE0;A0A8V0XM35;A0A1D5P8I7;A0A8V0YZJ3;A0A8V0Z7C7;A0A8V0X354;A0A8V0X868;A0A1D5NWL4;A0A8V0Y513;A0A8V0Y4M6;E1C3J7;F1NDP5;A0A8V0YJV4;A0A8V1ACQ8;A0A8V0YBE2;A0A8V0YLT1;A0A8V1A0M8;P18944;A0A8V0YB71;A0A8V0XE68;A0A8V0XMD4;A0A8V0Z310;O57579;A0A8V0XYL0;A0A8V0ZUI9;A0A1D5PNB8;A0A1D5PEH3;A0A8V0X6H2;A0A8V0Y492;A0A8V0ZYM1;A0A8V0YZL1;A0A8V0ZHL4;Q5F3B9;A0A8V0ZIF0;A0A8V0Y8L6;A0A8V0YC98;A0A8V1AIR0;A0A8V0YC57;A0A8V1A840;A0A8V1AHJ8;F1NB63;A0A8V0XCD2;A0A8V0YA67;Q5ZMH8;P00356;A0A3Q2TSP8;A0A8V0YBU4;A0A8V0X535;A0A8V0YLN5;A0A1D5P9Z1;A0A8V0ZTG8;A0A8V0YC52;A0A8V1AH40;F1NIL3;A0A8V0YKA1;A0A8V1A3B4;A0A8V0ZLV3;A0A8V0XWZ8;A0A8V0YFF3;E1BSN7;A0A8V0Y9X9;F1NC58;A0A8V1AFP1;A0A8V0YKJ7;A0A8V0ZU95;A0A8V0ZC01;E1BVT3;Q9YH14;A0A1D5PC23;A0A8V0X6I8;A0A8V0ZV32;A0A8V0ZFH4;A0A8V0Y6W2;A0A1D5P0U8;A0A8V0ZHZ7;A0A1D5PN54;A0A8V0Z5M1;R4GGZ2;A0A8V0ZI98;A0A1D5PNM0;A0A3Q2UJ64;A0A1D5NWL9;A0A8V1AA37;A0A8V0X3M7;A0A1D5PXH4;A0A8V1ACH5;A0A8V1AJB6;A0A8V0ZR84;A0A1D5PA74;E1C658;A0A8V1AEM5;A0A8V0ZIZ5;A0A8V0ZWH1;A0A8V1AB74;A0A8V1A8C9;A0A8V1A4N7;A0A8V0WZN3;A0A1D5PQV0;E1BVD1;A0A1D5PQV3;A0A8V0Y7C8;A0A8V0XT35;A0A8V0Z1C5;A0A8V0ZYN6;A0A1D5P1F1;A0A8V1AKL9;A0A8V0YS46;A0A8V0WZJ4;A0A8V0ZAL2;A0A8V1A624;E1BTT8;Q5ZJ58;A0A3Q2UEL1;A0A8V1A2F4;O13113;A0A8V0ZBJ8;A0A8V0ZTF7;A0A8V0Z420;A0A8V0X6I3;A0A8V0Y218;A0A1D5PL45;A0A3Q2U7H6;A0A1L1RZK1;A0A1D5NT61;F1NBW2;A0A8V1A5Y9;A0A8V0XTM2;A0A8V0ZBC9;A0A8V0XIM8;A0A8V0YCL9;Q5ZHL0;A0A8V1A102;A0A8V0ZJ84
Metabolism	Glycan biosynthesis and metabolism	46	A0A8V0YBC7;A0A8V0XDL7;A0A8V0XMA2;A0A8V0ZIF0;A0A8V0ZR84;A0A1D5PA74;A0A8V0Y8L6;A0A8V0ZI24;A0A8V0YC98;E1BS94;A0A8V0ZWH1;A0A8V0ZY61;F1NB63;A0A8V1A8C9;A0A8V0Y664;E1C3Z8;A0A8V0YLN5;A0A8V0X2C5;A0A8V0Y7C8;A0A8V0ZXC9;A0A8V0XT35;A0A1L1RSD2;E1C2T4;A0A8V0ZYN6;A0A8V0ZWC9;Q8AWB4;A0A8V0Z0B9;A0A8V0YS46;A0A8V0WZJ4;A0A8V0Z6S1;A0A1D5PJE0;A0A8V0Z1E9;O13113;A0A8V1A2F4;A0A8V0YZJ3;A0A8V0ZBJ8;A0A8V0Y218;A0A8V0YYQ9;A0A8V1AFP1;F1NGB8;O12971;A0A8V1ACQ8;A0A8V0ZFH4;A0A8V0Y6W2;A0A8V0ZHZ7;Q76KB2
Metabolism	Lipid metabolism	38	P11602;A0A8V0YB71;A0A1D5NWL9;A0A8V0XXM5;A0A8V0X3M7;A0A1D5PMU2;A0A8V0Y492;A0A8V0ZT56;A0A1D5PK92;A0A8V1AJB6;A0A8V0Y8S2;A0A8V0YYX3;A0A8V0X9K8;A0A8V0X637;A0A8V0WZN3;A0A8V1A6U2;E1BVD1;A0A8V0Z1C5;A0A1D5P1F1;A0A8V0X548;A0A8V0ZZL0;A0A8V0Z2X9;A0A8V0YKA1;A0A8V1AKL9;Q8QFM7;A0A8V1ABW1;A0A8V0ZAL2;F1NCA2;A0A8V0XWZ8;A0A8V0YZJ3;A0A8V0Z420;A0A3Q2U7H6;A0A8V0Y4M6;A0A8V0YJV4;A0A8V0XIM8;A0A8V1A0M8;A0A8V0XE68;A0A8V0ZJ84
Metabolism	Metabolism of cofactors and vitamins	24	A0A8V0X453;A0A8V0X675;A0A8V0YP51;A0A8V0Z2F8;A0A8V1AB74;A0A8V0ZG46;A0A8V0YBU4;E1BVD1;A0A1D5P9Z1;A0A1L1RSD2;A0A8V1AC34;A0A8V0YKA1;A0A8V1AKL9;A0A8V1ABW1;A0A3Q2UEL1;A0A8V0XM46;F1NC58;A0A8V0X868;E1C3J7;A0A8V0YKJ7;A0A8V0YJV4;A0A3Q2TSP8;A0A8V0Z5M1;A0A8V0Z310
Metabolism	Metabolism of other amino acids	21	A0A8V0Y492;A0A8V0ZT56;A0A8V0XVT5;A0A8V1A0C2;A0A8V0ZIZ5;A0A8V0X9K8;A0A8V0YU69;A0A8V1AHJ8;A0A8V0ZHY3;A0A1D5NY06;E1BYF1;A0A8V0YEN4;A0A8V1AKL9;A0A8V1ABW1;A0A1D5P8I7;A0A8V0ZJD3;A0A8V0XX21;A0A8V0XTM2;A0A8V0ZV32;A0A8V1A0M8;O57579
Metabolism	Metabolism of terpenoids and polyketides	4	A0A8V1AKL9;A0A8V1AK88;A0A8V0XE68;A0A8V1ABW1
Metabolism	Nucleotide metabolism	16	A0A8V0ZJD3;A0A1D5PSI2;A0A8V0ZWX9;A0A3Q2UHG8;A0A8V0ZG46;A0A8V1A9L3;A0A8V0YC57;A0A8V0X675;A0A8V0XAH5;A0A8V0XTM2;A0A1D5PZJ5;A0A8V0X6H2;A0A8V1A4P2;A0A1D5PL45;A0A8V1AC34;A0A8V0Z310
Metabolism	Xenobiotics biodegradation and metabolism	8	A0A8V0ZF25;A0A1D5PSI2;A0A8V1AHJ8;A0A8V0XM79;A0A8V0Y9F8;A0A1L1RSD2;A0A8V1AJ29;A0A8V1A0C2
Organismal Systems	Aging	13	A0A1D5PFJ6;A0A8V1AHJ8;F1NZ86;A0A8V0Y7Y9;Q5ZL72;Q5ZLQ6;A0A8V0YJ41;P08642;A0A8V0XKF3;A0A8V0X7F0;F1NUX4;A0A1D5PIQ5;A0A8V0Z8E9
Organismal Systems	Circulatory system	32	A0A3Q2UJ64;Q5ZM47;A0A1D5P2H5;A0A8V1A472;A0A8V0Z2Y8;A0A8V0YZL1;A0A8V0XYR2;A0A8V0XW68;A0A8V0Z5C6;A0A8V0ZX92;A0A8V0ZX85;A0A8V0XB58;A0A1L1RLN6;A0A8V1A3B4;A0A1D5PM19;A0A8V0ZY91;A0A1L1RKB7;A0A8V0X6I3;A0A8V1ABC9;A0A8V0XTT7;A0A8V0ZU95;A0A8V0ZQN3;A0A8V0ZC01;A0A1L1RPJ2;A0A8V0XTC5;A0A8V0ZYC2;A0A8V1AHP5;A0A8V0YCL9;A0A8V0X829;A0A1D5PIQ5;P18944;A0A8V0Z153
Organismal Systems	Development and regeneration	30	A0A8V0Y0V1;A0A8V1AG56;A0A1D5NW03;A0A3Q3A4U3;A0A8V0ZEJ3;A0A8V0Z8V4;A0A8V0ZDU4;A0A8V0YFT7;A0A1D5PIQ5;A0A8V0ZKS6;A0A8V0XMT9;E1BS97;P08642;A0A3S5ZPV2;A0A8V1ACD6;A0A1L1RM08;A0A8V1A8M1;Q0PVE4;A0A8V0XB58;A0A8V0Z6R7;A0A8V1ABC9;A0A8V0ZB91;A0A1D5PBU5;A0A8V0ZNY6;A0A3Q2U211;A0A1L1RPJ2;F1NUX4;A0A8V0ZPH9;A0A8V0YRG2;A0A8V0ZZL0
