GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Cellular Component,intracellular membrane-bounded organelle,4,GO:0043231,3,29,4,43,1.11,1.0,-0.0,A0A8V0Y0J2 A0A8V0ZV19 A0A8V0Z1W6
Molecular Function,peptide binding,3,GO:0042277,2,3,4,40,6.67,0.022267206477732806,1.65,A0A8V0Y0J2 A0A8V0Z1W6
Molecular Function,amide binding,2,GO:0033218,2,4,4,40,5.0,0.04294780610570072,1.37,A0A8V0Y0J2 A0A8V0Z1W6
Molecular Function,transferase activity,2,GO:0016740,2,6,4,40,3.33,0.0996826786300469,1.0,A0A8V0ZV19 A0A8V0Z1W6
Molecular Function,protein dimerization activity,3,GO:0046983,2,8,4,40,2.5,0.17233833023306683,0.76,A0A8V0Y0J2 A0A8V0Z1W6
Molecular Function,signaling receptor binding,3,GO:0005102,2,12,4,40,1.67,0.5698435277382639,0.24,A0A8V0Y0J2 A0A1D5PZ68
Molecular Function,catalytic activity,1,GO:0003824,2,15,4,40,1.33,0.6224969909180416,0.21,A0A8V0ZV19 A0A8V0Z1W6
Molecular Function,binding,1,GO:0005488,3,32,4,40,0.94,1.0,-0.0,A0A8V0Y0J2 A0A1D5PZ68 A0A8V0Z1W6
Molecular Function,protein binding,2,GO:0005515,3,26,4,40,1.15,1.0,-0.0,A0A8V0Y0J2 A0A1D5PZ68 A0A8V0Z1W6
Biological Process,cell development,3,GO:0048468,4,13,4,43,3.31,0.005793695810712253,2.24,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68 A0A8V0Z1W6
Biological Process,neuron differentiation,4,GO:0030182,3,8,4,43,4.03,0.016449234259784427,1.78,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,neuron projection development,6,GO:0031175,3,8,4,43,4.03,0.016449234259784427,1.78,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,neuron development,4,GO:0048666,3,8,4,43,4.03,0.016449234259784427,1.78,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,neuron projection morphogenesis,6,GO:0048812,3,8,4,43,4.03,0.016449234259784427,1.78,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,cell projection morphogenesis,4,GO:0048858,3,8,4,43,4.03,0.016449234259784427,1.78,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,plasma membrane bounded cell projection morphogenesis,5,GO:0120039,3,8,4,43,4.03,0.016449234259784427,1.78,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,chordate embryonic development,5,GO:0043009,2,3,4,43,7.17,0.019285309132161105,1.71,A0A8V0ZV19 A0A1D5PZ68
Biological Process,pattern specification process,2,GO:0007389,2,3,4,43,7.17,0.019285309132161105,1.71,A0A8V0ZV19 A0A1D5PZ68
Biological Process,negative chemotaxis,4,GO:0050919,2,3,4,43,7.17,0.019285309132161105,1.71,A0A8V0ZV19 A0A1D5PZ68
Biological Process,regulation of animal organ morphogenesis,5,GO:2000027,2,3,4,43,7.17,0.019285309132161105,1.71,A0A8V0ZV19 A0A1D5PZ68
Biological Process,regionalization,3,GO:0003002,2,3,4,43,7.17,0.019285309132161105,1.71,A0A8V0ZV19 A0A1D5PZ68
Biological Process,positive regulation of cytokine production,5,GO:0001819,2,3,4,43,7.17,0.019285309132161105,1.71,A0A8V0Y0J2 A0A8V0ZV19
Biological Process,cellular developmental process,2,GO:0048869,4,19,4,43,2.26,0.0314075034438052,1.5,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68 A0A8V0Z1W6
Biological Process,cell differentiation,3,GO:0030154,4,19,4,43,2.26,0.0314075034438052,1.5,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68 A0A8V0Z1W6
Biological Process,cell projection organization,4,GO:0030030,3,10,4,43,3.22,0.03378980633660154,1.47,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,cell morphogenesis,3,GO:0000902,3,10,4,43,3.22,0.03378980633660154,1.47,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,plasma membrane bounded cell projection organization,5,GO:0120036,3,10,4,43,3.22,0.03378980633660154,1.47,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,cellular anatomical entity morphogenesis,3,GO:0032989,3,10,4,43,3.22,0.03378980633660154,1.47,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,oxoacid metabolic process,4,GO:0043436,2,4,4,43,5.38,0.03729843610728452,1.43,A0A8V0ZV19 A0A8V0Z1W6
Biological Process,small molecule metabolic process,2,GO:0044281,2,4,4,43,5.38,0.03729843610728452,1.43,A0A8V0ZV19 A0A8V0Z1W6
Biological Process,organic acid metabolic process,3,GO:0006082,2,4,4,43,5.38,0.03729843610728452,1.43,A0A8V0ZV19 A0A8V0Z1W6
Biological Process,tissue development,3,GO:0009888,3,11,4,43,2.93,0.045458228668665446,1.34,A0A8V0ZV19 A0A1D5PZ68 A0A8V0Z1W6
Biological Process,positive regulation of multicellular organismal process,4,GO:0051240,3,11,4,43,2.93,0.045458228668665446,1.34,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,cellular response to stimulus,2,GO:0051716,4,21,4,43,2.05,0.04849688031764027,1.31,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68 A0A8V0Z1W6
Biological Process,generation of neurons,5,GO:0048699,3,12,4,43,2.69,0.05927396483267163,1.23,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,neurogenesis,4,GO:0022008,3,12,4,43,2.69,0.05927396483267163,1.23,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,glycoprotein biosynthetic process,5,GO:0009101,2,5,4,43,4.3,0.0600842719390648,1.22,A0A8V0ZV19 A0A8V0Z1W6
Biological Process,embryo development ending in birth or egg hatching,4,GO:0009792,2,5,4,43,4.3,0.0600842719390648,1.22,A0A8V0ZV19 A0A1D5PZ68
Biological Process,regulation of cytokine production,4,GO:0001817,2,5,4,43,4.3,0.0600842719390648,1.22,A0A8V0Y0J2 A0A8V0ZV19
Biological Process,multicellular organismal reproductive process,2,GO:0048609,2,5,4,43,4.3,0.0600842719390648,1.22,A0A8V0Y0J2 A0A8V0Z1W6
Biological Process,regulation of multicellular organismal process,3,GO:0051239,3,13,4,43,2.48,0.07531804553925929,1.12,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,nervous system development,4,GO:0007399,3,13,4,43,2.48,0.07531804553925929,1.12,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,neuron projection guidance,7,GO:0097485,2,6,4,43,3.58,0.08706749858196243,1.06,A0A8V0ZV19 A0A1D5PZ68
Biological Process,reproductive process,1,GO:0022414,2,6,4,43,3.58,0.08706749858196243,1.06,A0A8V0Y0J2 A0A8V0Z1W6
Biological Process,positive regulation of cell differentiation,5,GO:0045597,2,6,4,43,3.58,0.08706749858196243,1.06,A0A8V0Y0J2 A0A1D5PZ68
Biological Process,axon guidance,8,GO:0007411,2,6,4,43,3.58,0.08706749858196243,1.06,A0A8V0ZV19 A0A1D5PZ68
Biological Process,response to abiotic stimulus,2,GO:0009628,2,6,4,43,3.58,0.08706749858196243,1.06,A0A8V0Y0J2 A0A8V0Z1W6
Biological Process,glycoprotein metabolic process,4,GO:0009100,2,6,4,43,3.58,0.08706749858196243,1.06,A0A8V0ZV19 A0A8V0Z1W6
Biological Process,response to wounding,3,GO:0009611,2,6,4,43,3.58,0.08706749858196243,1.06,A0A8V0Y0J2 A0A8V0ZV19
Biological Process,response to external stimulus,2,GO:0009605,3,14,4,43,2.3,0.09364719228587627,1.03,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,regulation of developmental process,3,GO:0050793,3,14,4,43,2.3,0.09364719228587627,1.03,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,anatomical structure morphogenesis,2,GO:0009653,3,14,4,43,2.3,0.09364719228587627,1.03,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68
Biological Process,response to chemical,2,GO:0042221,4,23,4,43,1.87,0.11101207357588502,0.95,A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68 A0A8V0Z1W6
Biological Process,cellular biosynthetic process,3,GO:0044249,2,7,4,43,3.07,0.11769710720363011,0.93,A0A8V0ZV19 A0A8V0Z1W6
Biological Process,carbohydrate derivative biosynthetic process,4,GO:1901137,2,7,4,43,3.07,0.11769710720363011,0.93,A0A8V0ZV19 A0A8V0Z1W6
Biological Process,cell morphogenesis involved in neuron differentiation,4,GO:0048667,2,7,4,43,3.07,0.11769710720363011,0.93,A0A8V0ZV19 A0A1D5PZ68
Biological Process,axon development,7,GO:0061564,2,7,4,43,3.07,0.11769710720363011,0.93,A0A8V0ZV19 A0A1D5PZ68
Biological Process,taxis,2,GO:0042330,2,7,4,43,3.07,0.11769710720363011,0.93,A0A8V0ZV19 A0A1D5PZ68
Biological Process,cellular nitrogen compound metabolic process,3,GO:0034641,2,7,4,43,3.07,0.11769710720363011,0.93,A0A8V0Y0J2 A0A8V0Z1W6
