KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Genetic Information Processing	Translation	29	A0A8V0YD10;A0A1D5PYQ3;Q5ZM47;A0A8V0XXX0;A0A8V0XY40;A0A8V0YZ41;A0A8V0ZNA1;A0A8V0ZBD1;A0A8V1A7D7;F1NN16;A0A8V1A9M2;A0A1D5P3B1;A0A8V0Y121;A0A8V0XKJ6;A0A8V0Z083;F1NIX0;E1C2Z5;A0A8V0ZJP1;A0A8V0XRE7;A0A8V0X1D0;F1NJU7;P42558;F1NQG5;A0A1D5NVI1;A0A1L1RX26;A0A8V0YKT5;A0A1D5P8H7;E1BTG1;A0A8V0ZUX8
Metabolism	Amino acid metabolism	18	A0A8V0ZCN9;A0A8V1ABW1;A0A8V0YPT3;E1BTT8;Q5ZLN1;A0A1D5NY06;A0A8V0XH76;A0A8V0Y492;A0A8V0XIM8;A0A8V0ZTF7;A0A1D5PQV3;A0A8V0X354;A0A8V0XVT5;A0A8V0ZJT8;A0A8V0XE68;A0A1D5PL45;A0A8V0YB71;A0A8V0X9K8
Metabolism	Biosynthesis of other secondary metabolites	2	A0A8V0XTM2;A0A8V0ZM20
Metabolism	Carbohydrate metabolism	33	A0A1D5PHE2;A0A8V0XH76;A0A8V0Y492;A0A8V0YGM0;A0A8V0XVT5;A0A8V1AIR0;A0A8V0X9K8;A0A1D5NZL7;A0A8V0XM79;A0A8V0YA67;P00356;Q5ZLN1;A0A8V0ZM20;E1BVD1;A0A1D5PQV3;A0A8V1A4P2;A0A8V0ZPJ9;A0A8V0ZCN9;A0A8V0ZWH3;A0A8V1ABW1;A0A8V0ZLV3;A0A8V0YZ27;E1BTT8;A0A8V0Z0S2;A0A1L1RQ91;A0A1D5NWL4;A0A8V0YRQ5;A0A8V0XMD4;A0A8V1A5Y9;A0A8V0X6I8;A0A8V0XIM8;A0A8V0XE68;A0A8V0XUH8
Metabolism	Energy metabolism	28	A0A3Q2UJ64;A0A8V0Z6U6;A0A8V0Z2Y8;E1C658;A0A8V0ZUQ1;A0A8V1A840;A0A8V1A4N7;A0A1D5PP57;A0A8V0Y8W7;A0A8V0YC52;A0A8V0Z863;F1NIL3;A0A1D5NW93;A0A8V0Y9V7;A0A8V1A3B4;A0A8V0YPT3;A0A8V1A624;A0A8V0Y9X9;A0A8V0X6I3;A0A8V0Z382;A0A8V0Z5I7;A0A8V0ZC01;Q9YH14;A0A8V0XTM2;A0A8V0YLT1;A0A8V0Y6Z6;P18944;A0A8V0ZI98
Metabolism	Global and overview maps	109	A0A8V0YBC7;A0A1D5PMU2;A0A8V0Z2Y8;A0A8V0ZUQ1;A0A8V0X9K8;A0A8V0XM79;A0A8V0XAH5;Q5ZLN1;A0A8V1A4P2;A0A8V0Y8W7;A0A8V0ZJE0;A0A8V0YEN4;A0A8V0XB81;A0A8V0Y9V7;Q8QFM7;A0A8V1ABW1;A0A8V0Y006;A0A8V0Z382;A0A8V0Z0S2;A0A8V0XUH8;A0A8V0ZZL0;A0A1D5PSI2;A0A1D5NTC1;A0A1D5PGR9;A0A1D5PHE2;A0A8V0YGM0;A0A8V0XVT5;A0A8V1A0C2;A0A8V0YU69;A0A8V0Z2F8;A0A8V1AJZ1;A0A8V0YHY0;Q5ZKQ2;A0A1D5NY06;A0A8V0ZM20;A0A8V0Y9J8;A0A8V0ZJT8;A0A1D5PP57;A0A8V0Z863;A0A8V1AC34;A0A1D5NW93;A0A8V0ZWH3;A0A8V0YZ27;A0A8V0XGF5;A0A8V0X354;A0A8V0X7B2;A0A8V1A8Y2;A0A1D5NWL4;E1C3J7;A0A8V0YLT1;P18944;A0A8V0XE68;A0A8V0XMD4;A0A8V0YB71;A0A8V0Z310;A0A8V0Z6U6;A0A8V0Y492;A0A8V0YE66;A0A8V0XC92;A0A8V1AIR0;A0A8V1A840;A0A1D5NZL7;A0A8V0YA67;P00356;A0A1D5P9Z1;A0A8V0ZPJ9;A0A8V0YC52;F1NIL3;A0A8V0Y6Q3;A0A8V0ZCN9;A0A8V1A3B4;A0A8V0ZLV3;A0A8V0XWG1;A0A8V0Y9X9;F1NC58;A0A8V0ZE99;A0A8V0ZC01;Q9YH14;A0A8V0X6I8;A0A8V0ZI98;A0A3Q2UJ64;A0A8V0XH76;E1C658;A0A1D5NW85;A0A8V0XRZ6;A0A8V1A4N7;O57535;E1BVD1;A0A1D5PQV3;A0A1D5NT70;A0A8V0XY43;A0A8V0ZAL2;A0A8V0Y5N7;A0A8V0YPT3;A0A8V1A624;E1BTT8;A0A8V0ZTF7;A0A8V0Z420;A0A8V0X6I3;A0A1D5PL45;A0A8V0Z5I7;A0A1L1RQ91;A0A8V0YRQ5;A0A8V1A5Y9;A0A8V0XTM2;A0A8V0XIM8;A0A8V0Y6Z6;A0A8V1A758;A0A8V1A102
Metabolism	Glycan biosynthesis and metabolism	6	A0A1D5PGR9;A0A8V0YBC7;A0A8V0Y9J8;A0A8V0YE66;A0A8V1A758;Q76KB2
Metabolism	Lipid metabolism	24	A0A1D5NTC1;A0A8V0YB71;A0A8V0XH76;A0A8V0Y492;A0A1D5PMU2;A0A8V0YYX3;A0A1D5NW85;A0A8V0X9K8;A0A8V0YHY0;E1BVD1;A0A8V0X548;A0A8V0Y6Q3;A0A8V0Z2X9;Q8QFM7;A0A8V1ABW1;A0A8V0ZAL2;F1NCA2;A0A8V0Z420;A0A8V0Y006;A0A8V0YRQ5;A0A8V0ZE99;A0A8V0XIM8;A0A8V0XE68;A0A8V0ZZL0
Metabolism	Metabolism of cofactors and vitamins	15	A0A8V0Z2F8;A0A8V0YRQ5;A0A8V1ABW1;A0A8V1AJZ1;A0A8V0XRZ6;A0A8V0Y5N7;E1C3J7;A0A8V0YHY0;Q5ZKQ2;E1BVD1;A0A1D5P9Z1;F1NC58;A0A8V0XC92;A0A8V1AC34;A0A8V0Z310
Metabolism	Metabolism of other amino acids	16	A0A8V0YU69;A0A8V0ZCN9;A0A8V1ABW1;A0A8V0YZ27;A0A8V0XTM2;A0A1D5NY06;A0A8V0Y492;A0A8V0XVT5;A0A8V0ZPJ9;A0A8V0ZJE0;A0A8V0YEN4;A0A1D5NT70;A0A8V1A0C2;A0A8V0X7B2;A0A8V0XB81;A0A8V0X9K8
Metabolism	Metabolism of terpenoids and polyketides	3	A0A8V0XE68;A0A8V0XH76;A0A8V1ABW1
Metabolism	Nucleotide metabolism	15	A0A1D5PSI2;A0A8V1AJZ1;A0A8V0XRZ6;A0A8V0XWG1;A0A8V0XAH5;A0A8V0XTM2;O57535;A0A8V0XGF5;A0A8V0XC92;A0A8V1A4P2;A0A8V1A8Y2;A0A1D5PL45;A0A8V0XY43;A0A8V1AC34;A0A8V0Z310
Metabolism	Xenobiotics biodegradation and metabolism	12	A0A8V0ZCN9;A0A1D5PSI2;A0A8V0XM79;A0A8V0YHY0;O57535;A0A8V0XGF5;A0A8V1AJ29;A0A8V0ZJE0;A0A1D5NT70;A0A8V1A0C2;A0A8V0X7B2;A0A8V0XB81
Organismal Systems	Aging	14	A0A1L1RWI9;F1NZ86;Q5ZL72;A0A8V0XY43;A0A8V0YJ41;A0A8V0XLB9;A0A3Q3ACS4;P08642;A0A8V0ZJE0;F1NUX4;A0A1D5NT70;A0A8V0X7B2;A0A8V0XB81;A0A8V0Z8E9
Organismal Systems	Circulatory system	19	A0A1D5NTC1;A0A3Q2UJ64;Q5ZM47;A0A1D5P2H5;A0A8V1A472;A0A8V0Z2Y8;A0A8V0ZBD1;A0A1D5NZL7;A0A8V0XY43;A0A8V1A3B4;A0A1D5PM19;A0A8V0X6I3;A0A8V0ZE99;A0A8V0ZC01;A0A1L1RPJ2;A0A8V1AHP5;A0A8V0ZYC2;P18944;A0A8V0Z153
Organismal Systems	Development and regeneration	15	A0A1L1RWI9;A0A8V0XL89;A0A1D5NZL7;A0A8V0YSE9;A0A8V1A9S3;E1BS97;A0A3Q3ACS4;P08642;A0A1L1RPJ2;A0A3S5ZPV2;A0A1L1RM08;A0A8V0YZ32;F1NUX4;Q03696;A0A8V0ZZL0
Organismal Systems	Digestive system	31	A0A1D5P2H5;A0A8V1A1T7;A0A8V0XH76;A0A8V0YXU7;A0A8V1AGP0;A0A8V0ZHE8;A0A1D5NZL7;A0A8V0ZM20;A0A8V0ZJT8;A0A8V1A229;A0A8V0ZF15;A0A8V0ZRU9;A0A8V0XY43;A0A8V0ZLV3;A0A8V0Y5N7;P00698;A0A8V0XR98;A0A8V0YHC1;A0A3Q3ACS4;A0A8V0X354;A0A8V0Y2J1;A0A8V0YBR3;P02789;E1C3J7;A0A8V0ZE99;A0A8V0Z0Y0;A0A8V0ZZN4;A0A8V0YLT1;A0A8V0ZIN3;A0A8V0XE68;A0A8V0Z153
Organismal Systems	Endocrine system	44	A0A1D5NTC1;A0A8V1A8R0;A0A1D5P2H5;A0A8V0Y7A6;A0A8V0XKR3;A0A8V0ZPV0;A0A1L1RWI9;A0A1D5NZL7;Q5ZLN1;A0A8V0ZM20;P08642;A0A8V0XY43;A0A8V0ZK24;A0A1D5PP34;A0A8V0Z8E9;A0A1D5PUL6;A0A8V0ZAL2;A0A8V1A178;E1BTT8;R4GKD1;A0A3Q3ACS4;Q90593;A0A8V1A9K7;A0A8V0X354;A0A8V0XS64;A0A8V0Y2J1;A0A8V0YZ32;A0A8V0ZVD2;A0A8V1A8U0;A0A8V0ZQ00;F1NLV4;A0A1D5NYE8;A0A8V0XL89;A0A8V0XP02;A0A8V1A5Y9;O93256;A0A1L1RPJ2;A0A8V0Z8R3;A0A8V1AJV5;A0A8V0ZIN3;A0A8V1A8T0;E1BW98;F1NUX4;A0A8V0Z153
Organismal Systems	Environmental adaptation	31	A0A3Q2UJ64;A0A1D5P2H5;A0A8V0Z2Y8;E1C658;A0A1D5NZL7;A0A8V1A4N7;P08642;A0A8V0YC52;A0A8V0Z863;A0A8V0XY43;F1NIL3;A0A1D5NW93;A0A8V0Y9V7;A0A8V1A3B4;A0A8V0ZAL2;A0A8V1A624;R4GKD1;A0A8V1A9K7;A0A8V0Y9X9;A0A8V0X6I3;A0A8V0X354;A0A8V0XS64;A0A8V0Z382;F1NLV4;A0A8V0ZC01;Q9YH14;E1BW98;A0A8V0ZIN3;F1NUX4;P18944;A0A8V0ZI98
Organismal Systems	Excretory system	18	A0A8V0ZDX0;A0A1D5NZL7;A0A8V0Z6U6;A0A8V1AJR8;A0A8V0YXB1;A0A3Q3ACS4;A0A8V0XK27;A0A8V0XJW7;A0A1D5PP57;A0A8V0Y6Z6;A0A8V0YLT1;A0A8V0Z958;Q98932;Q5ZIP7;A0A8V0ZBP0;A0A1D5PFB8;A0A8V0Z5I7;A0A8V0Y8W7
Organismal Systems	Immune system	65	A0A1D5NTC1;A0A3Q2UHM4;A0A1D5P2H5;Q90WD0;A0A3Q2UH76;A0A1D5PFR7;A0A8V0ZFJ4;A0A8V0YXU7;A0A8V1A5A3;P84229;A0A1D5NZL7;A0A8V0ZHE8;A0A8V0XWR2;A0A8V1ACZ0;A0A8V1ABC8;A0A8V0Y9D6;E1BS97;P08642;A0A1D5P7C1;A0A8V1A229;A0A8V0ZZC5;A0A8V0X8U3;A0A1L1RM08;A0A8V0XHB9;A0A8V0YIZ9;A0A8V0XY43;A0A8V0YUW8;A0A8V0Z8E9;A0A8V0XHF1;A0A8V1A1T0;A0A1D5P4S3;A0A8V1A3U0;H9L0D7;A0A1D5PUL6;A0A8V0Y5A6;A0A3Q2U1A5;A0A8V0XNV9;A0A8V1A987;A0A1D5PNL3;R4GKD1;A0A3Q3ACS4;Q90593;A0A8V1A9K7;A0A8V0XS64;A0A8V0YID0;A0A8V0Y2J1;A0A8V1AJ29;A0A8V0XA34;P25155;F1NLV4;A0A1D5NYE8;A0A8V0XL89;F1NYJ1;A0A8V0XP02;A0A8V0Z0Y0;A0A8V0YS27;A0A1L1RPJ2;A0A8V1AH61;A0A8V0XTR4;A0A8V0ZIN3;P08629;E1BW98;F1NUX4;A0A8V1A1T7;A0A8V0Z153
Organismal Systems	Nervous system	28	A0A1D5NTC1;Q5ZM47;A0A8V0Z6U6;A0A1D5P2H5;A0A8V0ZBD1;A0A1L1RWI9;A0A1D5NZL7;P08642;A0A1D5PP57;A0A8V1A229;A0A8V0Y8W7;A0A8V0YC52;A0A8V0Z863;A0A8V0XY43;A0A8V0Y9V7;A0A8V1AJR8;R4GKD1;A0A3Q3ACS4;A0A8V1A9K7;A0A8V0XS64;A0A8V0X354;A0A8V0Z382;A0A8V0Z5I7;F1NLV4;A0A8V0XL89;A0A1L1RPJ2;E1BW98;A0A8V0Y6Z6
Organismal Systems	Sensory system	10	A0A1D5P4S3;A0A1D5NTC1;A0A1D5NZL7;A0A8V0ZRF2;A0A1D5P2H5;A0A3Q3ACS4;A0A8V1A9K7;A0A8V0ZIN3;A0A8V0XY43;F1NLV4
