KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map04380 Osteoclast differentiation,4,18,491,1633,0.74,0.6088326190266661,0.22,A0A1L1RPJ2 A0A1D5PIQ5 A0A8V0YFT7 A0A3Q2U211
map04390 Hippo signaling pathway,16,42,491,1633,1.27,0.30562366528515605,0.51,A0A1D5NYE8 A0A1D5P9D0 A0A8V0XWR2 A0A8V0ZQN3 Q5ZM47 Q5ZLQ6 A0A8V0YJ41 A0A8V0XKF3 A0A8V0Z5C6 A0A8V0XTR4 A0A8V0ZIN3 A0A8V1AHK4 A0A8V0WZJ7 A0A1D5PA08 A0A8V0Z5C2 A0A8V0Z687
map04391 Hippo signaling pathway - fly,10,20,491,1633,1.66,0.08181130037937943,1.09,A0A1D5P9D0 S4VGQ1 Q5ZM47 Q5ZLQ6 A0A8V0YJ41 A0A8V0XKF3 A0A8V1AHK4 A0A8V0ZIN3 A0A8V0WZJ7 A0A1D5PA08
map04392 Hippo signaling pathway - multiple species,3,5,491,1633,2.0,0.16364786036824147,0.79,A0A1D5PA08 A0A1D5P9D0 A0A8V0WZJ7
map04510 Focal adhesion,18,77,491,1633,0.78,0.20508178152510276,0.69,A0A1D5NYE8 A0A8V0Y5A6 A0A8V0ZQN3 A0A8V1A2W0 A0A8V0YW34 A0A8V0XMT9 E1BS97 P08642 A0A1L1RPJ2 A0A8V0XCW4 A0A8V0Z5C6 A0A8V0ZD41 A0A8V0Y699 A0A8V0ZHF5 A0A1L1RM08 A0A8V0ZIN3 A0A1D5NYG3 A0A8V0Z153
map04512 ECM-receptor interaction,5,49,491,1633,0.34,0.001324885617626796,2.88,A0A8V1A2W0 A0A452J7Z2 A0A8V0XCW4 A0A8V0XMT9 A0A8V0ZHF5
map04514 Cell adhesion molecules,4,34,491,1633,0.39,0.021627595997663673,1.66,A0A8V1AH61 A0A8V1A3I2 A0A452J7Z2 A0A8V0XMT9
map04520 Adherens junction,10,30,491,1633,1.11,0.6905263702403539,0.16,A0A1D5NYE8 H9L0D7 A0A8V0Y5A6 A0A8V0XWR2 A0A3Q2U1A5 A0A8V0ZD41 A0A1D5P9Z1 A0A1D5PIZ8 A0A8V0XTR4 A0A8V0ZIN3
map04530 Tight junction,19,55,491,1633,1.15,0.4573064420643137,0.34,Q5ZM47 Q90WD0 A0A8V0ZD41 P09644 A0A1D5PPF8 F1NWX0 Q5ZMV5 A0A8V0XMT9 A0A1L1RM08 A0A8V1A3U0 A0A8V0Y5A6 A0A1L1RLN6 A0A1D5PM19 A0A8V0WZJ7 A0A8V0ZQ95 P53488 A0A8V1AHP5 A0A8V1AH61 A0A8V0ZIN3
map04540 Gap junction,8,38,491,1633,0.7,0.28303634696279845,0.55,A0A8V1AEW4 F1NWX0 P32882 A0A1L1RPJ2 P08642 P09644 P09244 A0A8V0ZQ95
