Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00188 Cysteine-rich secretory protein family,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0XGV7 A0A1D5PMF4
PF00219 Insulin-like growth factor binding protein,2,9,350,2004,1.27,0.6611833598817857,0.18,A0A8V0ZE58 A0A8V0YMS7
PF00225 Kinesin motor domain,5,9,350,2004,3.18,0.010793230493003826,1.97,A0A8V1A449 A0A1D5PBU5 A0A8V0YVT3 A0A8V0XTW4 A0A8V0Z4P8
PF00229 TNF(Tumour Necrosis Factor) family ,2,4,350,2004,2.86,0.14301981339060538,0.84,A0A8V0ZDZ5 A0A8V0Z3C0
PF00240 Ubiquitin family,2,8,350,2004,1.43,0.6350115287442888,0.2,A0A8V1ACS0 A0A8V0Z4J0
PF00248 Aldo/keto reductase family,2,6,350,2004,1.91,0.28248292328778996,0.55,A0A8V0YKA1 A0A8V0YJV4
PF00341 PDGF/VEGF domain,3,6,350,2004,2.86,0.06995422249386336,1.16,A0A8V0Z4M1 A0A3Q2TU24 Q9I946
PF00386 C1q domain,3,6,350,2004,2.86,0.06995422249386336,1.16,A0A8V0Y0F3 A0A8V0YA97 A0A8V0YY90
PF00413 Matrixin,2,7,350,2004,1.64,0.35268759922474174,0.45,E1C9E0 A0A8V1AN12
PF00431 CUB domain,7,17,350,2004,2.36,0.018372988080093296,1.74,A0A8V0ZUZ0 A0A8V0ZIX6 A0A8V0Y070 A0A1D5PIZ5 A0A8V0ZF83 A0A8V0YKF2 Q9I946
PF00536 SAM domain (Sterile alpha motif),3,4,350,2004,4.29,0.018406841903061414,1.74,A0A8V1A535 A0A8V0ZPH9 A0A8V0YRG2
PF00595 PDZ domain,2,25,350,2004,0.46,0.2915560149737802,0.54,A0A8V1AJV5 Q0PVE4
"PF00629 MAM domain, meprin/A5/mu",3,9,350,2004,1.91,0.1969566601433931,0.71,A0A8V0XRN3 A0A8V0YIV5 A0A8V0Z888
PF00652 Ricin-type beta-trefoil lectin domain,7,10,350,2004,4.01,0.00034759851790344015,3.46,A0A8V0ZWH1 A0A8V0ZY61 A0A8V0Z6S1 A0A1D5PJE0 A0A8V1A2F4 A0A8V0Y6W2 A0A8V0XT35
"PF00690 Cation transporter/ATPase, N-terminus",2,8,350,2004,1.43,0.6350115287442888,0.2,A0A3Q2U2N6 A0A8V0YFB8
PF00702 haloacid dehalogenase-like hydrolase,2,8,350,2004,1.43,0.6350115287442888,0.2,A0A3Q2U2N6 A0A8V0YFB8
PF00754 F5/8 type C domain,3,9,350,2004,1.91,0.1969566601433931,0.71,A0A1D5PT01 A0A8V0YSI0 A0A8V0YKF2
"PF00782 Dual specificity phosphatase, catalytic domain",2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0X6J5 A0A8V1AJI2
PF01019 Gamma-glutamyltranspeptidase,2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V1A0M8 A0A8V0ZIZ5
"PF01067 Calpain large subunit, domain III",2,5,350,2004,2.29,0.211640023023011,0.67,A0A8V0XBI2 A0A8V0XE95
PF01301 Glycosyl hydrolases family 35,2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0YZJ3 A0A8V0ZI47
PF01400 Astacin (Peptidase family M12A),2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0ZF83 A0A8V0Y070
PF01404 Ephrin receptor ligand binding domain,2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0ZPH9 A0A8V0YRG2
PF01421 Reprolysin (M12B) family zinc metalloprotease ,3,10,350,2004,1.72,0.3930360774501821,0.41,A0A8V0Y1A4 A0A8V0Z9B8 A0A1D5NZ82
PF01471 Putative peptidoglycan binding domain,2,7,350,2004,1.64,0.35268759922474174,0.45,E1C9E0 A0A8V1AN12
PF01477 PLAT/LH2 domain,2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0XHI6 P11602
PF01821 Anaphylotoxin-like domain,2,6,350,2004,1.91,0.28248292328778996,0.55,A0A8V1AM71 A0A8V0YDT4
PF01833 IPT/TIG domain,2,7,350,2004,1.64,0.35268759922474174,0.45,A0A8V0ZNY6 A0A8V1A3N1
PF01835 MG2 domain,3,11,350,2004,1.56,0.41913343060491615,0.38,A0A8V0ZKM2 A0A8V1AM71 A0A8V0ZTX8
PF02210 Laminin G domain,2,13,350,2004,0.88,1.0,-0.0,A0A8V0ZTP1 A0A8V0Z8V4
PF02221 ML domain,2,4,350,2004,2.86,0.14301981339060538,0.84,A0A8V0Z086 A0A8V0YAR4
PF02351 GDNF/GAS1 domain,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0Y999 A0A8V0YGL6
PF02824 TGS domain,2,4,350,2004,2.86,0.14301981339060538,0.84,A0A8V0ZG43 A0A8V0YQC4
"PF02836 Glycosyl hydrolases family 2, TIM barrel domain",2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0Z1E9 A0A1L1RSD2
"PF02886 LBP / BPI / CETP family, C-terminal domain",5,9,350,2004,3.18,0.010793230493003826,1.97,A0A8V0YSC2 A0A8V0YRQ0 A0A8V0Z419 A0A1D5PT25 A0A8V0YR09
PF03024 Folate receptor family,2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0XDM2 A0A1D5NYI4
PF03028 Dynein heavy chain region D6 P-loop domain ,8,11,350,2004,4.16,8.148447694548558e-05,4.09,A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51
PF03372 Endonuclease/Exonuclease/phosphatase family,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0XCX4 A0A8V0ZQS2
PF03815 LCCL domain,2,4,350,2004,2.86,0.14301981339060538,0.84,A0A8V0XGV7 A0A8V0YKF2
PF05825 Beta-microseminoprotein (PSP-94),2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0ZWT8 A0A8V0ZAS0
"PF06017 Unconventional myosin tail, actin- and lipid-binding",3,5,350,2004,3.44,0.04008949894181425,1.4,A0A1D5P0X0 A0A8V0YG88 A0A8V0ZQP1
PF06427 UDP-glucose:Glycoprotein Glucosyltransferase,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0XQS7 A0A8V0ZW46
PF07474 G2F domain,2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0ZAP5 A0A8V0ZBR8
PF07546 EMI domain,2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0Y290 A0A8V0Y0F3
PF07645 Calcium-binding EGF domain,9,25,350,2004,2.06,0.0282855571989776,1.55,A0A8V0YSB2 A0A8V0ZBR8 A0A8V0YDT4 A0A8V1A9U7 A0A8V0Y413 A0A8V0YE20 A0A8V0XPE8 A0A8V0ZAP5 A0A8V0XRN3
PF07647 SAM domain (Sterile alpha motif),2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V1A535 A0A1D5NWP2
PF07648 Kazal-type serine protease inhibitor domain,3,15,350,2004,1.15,0.7352376742501553,0.13,A0A8V0YMR1 A0A1D5PJN7 A0A1D5NZN4
PF07653 Variant SH3 domain,2,10,350,2004,1.15,0.689394491989459,0.16,A0A8V1AAH7 A0A1L1RP76
PF07654 Immunoglobulin C1-set domain,3,11,350,2004,1.56,0.41913343060491615,0.38,P01875 A0A8V0XEJ0 A0A8V0X8D5
PF07677 A-macroglobulin receptor binding domain,3,12,350,2004,1.43,0.4502052206101163,0.35,A0A8V0ZKM2 A0A8V1AM71 A0A8V0ZTX8
PF07679 Immunoglobulin I-set domain,15,41,350,2004,2.09,0.002839049768692882,2.55,A0A8V0YUF6 A0A8V0ZKS6 A0A8V0ZI29 A0A8V1AB05 A0A8V0YRN1 A0A8V0Z2J4 A0A8V0Z697 A0A8V0XX41 A0A3Q3A4U3 A0A8V0ZAP5 A0A8V0YXG4 A0A8V0YDT5 A0A8V0ZGF6 A0A8V0Z888 A0A8V0YMR1
PF07686 Immunoglobulin V-set domain,12,37,350,2004,1.86,0.02584642764606204,1.59,A0A8V0ZZD4 A0A8V0ZZJ1 A0A8V0YLX0 A0A8V1A3D7 A0A8V0XZV7 A0A8V0ZQJ4 F1NJI3 A0A8V0ZZH6 A0A8V0ZVP0 A0A8V0XA34 A0A8V0XL71 A0A8V0XDT2
PF07703 Alpha-2-macroglobulin bait region domain,3,12,350,2004,1.43,0.4502052206101163,0.35,A0A8V0ZKM2 A0A8V1AM71 A0A8V0ZTX8
PF07714 Protein tyrosine and serine/threonine kinase,6,22,350,2004,1.56,0.2535095748917391,0.6,A0A8V1A3N1 A0A8V1A9R2 A0A1D5PT01 A0A8V0YW12 A0A8V0ZPH9 A0A8V0YRG2
PF07810 TMC domain,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0ZFR8 A0A8V0Z9W5
PF07974 EGF-like domain,3,4,350,2004,4.29,0.018406841903061414,1.74,A0A1D5NTR5 A0A8V0Y132 A0A8V1AAN6
PF08205 CD80-like C2-set immunoglobulin domain ,2,5,350,2004,2.29,0.211640023023011,0.67,P01875 A0A8V0XEJ0
PF08266 Cadherin-like,4,6,350,2004,3.82,0.010224775389971665,1.99,A0A8V0Y478 A0A8V0Y969 A0A8V0YHL6 A0A8V0Y103
PF08686 PLAC (protease and lacunin) domain,6,6,350,2004,5.73,2.7388280422463773e-05,4.56,A0A8V0YUF6 A0A8V0YRN1 A0A1D5NZ82 A0A8V0ZGF6 A0A8V0ZRN1 A0A8V0ZA56
"PF09172 Vitellinogen, open beta-sheet",2,6,350,2004,1.91,0.28248292328778996,0.55,A0A8V0ZG90 A0A8V0ZF17
"PF09175 Vitellinogen, beta-sheet shell",2,5,350,2004,2.29,0.211640023023011,0.67,A0A8V0ZG90 A0A8V0ZF17
PF09258 Glycosyl transferase family 64 domain,4,4,350,2004,5.73,0.0009173020451480904,3.04,F1NGB8 A0A8V0Y8L6 A0A8V0ZXC9 A0A8V0ZBJ8
PF12661 Human growth factor-like EGF,2,8,350,2004,1.43,0.6350115287442888,0.2,A0A8V0Z8V4 A0A8V0ZXI1
PF12662 Complement Clr-like EGF-like,4,11,350,2004,2.08,0.10912741210879236,0.96,A0A8V1A9U7 A0A8V0ZAP5 A0A8V0YXI9 A0A8V0YDT4
PF12774 Hydrolytic ATP binding site of dynein motor region,8,11,350,2004,4.16,8.148447694548558e-05,4.09,A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51
PF12775 P-loop containing dynein motor region,8,11,350,2004,4.16,8.148447694548558e-05,4.09,A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51
PF12777 Microtubule-binding stalk of dynein motor,8,11,350,2004,4.16,8.148447694548558e-05,4.09,A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51
PF12780 P-loop containing dynein motor region D4,8,11,350,2004,4.16,8.148447694548558e-05,4.09,A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51
PF12781 ATP-binding dynein motor region,8,11,350,2004,4.16,8.148447694548558e-05,4.09,A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51
PF13364 Beta-galactosidase jelly roll domain,2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0YZJ3 A0A8V0ZI47
PF13445 RING-type zinc-finger,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0YPH9 A0A8V1AJ90
PF13768 von Willebrand factor type A domain,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0YZ82 A0A8V0YWW6
PF13896 Glycosyl-transferase for dystroglycan,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0ZFH4 A0A8V0YYQ9
"PF13920 Zinc finger, C3HC4 type (RING finger)",2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0ZNT4 A0A8V0YRF2
PF13927 Immunoglobulin domain,11,32,350,2004,1.97,0.01751947805689201,1.76,A0A8V0YUF6 A0A8V0XX41 A0A3Q3A4U3 A0A8V0ZAP5 A0A8V0YXG4 A0A8V0YDT5 A0A8V0ZGF6 A0A1D5PJN7 A0A8V0Z888 A0A8V0YMR1 A0A8V0Y4G8
PF14575 Ephrin type-A receptor 2 transmembrane domain,2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0ZPH9 A0A8V0YRG2
PF14604 Variant SH3 domain,2,17,350,2004,0.67,0.7523647512411715,0.12,A0A8V0XZQ1 A0A1D5PC37
PF14670 Coagulation Factor Xa inhibitory site,7,17,350,2004,2.36,0.018372988080093296,1.74,A0A8V0ZKI8 A0A8V0YSB2 A0A8V1A9U7 A0A8V0YE20 A0A8V1A9A7 A0A8V0Y070 A0A8V0ZF83
PF14874 Flagellar-associated PapD-like,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0X8Z6 A0A8V0ZLV6
PF15057 Domain of unknown function (DUF4537),2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0YZ82 A0A8V0ZEU9
PF15711 Interleukin-like EMT inducer,2,7,350,2004,1.64,0.35268759922474174,0.45,A0A8V0ZYN6 A0A8V0ZR84
"PF15780 Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin",2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0YYD5 A0A8V0ZT48
PF16470 Peptidase S8 pro-domain,2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0X4D8 A0A8V0ZA56
PF17771 ADAMTS cysteine-rich domain 2,3,7,350,2004,2.45,0.10697123344268014,0.97,A0A8V0Y1A4 A0A8V0Z9B8 A0A1D5NZ82
PF17789 Macroglobulin domain MG4,3,10,350,2004,1.72,0.3930360774501821,0.41,A0A8V0ZKM2 A0A8V1AM71 A0A8V0ZTX8
PF17791 Macroglobulin domain MG3,2,9,350,2004,1.27,0.6611833598817857,0.18,A0A8V0ZKM2 A0A8V0ZTX8
PF17852 Dynein heavy chain AAA lid domain,7,9,350,2004,4.45,0.00012261851889094425,3.91,A0A8V0Y8G8 A0A8V0XSB0 A0A8V0Z6B9 A0A8V1A6Y8 A0A8V0X370 A0A8V1A4F4 A0A8V1AM51
PF17857 AAA+ lid domain,7,8,350,2004,5.01,3.2054536237965587e-05,4.49,A0A8V0Y8G8 A0A8V0XSB0 A0A8V0Z6B9 A0A8V1A6Y8 A0A8V0X370 A0A8V1A4F4 A0A8V1AM51
PF18198 Dynein heavy chain AAA lid domain,8,11,350,2004,4.16,8.148447694548558e-05,4.09,A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51
PF18199 Dynein heavy chain C-terminal domain,8,11,350,2004,4.16,8.148447694548558e-05,4.09,A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51
PF18400 Thioredoxin-like domain,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0XQS7 A0A8V0ZW46
PF18401 Thioredoxin-like domain,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0XQS7 A0A8V0ZW46
PF18402 Thioredoxin-like domain,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0XQS7 A0A8V0ZW46
PF18403 Thioredoxin-like domain,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0XQS7 A0A8V0ZW46
PF18404 Glucosyltransferase 24,2,2,350,2004,5.73,0.030430900555370174,1.52,A0A8V0XQS7 A0A8V0ZW46
PF19030 Thrombospondin type 1 domain,7,13,350,2004,3.08,0.0030658328560856196,2.51,A0A8V0YUF6 A0A8V0YRN1 A0A8V0Y1A4 A0A1D5NZ82 A0A8V0Z9B8 A0A8V0ZGF6 A0A8V0ZRN1
PF19035 CCN3 Nov like TSP1 domain,2,3,350,2004,3.82,0.08071332764666626,1.09,A0A8V0ZE58 A0A8V0YMS7
PF19236 ADAMTS cysteine-rich domain,7,11,350,2004,3.64,0.0008132980895777477,3.09,A0A8V0YUF6 A0A8V0YRN1 A0A8V0Y1A4 A0A1D5NZ82 A0A8V0Z9B8 A0A8V0ZGF6 A0A8V0ZRN1
