KEGG pathway,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
map04151 PI3K-Akt signaling pathway,38,111,709,1633,0.79,0.04722439093157004,1.33,Q5ZM47 A0A8V0XCT3 F1NUX4 A0A8V1A2W0 A0A8V0XEJ0 A0A8V0ZHF5 A0A8V0XBS7 A0A8V1AAN6 A0A8V0X5B9 P02460 A0A8V0X8P6 Q5ZLQ6 A0A8V0XMT9 A0A8V0XCW4 P08642 A0A8V1A6U2 A0A8V0XHB9 A0A8V0XL71 A0A1D5PUL6 A0A8V0ZTP1 A0A1D5PPN9 A0A8V0YJ41 A0A8V0XKF3 A0A8V0XS64 A0A8V1AHK4 A0A8V1ABC9 A0A8V0Z1Z1 A0A8V0XA34 F1NLV4 Q9I946 A0A8V0XDT2 A0A3Q2TU24 A0A8V1A9R2 A0A8V0Y413 A0A1L1RPJ2 A0A8V0YDD6 E1BW98 A0A8V0Z4M1
map04152 AMPK signaling pathway,6,22,709,1633,0.63,0.13550797323476935,0.87,A0A8V0YB43 A0A1D5PS29 Q5ZM47 A0A8V0ZTG8 F1NUX4 A0A8V0XHN0
map04210 Apoptosis,21,44,709,1633,1.1,0.6441924908884353,0.19,A0A8V1A9H2 P09644 A0A3Q2U596 A0A8V0Z0M2 A0A8V1AKZ9 F1NWX0 P08642 A0A8V0XAS9 A0A8V0YRF2 P13648 A0A8V0ZCS2 A0A8V0YY54 A0A8V0ZQ95 P00789 F1NYJ1 Q05744 A0A8V1AFH0 A0A8V0ZDZ5 A0A1L1RPJ2 A0A8V0ZIN3 A0A8V0YWM3
map04211 Longevity regulating pathway,2,14,709,1633,0.33,0.030143334873719375,1.52,F1NUX4 P08642
map04212 Longevity regulating pathway - worm,10,28,709,1633,0.82,0.447476469004892,0.35,A0A8V1AHJ8 F1NZ86 Q5ZL72 A0A8V0Y7Y9 Q5ZLQ6 A0A8V0YJ41 A0A8V0XKF3 A0A8V0X7F0 F1NUX4 A0A1D5PIQ5
map04213 Longevity regulating pathway - multiple species,4,15,709,1633,0.61,0.2950726021571144,0.53,F1NUX4 P08642 A0A1D5PFJ6 A0A8V0Z8E9
map04214 Apoptosis - fly,7,14,709,1633,1.15,0.7877429997650598,0.1,A0A3Q2UHM4 A0A8V0YY54 A0A8V0YRF2 A0A3Q2U596 A0A1D5PA08 A0A8V0YBR3 A0A8V0YWM3
map04215 Apoptosis - multiple species,2,5,709,1633,0.92,1.0,-0.0,A0A8V1AKZ9 A0A8V0YRF2
map04216 Ferroptosis,8,19,709,1633,0.97,1.0,-0.0,A0A8V0ZHE8 A0A8V0X453 A0A8V0ZAL2 A0A8V0ZV32 A0A8V0XLN9 A0A8V0ZX20 A0A1D5PFR7 A0A8V0YXU7
map04217 Necroptosis,26,47,709,1633,1.27,0.10191404820621061,0.99,A0A3Q2UHM4 A0A8V0XGQ4 Q5ZMJ6 A0A8V0YXU7 A0A8V0Z0M2 E1BSI4 A0A8V0ZHE8 A0A8V0YFT7 A0A8V0X637 A0A1D5PT47 A0A1D5P7C1 A0A8V0XR85 A0A8V0ZAI6 A0A8V0XAS9 A0A8V0YRF2 A0A8V1A7R0 A0A1D5PUL6 A0A8V0XB58 E1BSN7 P00789 A0A1D5NT61 A0A8V0Z0Y0 A0A8V1A9R2 A0A8V0ZDZ5 Q5ZLG7 A0A8V0YWM3
