Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00069 Protein kinase domain,19,51,853,2004,0.88,0.47576557415637966,0.32,A0A8V0XKR3 A0A1D5PA08 A0A8V0XBS7 A0A8V0ZZC8 A0A1D5PD64 A0A8V0YTC2 A0A8V0X8M0 A0A8V0Y9D6 E1BS97 A0A8V0ZSX6 A0A1D5PD57 A0A8V0XB58 A0A8V1ABC9 A0A8V0YRK4 A0A3Q2U9U9 A0A1D5PHW5 A0A1L1RPJ2 A0A1D5PIQ5 A0A8V0Z153
PF00071 Ras family,13,47,853,2004,0.65,0.03732054142258634,1.43,A0A8V0YB43 A0A8V0Z7Z5 A0A8V0ZZU1 A0A8V1AB67 Q1KME6 Q5ZMG8 P42558 F1P3K5 A0A8V0YGN8 P08642 A0A3Q2TYT2 Q5ZLG1 E1BQI2
"PF00076 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",15,38,853,2004,0.93,0.7430013928118169,0.13,A0A8V0YD10 A0A8V0Z9Y2 A0A8V1ABY0 A0A3Q2U3U3 A0A8V0YM29 A0A8V1AFZ6 A0A8V0XXW6 A0A8V0ZC55 A0A8V0YGA1 A0A1D5P8I3 A0A1D5NXB3 A0A8V0ZQT1 A0A8V0YJ12 A0A3Q2UCR0 A0A3Q2UAH4
PF00079 Serpin (serine protease inhibitor),7,18,853,2004,0.91,0.814998991464958,0.09,A0A8V0Y614 A0A8V0YCY1 A0A8V0YUR6 A0A8V0XTT7 A0A160F7C1 A0A1D5PLZ2 A0A8V0Z1E6
PF00082 Subtilase family,3,7,853,2004,1.01,1.0,-0.0,A0A8V0X4D8 A0A8V0ZRU9 A0A8V0ZA56
PF00084 Sushi repeat (SCR repeat),5,13,853,2004,0.9,1.0,-0.0,A0A8V1AGP0 P81475 A0A8V1AA32 A0A8V0XRC4 A0A8V0YXI9
PF00085 Thioredoxin,3,16,853,2004,0.44,0.07343585879213722,1.13,A0A8V0YVE0 A0A8V0XGH4 A0A8V0XZQ2
PF00086 Thyroglobulin type-1 repeat,3,12,853,2004,0.59,0.2554739363325126,0.59,A0A8V0Y4Q2 A0A8V0ZBR8 A0A8V0ZJH8
PF00089 Trypsin,11,26,853,2004,0.99,1.0,-0.0,E1C744 A0A8V0ZUZ0 A0A8V0XKE8 A0A8V0ZIX6 A0A8V1A8E4 A0A8V0ZNH3 A0A8V0ZY87 A0A8V0ZTG6 A0A8V0YUC6 P25155 A0A8V1A3H9
PF00090 Thrombospondin type 1 domain,10,22,853,2004,1.07,0.8302512180265131,0.08,A0A8V0YUF6 A0A8V0YRN1 A0A8V1A184 A0A8V0Y1A4 A0A1D5NZ82 A0A8V0ZAP5 A0A8V0Z9B8 A0A8V0ZGF6 A0A8V0ZHF5 A0A8V0ZRN1
"PF00091 Tubulin/FtsZ family, GTPase domain",7,10,853,2004,1.64,0.10840115855711688,0.96,A0A8V1AEW4 F1NWX0 P32882 P09644 P09244 A0A8V0ZQ95 A0A1D5NU82
PF00092 von Willebrand factor type A domain,7,19,853,2004,0.87,0.6502393782290659,0.19,A0A8V0XQ96 A0A8V1AFR2 A0A8V0ZHX5 A0A8V0YE20 A0A8V1A774 A0A8V0XXK8 A0A8V0XWJ9
PF00093 von Willebrand factor type C domain,6,14,853,2004,1.01,1.0,-0.0,A0A8V0ZE58 A0A8V0YMM6 A0A3Q2TT95 A0A8V0YMS7 A0A8V0ZHF5 A0A1D5PE57
PF00094 von Willebrand factor type D domain,4,11,853,2004,0.85,0.7676540343231811,0.11,A0A8V0ZG90 A0A8V0Y132 A0A8V0ZF17 A0A8V1A3Y0
PF00095 WAP-type (Whey Acidic Protein) 'four-disulfide core',3,4,853,2004,1.76,0.3183489083796887,0.5,P33005 A0A8V0YTG5 A0A8V0YTH9
PF00098 Zinc knuckle,2,5,853,2004,0.94,1.0,-0.0,A0A1D5NXB3 A0A8V0XAE5
PF00102 Protein-tyrosine phosphatase,4,13,853,2004,0.72,0.5753820740152785,0.24,A0A8V1AB05 A0A8V0YDT5 A0A8V0ZH14 A0A8V0ZI29
PF00106 short chain dehydrogenase,7,11,853,2004,1.5,0.22128325768176443,0.66,A0A8V0Z5M1 A0A1D5NWL9 A0A8V0Z0D4 A0A8V0Z420 A0A8V0X2T8 A0A8V0XK42 A0A8V0ZJ84
"PF00108 Thiolase, N-terminal domain",2,4,853,2004,1.17,1.0,-0.0,A0A8V0XE68 A0A8V0YB71
PF00112 Papain family cysteine protease,2,8,853,2004,0.59,0.4791302539083443,0.32,F1NYJ1 A0A8V1AFH0
PF00117 Glutamine amidotransferase class-I,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0Y513 A0A8V0X6H2
PF00125 Core histone H2A/H2B/H3/H4,3,3,853,2004,2.35,0.07696184073367646,1.11,A0A3Q2UDI2 P84229 A0A8V0XGQ4
PF00130 Phorbol esters/diacylglycerol binding domain (C1 domain),3,7,853,2004,1.01,1.0,-0.0,A0A8V1ABC9 A0A8V0ZZL0 A0A8V1AAH7
PF00135 Carboxylesterase family,3,4,853,2004,1.76,0.3183489083796887,0.5,A0A8V0Y9F8 A0A8V0Y4Q2 A0A3Q2UGW3
"PF00147 Fibrinogen beta and gamma chains, C-terminal globular domain",7,10,853,2004,1.64,0.10840115855711688,0.96,A0A8V0X8P6 A0A8V0XCT3 A0A8V0YS27 P14448 A0A8V0YIZ9 A0A8V0Y466 A0A8V1AAN6
PF00149 Calcineurin-like phosphoesterase,4,10,853,2004,0.94,1.0,-0.0,A0A8V0Z5C6 Q5ZM47 A0A8V0ZQN3 A0A8V0X637
"PF00152 tRNA synthetases class II (D, K and N) ",2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0Y121 A0A8V0Y207
PF00168 C2 domain,9,30,853,2004,0.7,0.19406424395834704,0.71,A0A8V0XFL3 A0A8V0ZZG2 A0A8V1A5Y9 A0A8V0XBI2 A0A8V0ZHK9 A0A8V0Z7D4 A0A8V1ABC9 A0A8V0XE95 A0A8V0YYB4
PF00169 PH domain,8,22,853,2004,0.85,0.6667320226100122,0.18,A0A8V0ZBA3 A0A8V0ZKA8 A0A8V0YW34 A0A8V0X8U3 A0A8V0YBR8 A0A3Q2U511 A0A8V1AAH7 A0A1D5P3P3
PF00173 Cytochrome b5-like Heme/Steroid binding domain,2,4,853,2004,1.17,1.0,-0.0,A0A8V0X4A3 Q5ZKN2
PF00175 Oxidoreductase NAD-binding domain ,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0YHD4 A0A8V0X354
PF00179 Ubiquitin-conjugating enzyme,4,9,853,2004,1.04,1.0,-0.0,A0A8V0YI20 A0A8V0XNV9 A0A1D5PNL3 A0A8V0YFD4
PF00180 Isocitrate/isopropylmalate dehydrogenase,2,4,853,2004,1.17,1.0,-0.0,A0A1D5P8I7 A0A1D5P9I3
"PF00181 Ribosomal Proteins L2, RNA binding domain",2,2,853,2004,2.35,0.18105476515816474,0.74,F1NIX0 A0A8V0Z865
PF00188 Cysteine-rich secretory protein family,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A8V0XGV7 A0A1D5PMF4
PF00193 Extracellular link domain,2,4,853,2004,1.17,1.0,-0.0,A0A8V0XZ15 A0A8V0XRC4
PF00194 Eukaryotic-type carbonic anhydrase,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0YLT1 A0A8V0ZH14
PF00219 Insulin-like growth factor binding protein,2,9,853,2004,0.52,0.3162751487320091,0.5,A0A8V0ZE58 A0A8V0YMS7
PF00225 Kinesin motor domain,5,9,853,2004,1.31,0.5080464980841031,0.29,A0A8V1A449 A0A1D5PBU5 A0A8V0YVT3 A0A8V0XTW4 A0A8V0Z4P8
PF00226 DnaJ domain,3,14,853,2004,0.5,0.17312177325759026,0.76,A0A8V0ZMT8 A0A1L1RZR2 A0A3Q2UAA1
PF00227 Proteasome subunit,12,15,853,2004,1.88,0.006398089293636356,2.19,Q5ZLI2 F1NC02 A0A8V1A582 R4GLB3 A0A8V0XWA8 A0A8V1ABH8 A0A8V0XRD5 A0A1D5PJW4 A0A8V0XB52 A0A8V0ZNX9 A0A8V0ZNG4 Q7ZT63
PF00229 TNF(Tumour Necrosis Factor) family ,3,4,853,2004,1.76,0.3183489083796887,0.5,A0A8V0ZDZ5 A0A8V0Z0M2 A0A8V0Z3C0
PF00240 Ubiquitin family,4,8,853,2004,1.17,0.7296050695779182,0.14,A0A1D5P624 A0A8V1ACS0 A0A3Q2TZD8 A0A8V0Z4J0
PF00241 Cofilin/tropomyosin-type actin-binding protein,3,4,853,2004,1.76,0.3183489083796887,0.5,A0A8V0Z8Y2 C7G537 A0A8V1A992
PF00246 Zinc carboxypeptidase,2,4,853,2004,1.17,1.0,-0.0,A0A8V0ZP32 R4GFJ0
PF00248 Aldo/keto reductase family,4,6,853,2004,1.57,0.41131501808706217,0.39,A0A8V0YKA1 E1BVD1 A0A8V0YJV4 A0A8V0ZF25
PF00270 DEAD/DEAH box helicase,9,13,853,2004,1.63,0.08724168162335214,1.06,A0A8V0ZJ97 A0A8V0X895 A0A8V0XZ63 A0A8V0YZ41 Q5ZHZ0 A0A3S5ZPN3 A0A8V0YUW3 A0A3Q2U0S7 A0A8V0YJ71
PF00271 Helicase conserved C-terminal domain,9,15,853,2004,1.41,0.19567819885012322,0.71,A0A8V0ZJ97 A0A8V0X895 A0A8V0XZ63 A0A8V0YZ41 Q5ZHZ0 A0A3S5ZPN3 A0A8V0YUW3 A0A3Q2U0S7 A0A8V0YJ71
PF00273 Serum albumin family,3,3,853,2004,2.35,0.07696184073367646,1.11,A0A8V0XJ14 A0A8V0XCT6 A0A1D5NW68
PF00274 Fructose-bisphosphate aldolase class-I,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0X6I8 A0A8V1AIR0
PF00307 Calponin homology (CH) domain,10,24,853,2004,0.98,1.0,-0.0,A0A8V0Y5A6 A0A8V0Y126 Q5ZLC7 A0A3Q2UGG0 A0A8V0ZD41 A0A1D5P797 A0A1D5PIZ8 A0A1D5NYG3 A0A8V1AAH7 A0A8V0YVI8
PF00313 'Cold-shock' DNA-binding domain,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A8V0ZY56 A0A8V0Z1X8
PF00337 Galactoside-binding lectin,4,4,853,2004,2.35,0.03269243609391583,1.49,A0A1D5PQI1 Q5ZHQ2 A0A8V0Y2H5 A0A8V0XBM3
PF00341 PDGF/VEGF domain,3,6,853,2004,1.17,0.7039382187930039,0.15,A0A8V0Z4M1 A0A3Q2TU24 Q9I946
PF00350 Dynamin family,2,8,853,2004,0.59,0.4791302539083443,0.32,A0A3Q2UHM4 A0A8V0YNP1
PF00354 Pentaxin family,3,5,853,2004,1.41,0.6563138788420577,0.18,A0A8V0ZG73 A0A8V0YFB1 A0A8V1AJ19
PF00364 Biotin-requiring enzyme,3,5,853,2004,1.41,0.6563138788420577,0.18,A0A8V1A102 A0A1D5PQV3 A0A8V0ZWH3
PF00365 Phosphofructokinase,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A8V0ZTG8 A0A8V0XHN0
PF00373 FERM central domain,3,9,853,2004,0.78,0.7409166811474512,0.13,A0A8V0X097 A0A8V0Y699 A0A8V0WZJ7
PF00378 Enoyl-CoA hydratase/isomerase,3,6,853,2004,1.17,0.7039382187930039,0.15,A0A8V0Y8S2 A0A8V0YYX3 A0A8V0Y492
PF00386 C1q domain,4,6,853,2004,1.57,0.41131501808706217,0.39,A0A8V0Y0F3 A0A8V0YA97 A0A8V0X207 A0A8V0YY90
PF00406 Adenylate kinase,3,8,853,2004,0.88,1.0,-0.0,A0A8V0YIE9 A0A8V1AC34 A0A8V0Z310
PF00412 LIM domain,5,9,853,2004,1.31,0.5080464980841031,0.29,A0A8V0Y126 A0A8V0XJD2 A0A8V1AAK7 E1C852 Q9PW72
PF00413 Matrixin,3,7,853,2004,1.01,1.0,-0.0,A0A8V0YXL9 E1C9E0 A0A8V1AN12
PF00431 CUB domain,7,17,853,2004,0.97,1.0,-0.0,A0A8V0ZUZ0 A0A8V0ZIX6 A0A8V0Y070 A0A1D5PIZ5 A0A8V0ZF83 A0A8V0YKF2 Q9I946
PF00435 Spectrin repeat,5,9,853,2004,1.31,0.5080464980841031,0.29,A0A8V1A9H2 A0A8V0Y5A6 A0A8V0ZD41 A0A1D5P797 A0A8V0YVI8
"PF00441 Acyl-CoA dehydrogenase, C-terminal domain",5,9,853,2004,1.31,0.5080464980841031,0.29,A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 F1NEF6
PF00458 WHEP-TRS domain,4,4,853,2004,2.35,0.03269243609391583,1.49,A0A3Q2TSP8 A0A8V0YH08 E1C2Z5 A0A8V1AAU9
PF00530 Scavenger receptor cysteine-rich domain,4,6,853,2004,1.57,0.41131501808706217,0.39,A0A8V0XKE8 A0A8V0XEL0 A0A8V0XR98 A0A1D5NYI4
PF00531 Death domain,3,4,853,2004,1.76,0.3183489083796887,0.5,A0A8V1ABC8 A0A3Q2U211 A0A8V0XYK6
PF00536 SAM domain (Sterile alpha motif),3,4,853,2004,1.76,0.3183489083796887,0.5,A0A8V1A535 A0A8V0ZPH9 A0A8V0YRG2
PF00564 PB1 domain,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0XJ04 Q0PVE4
PF00571 CBS domain,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A1D5PSI2 A0A8V0ZES4
PF00575 S1 RNA binding domain,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A8V0YZG8 A0A8V0ZCS2
PF00576 HIUase/Transthyretin family,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A1I7Q422 A0A1L1RWR0
PF00578 AhpC/TSA family,3,4,853,2004,1.76,0.3183489083796887,0.5,A0A1D5PBY3 A0A8V0YEN4 P0CB50
"PF00587 tRNA synthetase class II core domain (G, H, P, S and T)",4,5,853,2004,1.88,0.17022039659323007,0.77,A0A3Q2TSP8 A0A8V0YQC4 A0A8V1A7D7 A0A8V1AAU9
PF00594 Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain,4,7,853,2004,1.34,0.46781981056880984,0.33,A0A8V0ZTG6 A0A8V0ZY87 A0A8V0YUC6 P25155
PF00595 PDZ domain,8,25,853,2004,0.75,0.3153319450322547,0.5,Q0PVE4 A0A8V0XJD2 A0A8V0XKL1 A0A8V1AJV5 A0A8V0X354 A0A8V1A6Q7 Q9PW72 E1C852
PF00621 RhoGEF domain,4,6,853,2004,1.57,0.41131501808706217,0.39,A0A8V0ZJF4 A0A8V1AAH7 A0A8V0YW34 A0A1D5P3P3
PF00626 Gelsolin repeat,3,9,853,2004,0.78,0.7409166811474512,0.13,A0A8V0X852 A0A8V0Z7B5 A0A3Q2UGR5
PF00627 UBA/TS-N domain,3,5,853,2004,1.41,0.6563138788420577,0.18,A0A1D5P624 A0A3Q2TZD8 A0A8V0ZUX9
"PF00629 MAM domain, meprin/A5/mu",3,9,853,2004,0.78,0.7409166811474512,0.13,A0A8V0XRN3 A0A8V0YIV5 A0A8V0Z888
PF00630 Filamin/ABP280 repeat,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A8V0YPH9 A0A1D5NYG3
PF00632 HECT-domain (ubiquitin-transferase),2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0ZZG2 A0A8V0X7N6
PF00640 Phosphotyrosine interaction domain (PTB/PID),2,5,853,2004,0.94,1.0,-0.0,A0A8V1A535 A0A8V0YBR8
PF00651 BTB/POZ domain,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A1D5NTV7 A0A8V1AB09
PF00652 Ricin-type beta-trefoil lectin domain,7,10,853,2004,1.64,0.10840115855711688,0.96,A0A8V0ZWH1 A0A8V0ZY61 A0A8V0Z6S1 A0A1D5PJE0 A0A8V1A2F4 A0A8V0Y6W2 A0A8V0XT35
"PF00670 S-adenosyl-L-homocysteine hydrolase, NAD binding domain",3,3,853,2004,2.35,0.07696184073367646,1.11,A0A8V1A1S6 A0A8V0XM35 A0A1D5PNB8
PF00679 Elongation factor G C-terminus,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A1D5PS29 A0A8V0Z083
PF00684 DnaJ central domain,2,4,853,2004,1.17,1.0,-0.0,A0A8V0ZMT8 A0A1L1RZR2
"PF00690 Cation transporter/ATPase, N-terminus",5,8,853,2004,1.47,0.2970664523438732,0.53,A0A1L1RKB7 A0A8V0ZX92 A0A3Q2U2N6 A0A8V0YFB8 A0A8V1A840
PF00694 Aconitase C-terminal domain,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A8V0YGM0 A0A1D5PQV0
PF00702 haloacid dehalogenase-like hydrolase,5,8,853,2004,1.47,0.2970664523438732,0.53,A0A1L1RKB7 A0A8V0ZX92 A0A3Q2U2N6 A0A8V0YFB8 A0A8V1A840
PF00735 Septin,4,6,853,2004,1.57,0.41131501808706217,0.39,A0A8V0YS41 A0A8V0Z7V7 A0A8V1AKB5 A0A8V1AKZ9
PF00754 F5/8 type C domain,3,9,853,2004,0.78,0.7409166811474512,0.13,A0A1D5PT01 A0A8V0YSI0 A0A8V0YKF2
"PF00782 Dual specificity phosphatase, catalytic domain",2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0X6J5 A0A8V1AJI2
PF00787 PX domain,7,11,853,2004,1.5,0.22128325768176443,0.66,A0A8V0XJG4 A0A8V0YQL8 A0A8V1A6Q7 A0A8V0ZEP8 A0A1L1S0C5 A0A8V0XBS7 A0A1D5PC37
PF00788 Ras association (RalGDS/AF-6) domain,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V1A6Q7 A0A8V0ZYC3
PF00932 Lamin Tail Domain,3,3,853,2004,2.35,0.07696184073367646,1.11,P13648 A0A8V0YY54 A0A3Q2U596
PF01019 Gamma-glutamyltranspeptidase,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V1A0M8 A0A8V0ZIZ5
PF01023 S-100/ICaBP type calcium binding domain,4,5,853,2004,1.88,0.17022039659323007,0.77,P24479 Q98953 A0A8V1AG73 A0A8V1ABP6
"PF01067 Calpain large subunit, domain III",4,5,853,2004,1.88,0.17022039659323007,0.77,A0A8V0XBI2 A0A8V0XAS9 P00789 A0A8V0XE95
PF01105 emp24/gp25L/p24 family/GOLD,2,4,853,2004,1.17,1.0,-0.0,Q5ZLF6 A0A8V0ZUA4
PF01217 Clathrin adaptor complex small chain,4,9,853,2004,1.04,1.0,-0.0,A0A8V1AIF1 Q5ZL57 A0A8V0ZML0 A0A8V0Z9Y8
PF01221 Dynein light chain type 1 ,2,3,853,2004,1.57,0.5784969609597477,0.24,Q5ZHX2 A0A8V0ZBP0
PF01223 DNA/RNA non-specific endonuclease,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0XWZ8 A0A8V0Y2I3
PF01284 Membrane-associating domain,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A1D5PRH9 A0A8V1AH61
PF01301 Glycosyl hydrolases family 35,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0YZJ3 A0A8V0ZI47
PF01302 CAP-Gly domain,3,4,853,2004,1.76,0.3183489083796887,0.5,A0A8V0XJW7 A0A8V0XTW4 A0A8V1A1U8
PF01336 OB-fold nucleic acid binding domain,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0Y121 A0A8V0Y207
PF01363 FYVE zinc finger,3,6,853,2004,1.17,0.7039382187930039,0.15,A0A8V1AB09 A0A1D5PMX3 A0A1D5P3P3
PF01392 Fz domain,2,5,853,2004,0.94,1.0,-0.0,A0A8V0YQ13 A0A8V0ZFL9
PF01399 PCI domain,5,11,853,2004,1.07,1.0,-0.0,A0A8V0X4M9 A0A1D5NXL7 A0A8V0ZY42 A0A8V0XHV8 A0A8V0ZEY1
PF01400 Astacin (Peptidase family M12A),2,2,853,2004,2.35,0.18105476515816474,0.74,A0A8V0ZF83 A0A8V0Y070
PF01404 Ephrin receptor ligand binding domain,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0ZPH9 A0A8V0YRG2
PF01412 Putative GTPase activating protein for Arf,2,4,853,2004,1.17,1.0,-0.0,A0A8V0Y8A2 A0A8V0X8U3
PF01421 Reprolysin (M12B) family zinc metalloprotease ,3,10,853,2004,0.7,0.5314422985360436,0.27,A0A8V0Y1A4 A0A8V0Z9B8 A0A1D5NZ82
PF01423 LSM domain ,3,3,853,2004,2.35,0.07696184073367646,1.11,A0A8V1A0R9 A0A8V0YUR4 A0A8V0Y8F5
PF01433 Peptidase family M1 domain,5,9,853,2004,1.31,0.5080464980841031,0.29,A0A8V0XA92 A0A8V0Y1W6 A0A8V0ZZ05 A0A8V1A0A4 O57579
PF01442 Apolipoprotein A1/A4/E domain,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A8V0ZZN4 A0A8V0ZZT2
PF01471 Putative peptidoglycan binding domain,3,7,853,2004,1.01,1.0,-0.0,A0A8V0YXL9 E1C9E0 A0A8V1AN12
PF01477 PLAT/LH2 domain,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V0XHI6 P11602
PF01556 DnaJ C terminal domain,3,8,853,2004,0.88,1.0,-0.0,A0A8V0ZMT8 A0A1L1RZR2 A0A3Q2UAA1
PF01583 Adenylylsulphate kinase,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A8V0ZJD3 A0A8V0XTM2
PF01747 ATP-sulfurylase,2,2,853,2004,2.35,0.18105476515816474,0.74,A0A8V0ZJD3 A0A8V0XTM2
PF01759 UNC-6/NTR/C345C module,4,9,853,2004,1.04,1.0,-0.0,A0A8V0YQ13 A0A8V1AM71 A0A8V0X8L8 A0A8V0XH43
PF01821 Anaphylotoxin-like domain,4,6,853,2004,1.57,0.41131501808706217,0.39,A0A8V0YDT4 A0A8V1AM71 A0A8V0X8L8 A0A8V0XH43
PF01823 MAC/Perforin domain,2,3,853,2004,1.57,0.5784969609597477,0.24,A0A8V1A184 A0A8V1A8N2
