Domain description	Mapping	Background	All Mapping	All Background	Fold Enrichment	Fisher's exact test p value	-log10(p value)	Related proteins	Log2 Fold enrichment
PF03028 Dynein heavy chain region D6 P-loop domain 	8	11	350	2004	4.16	8.148447694548558e-05	4.09	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	2.0565835283663674
PF12775 P-loop containing dynein motor region	8	11	350	2004	4.16	8.148447694548558e-05	4.09	A0A8V0Y8G8 A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0X370 A0A8V0XK27 A0A8V1A4F4 A0A8V1AM51	2.0565835283663674
PF00652 Ricin-type beta-trefoil lectin domain	7	10	350	2004	4.01	0.00034759851790344015	3.46	A0A8V0ZWH1 A0A8V0ZY61 A0A8V0Z6S1 A0A1D5PJE0 A0A8V1A2F4 A0A8V0Y6W2 A0A8V0XT35	2.0036022366801953
PF08266 Cadherin-like	4	6	350	2004	3.82	0.010224775389971665	1.99	A0A8V0Y969 A0A8V0YHL6 A0A8V0Y478 A0A8V0Y103	1.9335726382610239
PF19236 ADAMTS cysteine-rich domain	7	11	350	2004	3.64	0.0008132980895777477	3.09	A0A8V0YUF6 A0A8V0YRN1 A0A1D5NZ82 A0A8V0Y1A4 A0A8V0Z9B8 A0A8V0ZGF6 A0A8V0ZRN1	1.8639384504239715
PF00225 Kinesin motor domain	5	9	350	2004	3.18	0.010793230493003826	1.97	A0A8V1A449 A0A1D5PBU5 A0A8V0YVT3 A0A8V0XTW4 A0A8V0Z4P8	1.6690267655096307
PF02886 LBP / BPI / CETP family, C-terminal domain	5	9	350	2004	3.18	0.010793230493003826	1.97	A0A8V0YSC2 A0A8V0YRQ0 A0A8V0Z419 A0A1D5PT25 A0A8V0YR09	1.6690267655096307
PF19030 Thrombospondin type 1 domain	7	13	350	2004	3.08	0.0030658328560856196	2.51	A0A8V0YUF6 A0A8V0YRN1 A0A1D5NZ82 A0A8V0Y1A4 A0A8V0Z9B8 A0A8V0ZGF6 A0A8V0ZRN1	1.6229303509201767
PF00041 Fibronectin type III domain	21	49	350	2004	2.45	2.2895480106152845e-05	4.64	A0A8V0XCT3 A0A8V0ZI29 A0A8V0ZXI1 A0A3Q3A4U3 A0A8V0YDT5 A0A8V0Y4G8 A0A8V1AAN6 A0A8V0X8P6 A0A8V0YQ88 A0A8V0ZKS6 A0A8V0XWJ9 A0A8V0XTF7 A0A8V0XXK8 A0A8V1AFR2 A0A8V1AB05 A0A8V0XX41 A0A8V0YDD6 P33005 A0A8V0ZPH9 A0A8V0YRG2 A0A8V0XJE9	1.292781749227846
PF07679 Immunoglobulin I-set domain	15	41	350	2004	2.09	0.002839049768692882	2.55	A0A8V0YUF6 A0A8V0ZKS6 A0A8V0ZI29 A0A8V1AB05 A0A8V0YRN1 A0A8V0Z2J4 A0A8V0Z697 A0A8V0XX41 A0A3Q3A4U3 A0A8V0ZAP5 A0A8V0YXG4 A0A8V0YDT5 A0A8V0ZGF6 A0A8V0Z888 A0A8V0YMR1	1.063502942306158
