Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
"PF00076 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",14,38,503,2004,1.47,0.12823411285991215,0.89,A0A8V0YD10 A0A8V0Z9Y2 A0A8V1ABY0 A0A3Q2U3U3 A0A8V0YM29 A0A8V1AFZ6 A0A8V0ZC55 A0A8V0YGA1 A0A1D5P8I3 A0A1D5NXB3 A0A8V0ZQT1 A0A8V0YJ12 A0A3Q2UCR0 A0A3Q2UAH4
PF00079 Serpin (serine protease inhibitor),6,18,503,2004,1.33,0.4174881979472699,0.38,A0A8V0YCY1 A0A8V0YUR6 A0A8V0XTT7 A0A160F7C1 A0A1D5PLZ2 A0A8V0Z1E6
PF00084 Sushi repeat (SCR repeat),2,13,503,2004,0.61,0.5367644186731699,0.27,A0A8V1AGP0 P81475
PF00085 Thioredoxin,3,16,503,2004,0.75,0.773908916815135,0.11,A0A8V0YVE0 A0A8V0XGH4 A0A8V0XZQ2
PF00089 Trypsin,4,26,503,2004,0.61,0.3618770429942316,0.44,A0A8V0XKE8 A0A8V0ZY87 A0A8V0YUC6 P25155
PF00090 Thrombospondin type 1 domain,2,22,503,2004,0.36,0.0880169513181963,1.06,A0A8V1A184 A0A8V0ZHF5
"PF00091 Tubulin/FtsZ family, GTPase domain",7,10,503,2004,2.79,0.003510956176628054,2.45,A0A8V1AEW4 F1NWX0 P32882 P09644 P09244 A0A8V0ZQ95 A0A1D5NU82
PF00092 von Willebrand factor type A domain,2,19,503,2004,0.42,0.18644952277972893,0.73,A0A8V0XQ96 A0A8V1A774
PF00106 short chain dehydrogenase,7,11,503,2004,2.54,0.007583217541497176,2.12,A0A8V0Z5M1 A0A1D5NWL9 A0A8V0Z0D4 A0A8V0Z420 A0A8V0X2T8 A0A8V0XK42 A0A8V0ZJ84
"PF00108 Thiolase, N-terminal domain",2,4,503,2004,1.99,0.2632996565137429,0.58,A0A8V0XE68 A0A8V0YB71
PF00125 Core histone H2A/H2B/H3/H4,3,3,503,2004,3.98,0.015742245772170187,1.8,A0A3Q2UDI2 P84229 A0A8V0XGQ4
"PF00147 Fibrinogen beta and gamma chains, C-terminal globular domain",4,10,503,2004,1.59,0.28117605212109964,0.55,A0A8V0YIZ9 P14448 A0A8V0Y466 A0A8V0YS27
PF00149 Calcineurin-like phosphoesterase,3,10,503,2004,1.2,0.7186770300091212,0.14,A0A8V0Z5C6 Q5ZM47 A0A8V0ZQN3
"PF00152 tRNA synthetases class II (D, K and N) ",2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0Y121 A0A8V0Y207
PF00169 PH domain,6,22,503,2004,1.09,0.8062842646422741,0.09,A0A8V0ZKA8 A0A8V0YW34 A0A8V0X8U3 A0A8V0YBR8 A0A3Q2U511 A0A1D5P3P3
PF00173 Cytochrome b5-like Heme/Steroid binding domain,2,4,503,2004,1.99,0.2632996565137429,0.58,A0A8V0X4A3 Q5ZKN2
PF00175 Oxidoreductase NAD-binding domain ,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0YHD4 A0A8V0X354
PF00179 Ubiquitin-conjugating enzyme,2,9,503,2004,0.89,1.0,-0.0,A0A8V0YI20 A0A8V0XNV9
PF00180 Isocitrate/isopropylmalate dehydrogenase,2,4,503,2004,1.99,0.2632996565137429,0.58,A0A1D5P8I7 A0A1D5P9I3
PF00226 DnaJ domain,3,14,503,2004,0.85,1.0,-0.0,A0A8V0ZMT8 A0A1L1RZR2 A0A3Q2UAA1
PF00227 Proteasome subunit,12,15,503,2004,3.19,1.1888304163075948e-05,4.92,Q5ZLI2 F1NC02 A0A8V1A582 R4GLB3 A0A8V0XWA8 A0A8V1ABH8 A0A8V0XRD5 A0A1D5PJW4 A0A8V0XB52 A0A8V0ZNX9 A0A8V0ZNG4 Q7ZT63
PF00240 Ubiquitin family,2,8,503,2004,1.0,1.0,-0.0,A0A1D5P624 A0A3Q2TZD8
PF00241 Cofilin/tropomyosin-type actin-binding protein,3,4,503,2004,2.99,0.051168199151694085,1.29,A0A8V0Z8Y2 C7G537 A0A8V1A992
PF00248 Aldo/keto reductase family,2,6,503,2004,1.33,0.6447011390072639,0.19,A0A8V0ZF25 E1BVD1
PF00270 DEAD/DEAH box helicase,8,13,503,2004,2.45,0.005648965048721551,2.25,A0A8V0X895 A0A8V0XZ63 A0A8V0YZ41 Q5ZHZ0 A0A3S5ZPN3 A0A8V0YUW3 A0A3Q2U0S7 A0A8V0YJ71
PF00271 Helicase conserved C-terminal domain,8,15,503,2004,2.12,0.03022134702840225,1.52,A0A8V0X895 A0A8V0XZ63 A0A8V0YZ41 Q5ZHZ0 A0A3S5ZPN3 A0A8V0YUW3 A0A3Q2U0S7 A0A8V0YJ71
PF00273 Serum albumin family,3,3,503,2004,3.98,0.015742245772170187,1.8,A0A8V0XJ14 A0A8V0XCT6 A0A1D5NW68
PF00274 Fructose-bisphosphate aldolase class-I,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0X6I8 A0A8V1AIR0
PF00307 Calponin homology (CH) domain,9,24,503,2004,1.49,0.16044692903164898,0.79,A0A8V0Y5A6 A0A8V0Y126 Q5ZLC7 A0A3Q2UGG0 A0A8V0ZD41 A0A1D5P797 A0A1D5PIZ8 A0A1D5NYG3 A0A8V0YVI8
PF00313 'Cold-shock' DNA-binding domain,2,2,503,2004,3.98,0.06290613979230658,1.2,A0A8V0ZY56 A0A8V0Z1X8
PF00337 Galactoside-binding lectin,3,4,503,2004,2.99,0.051168199151694085,1.29,A0A1D5PQI1 A0A8V0Y2H5 A0A8V0XBM3
PF00350 Dynamin family,2,8,503,2004,1.0,1.0,-0.0,A0A3Q2UHM4 A0A8V0YNP1
PF00354 Pentaxin family,3,5,503,2004,2.39,0.10430712922066417,0.98,A0A8V0ZG73 A0A8V0YFB1 A0A8V1AJ19
PF00364 Biotin-requiring enzyme,3,5,503,2004,2.39,0.10430712922066417,0.98,A0A8V1A102 A0A1D5PQV3 A0A8V0ZWH3
PF00365 Phosphofructokinase,2,2,503,2004,3.98,0.06290613979230658,1.2,A0A8V0ZTG8 A0A8V0XHN0
PF00373 FERM central domain,2,9,503,2004,0.89,1.0,-0.0,A0A8V0Y699 A0A8V0WZJ7
PF00378 Enoyl-CoA hydratase/isomerase,3,6,503,2004,1.99,0.1707197156586495,0.77,A0A8V0Y8S2 A0A8V0YYX3 A0A8V0Y492
PF00406 Adenylate kinase,2,8,503,2004,1.0,1.0,-0.0,A0A8V1AC34 A0A8V0Z310
PF00412 LIM domain,5,9,503,2004,2.21,0.04931699113082855,1.31,A0A8V0Y126 A0A8V0XJD2 A0A8V1AAK7 E1C852 Q9PW72
PF00435 Spectrin repeat,5,9,503,2004,2.21,0.04931699113082855,1.31,A0A8V1A9H2 A0A8V0Y5A6 A0A8V0ZD41 A0A1D5P797 A0A8V0YVI8
"PF00441 Acyl-CoA dehydrogenase, C-terminal domain",5,9,503,2004,2.21,0.04931699113082855,1.31,A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 F1NEF6
PF00458 WHEP-TRS domain,4,4,503,2004,3.98,0.003933594645728098,2.41,A0A3Q2TSP8 A0A8V0YH08 E1C2Z5 A0A8V1AAU9
PF00530 Scavenger receptor cysteine-rich domain,3,6,503,2004,1.99,0.1707197156586495,0.77,A0A8V0XKE8 A0A8V0XR98 A0A8V0XEL0
PF00531 Death domain,2,4,503,2004,1.99,0.2632996565137429,0.58,A0A3Q2U211 A0A8V0XYK6
PF00576 HIUase/Transthyretin family,2,2,503,2004,3.98,0.06290613979230658,1.2,A0A1I7Q422 A0A1L1RWR0
PF00578 AhpC/TSA family,3,4,503,2004,2.99,0.051168199151694085,1.29,A0A1D5PBY3 A0A8V0YEN4 P0CB50
"PF00587 tRNA synthetase class II core domain (G, H, P, S and T)",3,5,503,2004,2.39,0.10430712922066417,0.98,A0A3Q2TSP8 A0A8V1A7D7 A0A8V1AAU9
PF00594 Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain,3,7,503,2004,1.71,0.37718966759094696,0.42,A0A8V0ZY87 A0A8V0YUC6 P25155
PF00595 PDZ domain,6,25,503,2004,0.96,1.0,-0.0,A0A8V0XJD2 A0A8V0XKL1 A0A8V1A6Q7 A0A8V0X354 Q9PW72 E1C852
PF00621 RhoGEF domain,3,6,503,2004,1.99,0.1707197156586495,0.77,A0A8V0ZJF4 A0A8V0YW34 A0A1D5P3P3
PF00626 Gelsolin repeat,2,9,503,2004,0.89,1.0,-0.0,A0A8V0Z7B5 A0A3Q2UGR5
PF00627 UBA/TS-N domain,3,5,503,2004,2.39,0.10430712922066417,0.98,A0A1D5P624 A0A3Q2TZD8 A0A8V0ZUX9
PF00651 BTB/POZ domain,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A1D5NTV7 A0A8V1AB09
"PF00670 S-adenosyl-L-homocysteine hydrolase, NAD binding domain",2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V1A1S6 A0A8V0XM35
PF00679 Elongation factor G C-terminus,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A1D5PS29 A0A8V0Z083
PF00684 DnaJ central domain,2,4,503,2004,1.99,0.2632996565137429,0.58,A0A8V0ZMT8 A0A1L1RZR2
"PF00690 Cation transporter/ATPase, N-terminus",3,8,503,2004,1.49,0.42238144793292826,0.37,A0A8V0ZX92 A0A8V1A840 A0A1L1RKB7
PF00702 haloacid dehalogenase-like hydrolase,3,8,503,2004,1.49,0.42238144793292826,0.37,A0A8V0ZX92 A0A8V1A840 A0A1L1RKB7
PF00735 Septin,4,6,503,2004,2.66,0.03789454278283852,1.42,A0A8V0YS41 A0A8V0Z7V7 A0A8V1AKB5 A0A8V1AKZ9
PF00787 PX domain,6,11,503,2004,2.17,0.03456829918947998,1.46,A0A8V0XJG4 A0A8V0YQL8 A0A8V1A6Q7 A0A8V0ZEP8 A0A1L1S0C5 A0A8V0XBS7
PF00932 Lamin Tail Domain,3,3,503,2004,3.98,0.015742245772170187,1.8,P13648 A0A8V0YY54 A0A3Q2U596
PF01023 S-100/ICaBP type calcium binding domain,4,5,503,2004,3.19,0.015742245772186053,1.8,P24479 Q98953 A0A8V1AG73 A0A8V1ABP6
"PF01067 Calpain large subunit, domain III",2,5,503,2004,1.59,0.6046301363131026,0.22,A0A8V0XAS9 P00789
PF01105 emp24/gp25L/p24 family/GOLD,2,4,503,2004,1.99,0.2632996565137429,0.58,Q5ZLF6 A0A8V0ZUA4
PF01217 Clathrin adaptor complex small chain,3,9,503,2004,1.33,0.699470240892299,0.16,A0A8V1AIF1 Q5ZL57 A0A8V0ZML0
PF01302 CAP-Gly domain,2,4,503,2004,1.99,0.2632996565137429,0.58,A0A8V0XJW7 A0A8V1A1U8
PF01336 OB-fold nucleic acid binding domain,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0Y121 A0A8V0Y207
PF01363 FYVE zinc finger,3,6,503,2004,1.99,0.1707197156586495,0.77,A0A8V1AB09 A0A1D5PMX3 A0A1D5P3P3
PF01399 PCI domain,4,11,503,2004,1.45,0.4833790371643654,0.32,A0A8V0X4M9 A0A1D5NXL7 A0A8V0ZEY1 A0A8V0XHV8
PF01412 Putative GTPase activating protein for Arf,2,4,503,2004,1.99,0.2632996565137429,0.58,A0A8V0Y8A2 A0A8V0X8U3
PF01423 LSM domain ,3,3,503,2004,3.98,0.015742245772170187,1.8,A0A8V1A0R9 A0A8V0YUR4 A0A8V0Y8F5
PF01433 Peptidase family M1 domain,4,9,503,2004,1.77,0.2408727366079375,0.62,A0A8V1A0A4 A0A8V0Y1W6 A0A8V0ZZ05 O57579
PF01442 Apolipoprotein A1/A4/E domain,2,2,503,2004,3.98,0.06290613979230658,1.2,A0A8V0ZZN4 A0A8V0ZZT2
PF01556 DnaJ C terminal domain,3,8,503,2004,1.49,0.42238144793292826,0.37,A0A8V0ZMT8 A0A1L1RZR2 A0A3Q2UAA1
PF01583 Adenylylsulphate kinase,2,2,503,2004,3.98,0.06290613979230658,1.2,A0A8V0ZJD3 A0A8V0XTM2
PF01747 ATP-sulfurylase,2,2,503,2004,3.98,0.06290613979230658,1.2,A0A8V0ZJD3 A0A8V0XTM2
PF01759 UNC-6/NTR/C345C module,3,9,503,2004,1.33,0.699470240892299,0.16,A0A8V0YQ13 A0A8V0X8L8 A0A8V0XH43
PF01821 Anaphylotoxin-like domain,2,6,503,2004,1.33,0.6447011390072639,0.19,A0A8V0X8L8 A0A8V0XH43
PF01835 MG2 domain,5,11,503,2004,1.81,0.15687034561004437,0.8,A0A8V0X8L8 A0A8V0X5U5 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF01979 Amidohydrolase family,2,4,503,2004,1.99,0.2632996565137429,0.58,A0A3Q2UHG8 A0A8V0Z6R7
PF02177 Amyloid A4 N-terminal heparin-binding,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0ZWX1 A0A8V1A108
PF02197 Regulatory subunit of type II PKA R-subunit,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0Z8R3 A0A8V1ACT0
"PF02359 Cell division protein 48 (CDC48), N-terminal domain",2,2,503,2004,3.98,0.06290613979230658,1.2,A0A1D5NTY5 A0A8V0ZZU2
"PF02518 Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",2,4,503,2004,1.99,0.2632996565137429,0.58,A0A1D5PPN9 A0A1D5PUL6
PF02736 Myosin N-terminal SH3-like domain,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V1AHP5 A0A1D5PM19
"PF02770 Acyl-CoA dehydrogenase, middle domain",5,9,503,2004,2.21,0.04931699113082855,1.31,A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 F1NEF6
"PF02771 Acyl-CoA dehydrogenase, N-terminal domain",5,9,503,2004,2.21,0.04931699113082855,1.31,A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 F1NEF6
"PF02803 Thiolase, C-terminal domain",2,4,503,2004,1.99,0.2632996565137429,0.58,A0A8V0XE68 A0A8V0YB71
"PF02866 lactate/malate dehydrogenase, alpha/beta C-terminal domain",3,6,503,2004,1.99,0.1707197156586495,0.77,E1BVT3 E1BTT8 P00337
"PF02874 ATP synthase alpha/beta family, beta-barrel domain",5,6,503,2004,3.32,0.004666097266876483,2.33,F1NBW2 A0A8V1A624 A0A1D5PP57 A0A8V1AAC8 A0A1D5PN54
PF02883 Adaptin C-terminal domain,2,6,503,2004,1.33,0.6447011390072639,0.19,A0A1D5PXH0 A0A8V0Y079
"PF02933 Cell division protein 48 (CDC48), domain 2",2,2,503,2004,3.98,0.06290613979230658,1.2,A0A1D5NTY5 A0A8V0ZZU2
PF03129 Anticodon binding domain,3,5,503,2004,2.39,0.10430712922066417,0.98,A0A3Q2TSP8 A0A8V0YH08 A0A8V1AAU9
PF03143 Elongation factor Tu C-terminal domain,2,2,503,2004,3.98,0.06290613979230658,1.2,A0A1D5PYQ3 A0A8V0XBW1
PF03144 Elongation factor Tu domain 2,6,7,503,2004,3.41,0.001346578886001854,2.87,A0A1D5PS29 A0A1D5PYQ3 A0A8V0XBW1 Q5ZMS3 A0A8V0Z083 P84172
PF03953 Tubulin C-terminal domain,7,10,503,2004,2.79,0.003510956176628054,2.45,A0A8V1AEW4 F1NWX0 P32882 P09644 P09244 A0A8V0ZQ95 A0A1D5NU82
PF04810 Sec23/Sec24 zinc finger,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0Z7B5 A0A3Q2UGR5
PF04811 Sec23/Sec24 trunk domain,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0Z7B5 A0A3Q2UGR5
PF04815 Sec23/Sec24 helical domain,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0Z7B5 A0A3Q2UGR5
PF04969 CS domain,2,2,503,2004,3.98,0.06290613979230658,1.2,A0A8V0YCC2 A0A3Q2U7H6
PF05193 Peptidase M16 inactive domain,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0YZL1 A0A8V1A3B4
PF05221 S-adenosyl-L-homocysteine hydrolase,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V1A1S6 A0A8V0XM35
PF06456 Arfaptin-like domain,2,2,503,2004,3.98,0.06290613979230658,1.2,A0A8V0X678 A0A1D5P997
PF07648 Kazal-type serine protease inhibitor domain,2,15,503,2004,0.53,0.3821329446422149,0.42,A0A8V0ZJH8 A0A8V1A1C6
PF07677 A-macroglobulin receptor binding domain,5,12,503,2004,1.66,0.18989665530111566,0.72,A0A8V0X8L8 A0A8V0X5U5 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF07679 Immunoglobulin I-set domain,4,41,503,2004,0.39,0.01824104615386106,1.74,A0A8V1A0H5 A0A8V1A3I2 A0A8V0Z153 A0A8V0X5B9
PF07686 Immunoglobulin V-set domain,3,37,503,2004,0.32,0.012570135446977139,1.9,A0A8V0X829 A0A8V0XZ15 A0A8V0XHB9
PF07703 Alpha-2-macroglobulin bait region domain,5,12,503,2004,1.66,0.18989665530111566,0.72,A0A8V0X8L8 A0A8V0X5U5 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF08033 Sec23/Sec24 beta-sandwich domain,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0Z7B5 A0A3Q2UGR5
PF08513 LisH,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0Y9B4 A0A8V1AJB6
PF08726 Ca2+ insensitive EF hand,3,4,503,2004,2.99,0.051168199151694085,1.29,A0A8V0ZD41 A0A8V1A9H2 A0A8V0Y5A6
PF09325 Vps5 C terminal like,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0XJG4 A0A1L1S0C5
PF11838 ERAP1-like C-terminal domain,3,7,503,2004,1.71,0.37718966759094696,0.42,A0A8V0Y1W6 A0A8V0ZZ05 O57579
"PF12924 Copper-binding of amyloid precursor, CuBD",2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0ZWX1 A0A8V1A108
PF12925 E2 domain of amyloid precursor protein,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0ZWX1 A0A8V1A108
PF12937 F-box-like,2,4,503,2004,1.99,0.2632996565137429,0.58,A0A8V0ZH27 A0A8V0Z687
PF13202 EF hand,3,8,503,2004,1.49,0.42238144793292826,0.37,A0A1D5P4Z5 Q5ZKE5 A0A8V1AGD6
PF13242 HAD-hyrolase-like,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0YH66 F1NC58
PF13344 Haloacid dehalogenase-like hydrolase,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0YH66 F1NC58
PF13405 EF-hand domain,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A1L1RM08 A0A1D5P4Z5
PF13499 EF-hand domain pair,10,22,503,2004,1.81,0.04367906066841522,1.36,A0A8V0X5A1 A0A8V1A9H2 F1NCA2 A0A3Q2TTG3 A0A3Q3B0H3 A0A1D5P2H5 Q5ZKE5 F1NHD8 Q5ZM44 A0A8V0ZZL0
PF13833 EF-hand domain pair,2,5,503,2004,1.59,0.6046301363131026,0.22,A0A1L1RM08 A0A8V0XAS9
PF13927 Immunoglobulin domain,4,32,503,2004,0.5,0.10424389521784228,0.98,P17790 A0A8V1A3I2 A0A8V0ZDW7 A0A8V0X5B9
PF14306 PUA-like domain,2,2,503,2004,3.98,0.06290613979230658,1.2,A0A8V0ZJD3 A0A8V0XTM2
"PF14492 Elongation Factor G, domain III",2,3,503,2004,2.66,0.15723392783238638,0.8,A0A1D5PS29 A0A8V0Z083
PF14604 Variant SH3 domain,2,17,503,2004,0.47,0.26833217583858826,0.57,A0A8V0ZG64 A0A8V0X8U3
PF16450 Proteasomal ATPase OB C-terminal domain,4,4,503,2004,3.98,0.003933594645728098,2.41,A0A8V0Z3K2 A0A8V0ZH96 A0A1L1RP66 F1NU79
PF16746 BAR domain of APPL family,2,2,503,2004,3.98,0.06290613979230658,1.2,A0A8V0YBR8 A0A8V0X8U3
PF17789 Macroglobulin domain MG4,4,10,503,2004,1.59,0.28117605212109964,0.55,A0A8V1AAP1 A0A8V0ZKI9 A0A8V0X8L8 A0A8V0XH43
PF17790 Macroglobulin domain MG1,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0X8L8 A0A8V0XH43
PF17791 Macroglobulin domain MG3,5,9,503,2004,2.21,0.04931699113082855,1.31,A0A8V0X8L8 A0A8V0X5U5 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF17862 AAA+ lid domain,8,14,503,2004,2.28,0.01032524831086173,1.99,A0A8V0Z3K2 A0A1D5NTY5 A0A8V0Y2X7 F1NU79 A0A8V0Y9B4 A0A8V0ZZU2 A0A1L1RP66 A0A8V0ZH96
PF17900 Peptidase M1 N-terminal domain,4,9,503,2004,1.77,0.2408727366079375,0.62,A0A8V1A0A4 A0A8V0Y1W6 A0A8V0ZZ05 O57579
PF17902 SH3 domain,2,4,503,2004,1.99,0.2632996565137429,0.58,A0A8V0Z0W8 A0A8V0Y4B7
PF18373 Spectrin like domain,2,4,503,2004,1.99,0.2632996565137429,0.58,A0A8V0Y0I0 A0A8V0Y4B7
PF19018 Vanin C-terminal domain,2,3,503,2004,2.66,0.15723392783238638,0.8,A0A8V0XM46 E1C3J7
