Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00089 Trypsin,9,26,432,2004,1.61,0.14500780628601923,0.84,A0A8V0ZUZ0 A0A8V0ZIX6 A0A8V1A8E4 A0A8V0ZNH3 A0A8V0XEY5 A0A8V1A987 A0A8V0YID0 A0A8V0YU75 A0A8V0X945
PF00090 Thrombospondin type 1 domain,5,22,432,2004,1.05,0.7994091574219812,0.1,A0A8V0Y1A4 A0A1D5NZ82 A0A8V0Z9B8 A0A1D5PFR3 A0A8V0ZRN1
PF00092 von Willebrand factor type A domain,5,19,432,2004,1.22,0.5797520952227462,0.24,A0A8V0XQ82 A0A8V0XHW9 A0A8V0ZHX5 A0A8V0YHC1 A0A8V0YU75
PF00095 WAP-type (Whey Acidic Protein) 'four-disulfide core',2,4,432,2004,2.32,0.2050176292016678,0.69,A0A8V0YTH9 A0A8V0YTD7
PF00102 Protein-tyrosine phosphatase,3,13,432,2004,1.07,1.0,-0.0,A0A8V1AB05 A0A1D5PVR6 A0A8V0ZI29
"PF00108 Thiolase, N-terminal domain",2,4,432,2004,2.32,0.2050176292016678,0.69,A0A8V0Y9E4 A0A8V0XH76
PF00130 Phorbol esters/diacylglycerol binding domain (C1 domain),3,7,432,2004,1.99,0.17549653289247774,0.76,A0A8V1ABC9 A0A8V0XRQ6 A0A8V0ZZL0
PF00135 Carboxylesterase family,2,4,432,2004,2.32,0.2050176292016678,0.69,A0A8V0Y9F8 A0A8V0Y4Q2
"PF00147 Fibrinogen beta and gamma chains, C-terminal globular domain",2,10,432,2004,0.93,1.0,-0.0,A0A8V0X8P6 A0A8V0XCT3
PF00168 C2 domain,16,30,432,2004,2.47,0.00011886942302970955,3.92,A0A8V0XE95 A0A8V0XFL3 A0A8V0ZZG2 A0A1D5NZL7 A0A8V0Y414 A0A8V0ZHK9 A0A8V1A2A7 A0A8V0YRA3 A0A3Q2U0G2 A0A8V0YKG4 A0A8V1A0D3 A0A8V0Z7D4 A0A8V1ABC9 A0A8V0ZZN9 A0A8V0X2V3 A0A8V0YYB4
PF00169 PH domain,10,22,432,2004,2.11,0.014854262146562887,1.83,A0A8V0ZTS7 A0A1D5P7L9 A0A8V0ZBA3 A0A3Q3ALT4 A0A8V0XIZ0 A0A8V1A2A7 A0A8V0XRQ6 A0A3Q2TSS2 A0A8V0X8U3 A0A8V0X2V3
PF00179 Ubiquitin-conjugating enzyme,4,9,432,2004,2.06,0.1071263312696241,0.97,A0A8V0XCV2 A0A8V0YFD4 A0A1D5PNL3 A0A8V0XLH3
PF00191 Annexin,2,9,432,2004,1.03,1.0,-0.0,A0A8V0Z637 A0A1D5P8E9
PF00194 Eukaryotic-type carbonic anhydrase,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V1AKN8 A0A8V0YLT1
PF00225 Kinesin motor domain,3,9,432,2004,1.55,0.4153693753092279,0.38,A0A8V0YVT3 A0A8V0Z4P8 A0A8V0XTW4
PF00229 TNF(Tumour Necrosis Factor) family ,2,4,432,2004,2.32,0.2050176292016678,0.69,A0A8V1AAN2 A0A8V0Z3C0
PF00240 Ubiquitin family,3,8,432,2004,1.74,0.38083208696874826,0.42,A0A8V1A4X0 A0A8V0Z4J0 A0A8V0XK64
PF00248 Aldo/keto reductase family,3,6,432,2004,2.32,0.11861858062910022,0.93,A0A8V0YKA1 A0A8V0YJV4 A0A8V1AAP7
PF00307 Calponin homology (CH) domain,2,24,432,2004,0.39,0.13697988690351595,0.86,A0A1L1RWF6 A0A8V1ALH2
PF00334 Nucleoside diphosphate kinase,2,4,432,2004,2.32,0.2050176292016678,0.69,A0A8V0XGF5 A0A8V0YTD8
PF00341 PDGF/VEGF domain,2,6,432,2004,1.55,0.6154084302765811,0.21,A0A8V0XD22 Q9I946
PF00373 FERM central domain,2,9,432,2004,1.03,1.0,-0.0,A0A1D5NYK7 A0A8V0XPN3
PF00386 C1q domain,3,6,432,2004,2.32,0.11861858062910022,0.93,A0A8V0YA97 A0A8V0X207 R4GKL8
PF00406 Adenylate kinase,2,8,432,2004,1.16,0.6846261337404856,0.16,A0A8V0YIE9 A0A8V1AJZ1
PF00413 Matrixin,4,7,432,2004,2.65,0.042781310944147714,1.37,E1C9E0 A0A8V1AN12 Q90611 A0A8V0XP02
PF00431 CUB domain,6,17,432,2004,1.64,0.2298037638243168,0.64,A0A8V0ZUZ0 A0A8V0ZIX6 A0A8V0Y927 A0A1D5PIZ5 A0A8V0YKF2 Q9I946
PF00531 Death domain,2,4,432,2004,2.32,0.2050176292016678,0.69,A0A8V1ABC8 A0A8V0ZHP3
PF00594 Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain,2,7,432,2004,1.33,0.6480993553295924,0.19,A0A8V0YVP9 A0A8V0YID0
PF00595 PDZ domain,3,25,432,2004,0.56,0.32987704116755423,0.48,A0A8V1AJV5 A0A8V0YXB1 Q0PVE4
PF00615 Regulator of G protein signaling domain,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V0ZTS7 A0A8V0Y907
PF00620 RhoGAP domain,4,9,432,2004,2.06,0.1071263312696241,0.97,A0A8V0XYZ6 A0A3Q3ACS4 A0A8V0XIZ0 A0A8V0XYP6
"PF00629 MAM domain, meprin/A5/mu",2,9,432,2004,1.03,1.0,-0.0,A0A8V0XRN3 A0A8V0Z888
PF00652 Ricin-type beta-trefoil lectin domain,4,10,432,2004,1.86,0.23701831094212655,0.63,A0A8V0Y6W2 A0A8V1A2F4 A0A8V0XT35 A0A1D5PJE0
"PF00690 Cation transporter/ATPase, N-terminus",2,8,432,2004,1.16,0.6846261337404856,0.16,A0A8V0YFG2 A0A8V0YFB8
PF00702 haloacid dehalogenase-like hydrolase,2,8,432,2004,1.16,0.6846261337404856,0.16,A0A8V0YFG2 A0A8V0YFB8
PF00754 F5/8 type C domain,2,9,432,2004,1.03,1.0,-0.0,A0A8V0Y927 A0A8V0YKF2
PF00787 PX domain,3,11,432,2004,1.27,0.7119299058250934,0.15,A0A8V0XBS7 A0A1D5PC37 E1C4N7
PF00788 Ras association (RalGDS/AF-6) domain,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V0YZB6 A0A8V0ZYC3
PF01019 Gamma-glutamyltranspeptidase,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V1A0M8 A0A8V0ZIZ5
PF01182 Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V0Z832 Q5ZLA0
PF01221 Dynein light chain type 1 ,2,3,432,2004,3.09,0.11923069053469854,0.92,Q5ZHX2 A0A8V1AB68
PF01223 DNA/RNA non-specific endonuclease,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V1A9K2 A0A8V0XWZ8
PF01412 Putative GTPase activating protein for Arf,2,4,432,2004,2.32,0.2050176292016678,0.69,A0A3Q3ALT4 A0A8V0X8U3
PF01421 Reprolysin (M12B) family zinc metalloprotease ,3,10,432,2004,1.39,0.4571888724906742,0.34,A0A8V0Y1A4 A0A8V0Z9B8 A0A1D5NZ82
PF01433 Peptidase family M1 domain,3,9,432,2004,1.55,0.4153693753092279,0.38,A0A8V0Y1W6 A0A8V0Y6Q3 A0A1L1RVF4
PF01471 Putative peptidoglycan binding domain,4,7,432,2004,2.65,0.042781310944147714,1.37,E1C9E0 A0A8V1AN12 Q90611 A0A8V0XP02
PF01477 PLAT/LH2 domain,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V0XHI6 P11602
PF01759 UNC-6/NTR/C345C module,2,9,432,2004,1.03,1.0,-0.0,A0A3Q2TWG9 A0A8V0YA55
PF01835 MG2 domain,3,11,432,2004,1.27,0.7119299058250934,0.15,A0A8V0X5U5 A0A8V0ZKM2 A0A8V0ZTX8
PF01852 START domain,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V0XYP6 A0A8V0Z4P8
PF02210 Laminin G domain,2,13,432,2004,0.71,0.7464098859328618,0.13,A0A8V0XTP1 A0A8V0YVP9
"PF02263 Guanylate-binding protein, N-terminal domain",2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V1ACN6 A0A8V1ADN6
"PF02798 Glutathione S-transferase, N-terminal domain",5,8,432,2004,2.9,0.014271130565728844,1.85,A0A8V1AHJ8 A0A8V1AI83 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81
"PF02803 Thiolase, C-terminal domain",2,4,432,2004,2.32,0.2050176292016678,0.69,A0A8V0Y9E4 A0A8V0XH76
"PF02841 Guanylate-binding protein, C-terminal domain",2,2,432,2004,4.64,0.0463855115529904,1.33,A0A8V1ACN6 A0A8V1ADN6
"PF02886 LBP / BPI / CETP family, C-terminal domain",6,9,432,2004,3.09,0.004489681906828851,2.35,A0A8V0YRQ0 A0A8V0Z419 A0A8V0YRT1 O42273 A0A1D5PT25 A0A8V0YR09
PF03024 Folate receptor family,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V0XDM2 A0A140T8H8
PF03028 Dynein heavy chain region D6 P-loop domain ,5,11,432,2004,2.11,0.06645156786215109,1.18,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0XK27 A0A8V1AM51
PF03114 BAR domain,2,5,432,2004,1.86,0.2948079583386073,0.53,A0A8V0ZAU8 Q8AXV0
PF03446 NAD binding domain of 6-phosphogluconate dehydrogenase,2,2,432,2004,4.64,0.0463855115529904,1.33,A0A8V0YZ27 A0A1D5PH80
PF03815 LCCL domain,4,4,432,2004,4.64,0.0021359787928655035,2.67,A0A8V0XGV7 A0A8V0Y927 A0A8V0YKF2 A0A8V0XHW9
"PF06017 Unconventional myosin tail, actin- and lipid-binding",3,5,432,2004,2.78,0.07033213549513119,1.15,A0A1D5NWY3 A0A1D5P0X0 A0A8V0ZQP1
PF06565 DM10 domain,2,2,432,2004,4.64,0.0463855115529904,1.33,A0A8V0XUH6 A0A8V0Y9Q3
PF07645 Calcium-binding EGF domain,6,25,432,2004,1.11,0.8064248915175201,0.09,A0A8V0YSB2 A0A8V1A9U7 A0A8V0Y413 A0A8V0YVP9 A0A8V0XRN3 A0A8V0ZWP9
PF07648 Kazal-type serine protease inhibitor domain,4,15,432,2004,1.24,0.5438623566371772,0.26,A0A8V1A1C6 A0A1D5NZN4 A0A1D5PJN7 P31696
PF07653 Variant SH3 domain,3,10,432,2004,1.39,0.4571888724906742,0.34,A0A8V0XQS1 A0A8V0Y1I1 A0A1L1RP76
PF07654 Immunoglobulin C1-set domain,2,11,432,2004,0.84,1.0,-0.0,A0A8V0XEJ5 A0A8V0X8D5
PF07677 A-macroglobulin receptor binding domain,4,12,432,2004,1.55,0.30165128496945637,0.52,A0A8V0X5U5 A0A8V0ZKM2 A0A8V0ZQ48 A0A8V0ZTX8
PF07679 Immunoglobulin I-set domain,9,41,432,2004,1.02,1.0,-0.0,A0A8V0Y2M4 A0A8V0ZI29 A0A8V1AB05 A0A8V0XX41 A0A3Q3A4U3 A0A8V0YXG4 Q8AV58 A0A8V0Z888 Q03696
PF07686 Immunoglobulin V-set domain,14,37,432,2004,1.76,0.02419447023154889,1.62,A0A8V0XRT4 A0A8V0ZZJ1 A0A8V0XKX6 A0A8V1A3D7 A0A8V0XZV7 A0A8V0ZQJ4 A0A8V0XH88 A0A8V0XDZ2 A0A8V0ZXT4 F1NJI3 A0A1D5PLF4 A0A8V0ZZH6 A0A8V0XA34 A0A8V0ZVP0
PF07703 Alpha-2-macroglobulin bait region domain,4,12,432,2004,1.55,0.30165128496945637,0.52,A0A8V0X5U5 A0A8V0ZKM2 A0A8V0ZQ48 A0A8V0ZTX8
PF07714 Protein tyrosine and serine/threonine kinase,2,22,432,2004,0.42,0.19649117339858774,0.71,A0A8V1A9R2 A0A8V0YWW2
PF08266 Cadherin-like,2,6,432,2004,1.55,0.6154084302765811,0.21,A0A8V0YHL6 A0A8V0Y103
PF08686 PLAC (protease and lacunin) domain,3,6,432,2004,2.32,0.11861858062910022,0.93,A0A8V0ZRN1 A0A1D5NZ82 A0A8V0ZA56
PF08758 Cadherin prodomain like,3,4,432,2004,3.48,0.03344375186862302,1.48,A0A8V0XCI3 A0A8V0Y0T2 A0A3Q2UGT3
"PF09007 EBP50, C-terminal",2,2,432,2004,4.64,0.0463855115529904,1.33,A0A8V1AJV5 A0A8V0YXB1
"PF09279 Phosphoinositide-specific phospholipase C, efhand-like",2,3,432,2004,3.09,0.11923069053469854,0.92,A0A1D5NZL7 A0A3Q2U0G2
PF09379 FERM N-terminal domain ,2,6,432,2004,1.55,0.6154084302765811,0.21,A0A1D5NYK7 A0A8V0XPN3
PF09380 FERM C-terminal PH-like domain,2,6,432,2004,1.55,0.6154084302765811,0.21,A0A1D5NYK7 A0A8V0XPN3
PF10456 WASP-binding domain of Sorting nexin protein,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A1D5PC37 E1C4N7
PF11838 ERAP1-like C-terminal domain,2,7,432,2004,1.33,0.6480993553295924,0.19,A0A8V0Y1W6 A0A1L1RVF4
PF12662 Complement Clr-like EGF-like,2,11,432,2004,0.84,1.0,-0.0,A0A8V1A9U7 A0A8V0YXI9
PF12697 Alpha/beta hydrolase family,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V1AEW1 A0A8V0X643
PF12774 Hydrolytic ATP binding site of dynein motor region,5,11,432,2004,2.11,0.06645156786215109,1.18,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0XK27 A0A8V1AM51
PF12775 P-loop containing dynein motor region,5,11,432,2004,2.11,0.06645156786215109,1.18,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0XK27 A0A8V1AM51
PF12777 Microtubule-binding stalk of dynein motor,5,11,432,2004,2.11,0.06645156786215109,1.18,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0XK27 A0A8V1AM51
PF12780 P-loop containing dynein motor region D4,5,11,432,2004,2.11,0.06645156786215109,1.18,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0XK27 A0A8V1AM51
PF12781 ATP-binding dynein motor region,5,11,432,2004,2.11,0.06645156786215109,1.18,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0XK27 A0A8V1AM51
PF13202 EF hand,2,8,432,2004,1.16,0.6846261337404856,0.16,A0A8V0ZZ91 A0A8V0XJW9
"PF13417 Glutathione S-transferase, N-terminal domain",2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V1AGW0 A0A8V0ZJE0
PF13445 RING-type zinc-finger,2,2,432,2004,4.64,0.0463855115529904,1.33,A0A8V0YPH9 A0A8V1AJ90
PF13469 Sulfotransferase family,2,2,432,2004,4.64,0.0463855115529904,1.33,A0A3Q2UD60 A0A8V0ZX23
PF13499 EF-hand domain pair,3,22,432,2004,0.63,0.4461093564883607,0.35,A0A8V0XEJ2 A0A8V0ZZ91 A0A8V0ZZL0
PF13768 von Willebrand factor type A domain,2,2,432,2004,4.64,0.0463855115529904,1.33,A0A8V0YZ82 A0A8V0YWW6
PF13895 Immunoglobulin domain,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V0ZB91 A0A8V1A9Y1
PF13927 Immunoglobulin domain,7,32,432,2004,1.01,1.0,-0.0,A0A8V0XX41 A0A3Q3A4U3 A0A8V0YXG4 A0A1D5PJN7 Q8AV58 Q03696 A0A8V0Z888
"PF14497 Glutathione S-transferase, C-terminal domain",4,6,432,2004,3.09,0.022045690361219658,1.66,A0A1D5NT70 A0A8V0X7B2 A0A8V1AI83 A0A8V0ZJE0
PF14604 Variant SH3 domain,5,17,432,2004,1.36,0.3865965527473998,0.41,A0A8V0XIZ0 E1C4N7 A0A8V0XZQ1 A0A8V0X8U3 A0A1D5PC37
PF14670 Coagulation Factor Xa inhibitory site,4,17,432,2004,1.09,0.7717796615218455,0.11,A0A8V0ZWP9 A0A8V0YSB2 A0A8V0YID0 A0A8V1A9U7
PF14874 Flagellar-associated PapD-like,2,2,432,2004,4.64,0.0463855115529904,1.33,A0A8V0X8Z6 A0A8V0ZLV6
PF15057 Domain of unknown function (DUF4537),2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V0YZ82 A0A8V0ZEU9
PF15711 Interleukin-like EMT inducer,4,7,432,2004,2.65,0.042781310944147714,1.37,A0A8V0ZYN6 A0A8V0ZR84 A0A8V0YGM5 E1C5S9
"PF15780 Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin",2,2,432,2004,4.64,0.0463855115529904,1.33,A0A8V0YYD5 A0A8V0ZT48
PF16470 Peptidase S8 pro-domain,2,3,432,2004,3.09,0.11923069053469854,0.92,A0A8V0X4D8 A0A8V0ZA56
PF16489 GPCR-Autoproteolysis INducing (GAIN) domain,2,4,432,2004,2.32,0.2050176292016678,0.69,A0A8V0XTP1 A0A8V0X9Y5
PF17771 ADAMTS cysteine-rich domain 2,3,7,432,2004,1.99,0.17549653289247774,0.76,A0A8V0Y1A4 A0A8V0Z9B8 A0A1D5NZ82
PF17787 PH domain,2,2,432,2004,4.64,0.0463855115529904,1.33,A0A1D5NZL7 A0A3Q2U0G2
PF17789 Macroglobulin domain MG4,2,10,432,2004,0.93,1.0,-0.0,A0A8V0ZKM2 A0A8V0ZTX8
PF17791 Macroglobulin domain MG3,3,9,432,2004,1.55,0.4153693753092279,0.38,A0A8V0X5U5 A0A8V0ZKM2 A0A8V0ZTX8
PF17852 Dynein heavy chain AAA lid domain,4,9,432,2004,2.06,0.1071263312696241,0.97,A0A8V1A6Y8 A0A8V0XSB0 A0A8V1AM51 A0A8V0Z6B9
PF17857 AAA+ lid domain,4,8,432,2004,2.32,0.07129149132271997,1.15,A0A8V1A6Y8 A0A8V0XSB0 A0A8V1AM51 A0A8V0Z6B9
PF17900 Peptidase M1 N-terminal domain,3,9,432,2004,1.55,0.4153693753092279,0.38,A0A8V0Y1W6 A0A8V0Y6Q3 A0A1L1RVF4
PF18198 Dynein heavy chain AAA lid domain,5,11,432,2004,2.11,0.06645156786215109,1.18,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0XK27 A0A8V1AM51
PF18199 Dynein heavy chain C-terminal domain,5,11,432,2004,2.11,0.06645156786215109,1.18,A0A8V0Z6B9 A0A8V0XSB0 A0A8V1A6Y8 A0A8V0XK27 A0A8V1AM51
PF19030 Thrombospondin type 1 domain,4,13,432,2004,1.43,0.49517874967550113,0.31,A0A8V0Y1A4 A0A8V0ZRN1 A0A8V0Z9B8 A0A1D5NZ82
PF19236 ADAMTS cysteine-rich domain,4,11,432,2004,1.69,0.265392969260684,0.58,A0A8V0Y1A4 A0A8V0ZRN1 A0A8V0Z9B8 A0A1D5NZ82
