Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00168 C2 domain,17,30,881,2004,1.29,0.1944943235902838,0.71,A0A8V0XE95 A0A8V0XFL3 A0A8V0ZZG2 A0A1D5NZL7 A0A8V0Y414 A0A8V0ZHK9 A0A8V1A2A7 A0A8V0YRA3 A0A8V1A0A0 A0A3Q2U0G2 A0A8V0YKG4 A0A8V1A0D3 A0A8V0Z7D4 A0A8V1ABC9 A0A8V0ZZN9 A0A8V0X2V3 A0A8V0YYB4
PF00169 PH domain,13,22,881,2004,1.34,0.19474117547639674,0.71,A0A8V0ZTS7 A0A1D5P7L9 A0A8V0ZBA3 A0A8V0ZKA8 A0A3Q3ALT4 A0A8V0XIZ0 A0A8V1A2A7 A0A8V0XRQ6 A0A8V0YW34 A0A3Q2TSS2 A0A8V0X8U3 A0A8V0X2V3 A0A8V0YBR8
PF00173 Cytochrome b5-like Heme/Steroid binding domain,4,4,881,2004,2.27,0.03720935511996398,1.43,Q5ZLX0 A0A8V0ZUQ1 Q5ZKN2 A0A8V0X4A3
PF00175 Oxidoreductase NAD-binding domain ,3,3,881,2004,2.27,0.0848017307458956,1.07,A0A8V0YHD4 A0A8V0X354 A0A8V1AE54
PF00179 Ubiquitin-conjugating enzyme,5,9,881,2004,1.26,0.5180684723882811,0.29,A0A8V0XLH3 A0A8V0XCV2 A0A1D5PNL3 A0A8V0YI20 A0A8V0YFD4
PF00180 Isocitrate/isopropylmalate dehydrogenase,3,4,881,2004,1.71,0.32595876745614244,0.49,A0A1D5P8I7 A0A8V0ZPJ9 A0A8V0ZRW5
PF00188 Cysteine-rich secretory protein family,2,2,881,2004,2.27,0.19314341860464346,0.71,A0A8V0XGV7 A0A1D5PMF4
PF00191 Annexin,2,9,881,2004,0.51,0.3137810377745185,0.5,A0A8V0Z637 A0A1D5P8E9
PF00193 Extracellular link domain,2,4,881,2004,1.14,1.0,-0.0,A0A8V0XRC4 A0A8V1A8B2
PF00194 Eukaryotic-type carbonic anhydrase,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V1AKN8 A0A8V0YLT1
PF00206 Lyase,2,3,881,2004,1.52,0.5855930439397318,0.23,A0A8V0Y9B0 A0A8V0YC20
PF00219 Insulin-like growth factor binding protein,4,9,881,2004,1.01,1.0,-0.0,A0A8V0XXZ4 A0A1D5P480 A0A8V0ZE58 A0A8V0YMS7
PF00225 Kinesin motor domain,3,9,881,2004,0.76,0.7393413462570226,0.13,A0A8V0YVT3 A0A8V0Z4P8 A0A8V0XTW4
PF00226 DnaJ domain,5,14,881,2004,0.81,0.5989160090446374,0.22,A0A8V0ZMT8 E1C599 A0A1L1RZR2 A0A8V0YQE8 A0A1D5NYA8
