Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00069 Protein kinase domain,7,51,449,2004,0.61,0.17226332862638472,0.76,A0A8V0ZZC8 A0A1D5PD64 A0A8V0YK18 E1BS97 A0A8V0XE48 A0A1D5PIQ5 A0A3Q2U9U9
PF00071 Ras family,3,47,449,2004,0.28,0.006847702207290016,2.16,F1P278 Q1KME6 Q5ZMI5
"PF00076 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",17,38,449,2004,2.0,0.0024046963539317238,2.62,A0A8V0YD10 A0A8V0X7I3 A0A8V0YZ19 A0A8V1ABY0 A0A8V0XSU6 A0A1D5PXH1 A0A3Q2U3U3 A0A8V1AFZ6 A0A1D5PR23 A0A8V0XXW6 A0A8V0ZC55 A0A8V0YGA1 A0A1D5P8I3 A0A1D5NXB3 A0A8V0ZQT1 A0A8V0YJ12 E1C8Y9
PF00079 Serpin (serine protease inhibitor),4,18,449,2004,0.99,1.0,-0.0,A0A160F7C1 A0A8V0YCY1 A0A1D5PLZ2 A0A8V0X1R9
PF00080 Copper/zinc superoxide dismutase (SODC),2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0Y3L3 A0A8V0X5J4
PF00082 Subtilase family,3,7,449,2004,1.91,0.19145359489930308,0.72,A0A8V0YDL8 A0A8V0XEP8 A0A1D5P774
PF00084 Sushi repeat (SCR repeat),2,13,449,2004,0.69,0.7446259438187269,0.13,A0A8V1A8B2 A0A8V0YHS1
PF00085 Thioredoxin,2,16,449,2004,0.56,0.5470507053263511,0.26,A0A8V0YVE0 A0A8V0XGH4
PF00086 Thyroglobulin type-1 repeat,3,12,449,2004,1.12,0.737374744495078,0.13,A0A8V0Y357 A0A1D5P480 A0A8V0ZJH8
PF00089 Trypsin,3,26,449,2004,0.51,0.23849516273156357,0.62,A0A8V0XKE8 A0A8V0YUC6 P15120
PF00090 Thrombospondin type 1 domain,5,22,449,2004,1.01,1.0,-0.0,A0A8V0XVV0 A0A8V0XKI2 A0A8V0YRN1 A0A8V0ZCF7 A0A8V0YHS1
"PF00091 Tubulin/FtsZ family, GTPase domain",3,10,449,2004,1.34,0.7024652363381932,0.15,P09644 A0A1D5NU82 F1NWX0
PF00092 von Willebrand factor type A domain,4,19,449,2004,0.94,1.0,-0.0,A0A8V0YE20 A0A8V0XQ96 A0A1D5P8I8 A0A8V0XAL0
PF00093 von Willebrand factor type C domain,5,14,449,2004,1.59,0.21436510016941762,0.67,A0A8V0XKI2 A0A8V0YIB0 A0A8V0ZE58 A0A8V0Z0R4 A0A8V0XXZ4
PF00094 von Willebrand factor type D domain,3,11,449,2004,1.22,0.7178675430036868,0.14,P02845 A0A8V0Z932 A0A8V0ZDT7
PF00106 short chain dehydrogenase,8,11,449,2004,3.25,0.0005189086881483659,3.28,A0A1D5PTW3 A0A1D5NWL9 A0A8V0YU17 A0A8V0Z0D4 A0A8V0Z420 A0A8V0X2T8 A0A8V0XK42 A0A8V0ZJ84
"PF00108 Thiolase, N-terminal domain",2,4,449,2004,2.23,0.21864483987550232,0.66,A0A8V0XE68 A0A8V0YB71
"PF00147 Fibrinogen beta and gamma chains, C-terminal globular domain",4,10,449,2004,1.79,0.2450391732415004,0.61,A0A8V1AHP7 A0A8V0YIZ9 P14448 A0A8V0YS27
PF00149 Calcineurin-like phosphoesterase,2,10,449,2004,0.89,1.0,-0.0,A0A8V1A640 A0A8V0Z5C6
PF00155 Aminotransferase class I and II,2,4,449,2004,2.23,0.21864483987550232,0.66,A0A8V0ZT84 A0A8V0ZJT8
PF00169 PH domain,3,22,449,2004,0.61,0.44347918658034013,0.35,A0A8V0YW34 A0A8V0YBR8 A0A8V0ZKA8
PF00173 Cytochrome b5-like Heme/Steroid binding domain,3,4,449,2004,3.35,0.037274116579598476,1.43,Q5ZLX0 A0A8V0X4A3 Q5ZKN2
PF00175 Oxidoreductase NAD-binding domain ,3,3,449,2004,4.46,0.011188944985840724,1.95,A0A8V0YHD4 A0A8V0X354 A0A8V1AE54
PF00180 Isocitrate/isopropylmalate dehydrogenase,2,4,449,2004,2.23,0.21864483987550232,0.66,A0A1D5P8I7 A0A8V0ZRW5
PF00206 Lyase,2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0Y9B0 A0A8V0YC20
PF00219 Insulin-like growth factor binding protein,3,9,449,2004,1.49,0.42824745330508224,0.37,A0A8V0XXZ4 A0A1D5P480 A0A8V0ZE58
PF00226 DnaJ domain,4,14,449,2004,1.28,0.5299902933435734,0.28,A0A8V0ZMT8 A0A8V0YQE8 A0A1D5NYA8 A0A1L1RZR2
PF00227 Proteasome subunit,11,15,449,2004,3.27,3.608905710081753e-05,4.44,Q5ZLI2 F1NC02 A0A8V1A582 R4GLB3 A0A8V1ABH8 A0A8V0XRD5 A0A1D5PJW4 A0A8V0XB52 A0A8V0ZNX9 A0A8V0ZNG4 Q7ZT63
PF00254 FKBP-type peptidyl-prolyl cis-trans isomerase,2,5,449,2004,1.79,0.31253441763462836,0.51,A0A8V1AII9 A0A3Q2U9P1
PF00258 Flavodoxin,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V0X354 A0A8V1AE54
PF00270 DEAD/DEAH box helicase,7,13,449,2004,2.4,0.013056317777498251,1.88,A0A8V0X895 A0A8V0YZ41 Q5ZHZ0 Q5ZKB9 A0A3S5ZPN3 A0A8V0YUW3 A0A3Q2U0S7
PF00271 Helicase conserved C-terminal domain,7,15,449,2004,2.08,0.05413955088016639,1.27,A0A8V0X895 A0A8V0YZ41 Q5ZHZ0 Q5ZKB9 A0A3S5ZPN3 A0A8V0YUW3 A0A3Q2U0S7
PF00273 Serum albumin family,3,3,449,2004,4.46,0.011188944985840724,1.95,A0A8V0XJ14 A0A8V0XCT6 A0A1D5NW68
PF00307 Calponin homology (CH) domain,8,24,449,2004,1.49,0.2170857104983861,0.66,A0A8V0Y5A6 A0A3Q2UGG0 A0A8V0ZD41 A0A8V0YWS4 A0A1D5P797 A0A1D5PIZ8 A0A1D5NYG3 A0A8V0YVI8
PF00350 Dynamin family,2,8,449,2004,1.12,1.0,-0.0,A0A3Q2UHM4 A0A8V0YNP1
PF00354 Pentaxin family,2,5,449,2004,1.79,0.31253441763462836,0.51,A0A8V0YFB1 A0A8V1AJ19
PF00364 Biotin-requiring enzyme,4,5,449,2004,3.57,0.01024987880846464,1.99,A0A8V0XHY2 A0A1D5PQV3 A0A8V0ZWH3 A0A8V1A102
PF00373 FERM central domain,2,9,449,2004,0.99,1.0,-0.0,A0A1D5P6Q1 A0A8V0Y699
PF00378 Enoyl-CoA hydratase/isomerase,4,6,449,2004,2.98,0.02532342814049802,1.6,A0A8V0YYX3 A0A8V0Y8S2 A0A8V0XN01 A0A8V0Y492
PF00435 Spectrin repeat,6,9,449,2004,2.98,0.005518508945992709,2.26,A0A8V1A9H2 A0A8V0Y5A6 A0A8V0ZD41 A0A8V0YWS4 A0A1D5P797 A0A8V0YVI8
"PF00441 Acyl-CoA dehydrogenase, C-terminal domain",6,9,449,2004,2.98,0.005518508945992709,2.26,A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 A0A1D5NYK3 F1NEF6
PF00458 WHEP-TRS domain,4,4,449,2004,4.46,0.0024938877879532345,2.6,A0A3Q2TSP8 A0A8V0YH08 E1C2Z5 A0A8V1AAU9
PF00530 Scavenger receptor cysteine-rich domain,2,6,449,2004,1.49,0.6214516551525062,0.21,A0A8V0XKE8 A0A8V0XEL0
PF00549 CoA-ligase,2,4,449,2004,2.23,0.21864483987550232,0.66,A0A8V0ZAK3 Q5F3B9
PF00575 S1 RNA binding domain,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V0YZG8 A0A8V0ZCS2
"PF00587 tRNA synthetase class II core domain (G, H, P, S and T)",4,5,449,2004,3.57,0.01024987880846464,1.99,A0A3Q2TSP8 A0A8V0YQC4 A0A8V1A7D7 A0A8V1AAU9
PF00595 PDZ domain,6,25,449,2004,1.07,0.8111903945713759,0.09,A0A8V0XJD2 A0A8V0X7P4 A0A8V0Z585 A0A8V0X354 A0A3Q2U4B8 A0A8V1APT7
PF00621 RhoGEF domain,2,6,449,2004,1.49,0.6214516551525062,0.21,A0A8V0ZJF4 A0A8V0YW34
PF00625 Guanylate kinase,2,7,449,2004,1.28,0.6573865914570869,0.18,A0A8V0XZH4 A0A3Q2U4B8
PF00626 Gelsolin repeat,2,9,449,2004,0.99,1.0,-0.0,A0A8V0Z7B5 A0A3Q2UGR5
PF00640 Phosphotyrosine interaction domain (PTB/PID),2,5,449,2004,1.79,0.31253441763462836,0.51,A0A8V1A535 A0A8V0YBR8
PF00667 FAD binding domain,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V0X354 A0A8V1AE54
PF00684 DnaJ central domain,4,4,449,2004,4.46,0.0024938877879532345,2.6,A0A8V0ZMT8 A0A8V0YQE8 A0A1D5NYA8 A0A1L1RZR2
"PF00690 Cation transporter/ATPase, N-terminus",2,8,449,2004,1.12,1.0,-0.0,A0A8V0ZX92 A0A1L1RKB7
PF00702 haloacid dehalogenase-like hydrolase,2,8,449,2004,1.12,1.0,-0.0,A0A8V0ZX92 A0A1L1RKB7
PF00735 Septin,2,6,449,2004,1.49,0.6214516551525062,0.21,A0A8V1AKZ9 A0A8V0Z7V7
"PF00749 tRNA synthetases class I (E and Q), catalytic domain",2,2,449,2004,4.46,0.050112456066432706,1.3,A0A3Q2TSP8 A0A8V0ZF10
PF00787 PX domain,2,11,449,2004,0.81,1.0,-0.0,A0A8V0ZEP8 F1P337
PF00899 ThiF family,2,4,449,2004,2.23,0.21864483987550232,0.66,A0A8V1A370 A0A8V0Z9M9
PF00932 Lamin Tail Domain,2,3,449,2004,2.98,0.1279594782273203,0.89,P13648 A0A8V0YY54
"PF01088 Ubiquitin carboxyl-terminal hydrolase, family 1",2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0YGG7 A0A1L1RXA3
PF01105 emp24/gp25L/p24 family/GOLD,2,4,449,2004,2.23,0.21864483987550232,0.66,Q5ZLF6 A0A8V0ZUA4
PF01248 Ribosomal protein L7Ae/L30e/S12e/Gadd45 family,2,3,449,2004,2.98,0.1279594782273203,0.89,P84175 P32429
PF01301 Glycosyl hydrolases family 35,2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0YZJ3 A0A8V0ZI47
PF01363 FYVE zinc finger,2,6,449,2004,1.49,0.6214516551525062,0.21,A0A8V1AHP0 A0A1D5PMX3
PF01399 PCI domain,7,11,449,2004,2.84,0.003831266211592896,2.42,A0A8V0X4M9 A0A1D5NXL7 A0A8V0ZY42 A0A8V0ZW50 A0A8V0XHV8 A0A8V0ZEY1 A0A8V0ZEC1
PF01412 Putative GTPase activating protein for Arf,2,4,449,2004,2.23,0.21864483987550232,0.66,A0A8V0ZKS5 A0A8V0Y8A2
PF01421 Reprolysin (M12B) family zinc metalloprotease ,2,10,449,2004,0.89,1.0,-0.0,A0A8V0ZCF7 A0A8V0YV92
PF01433 Peptidase family M1 domain,3,9,449,2004,1.49,0.42824745330508224,0.37,A0A8V1A0A4 A0A8V0ZZ05 A0A8V0Z0I1
PF01556 DnaJ C terminal domain,4,8,449,2004,2.23,0.08062543210579509,1.09,A0A8V0ZMT8 A0A8V0YQE8 A0A1D5NYA8 A0A1L1RZR2
PF01583 Adenylylsulphate kinase,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V0ZJD3 A0A8V0XTM2
PF01747 ATP-sulfurylase,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V0ZJD3 A0A8V0XTM2
PF01759 UNC-6/NTR/C345C module,3,9,449,2004,1.49,0.42824745330508224,0.37,A0A8V0X8L8 A0A8V0X8J3 A0A8V0XH43
PF01821 Anaphylotoxin-like domain,3,6,449,2004,2.23,0.13029751833182696,0.89,A0A8V0X8L8 A0A8V0X8J3 A0A8V0XH43
PF01823 MAC/Perforin domain,2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V1A8N2 A0A8V0YHS1
PF01835 MG2 domain,6,11,449,2004,2.43,0.02006705204997987,1.7,A0A8V0X8L8 A0A8V0ZJW3 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF01979 Amidohydrolase family,2,4,449,2004,2.23,0.21864483987550232,0.66,A0A1D5PMN7 A0A8V0Z6R7
PF02210 Laminin G domain,2,13,449,2004,0.69,0.7446259438187269,0.13,A0A8V0YQU2 A0A8V0X4B2
"PF02359 Cell division protein 48 (CDC48), N-terminal domain",2,2,449,2004,4.46,0.050112456066432706,1.3,A0A1D5NTY5 A0A8V0ZZU2
"PF02770 Acyl-CoA dehydrogenase, middle domain",6,9,449,2004,2.98,0.005518508945992709,2.26,A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 A0A1D5NYK3 F1NEF6
"PF02771 Acyl-CoA dehydrogenase, N-terminal domain",6,9,449,2004,2.98,0.005518508945992709,2.26,A0A8V0Y4M6 A0A8V0X3M7 A0A8V0ZT56 A0A8V0ZTF7 A0A1D5NYK3 F1NEF6
"PF02803 Thiolase, C-terminal domain",2,4,449,2004,2.23,0.21864483987550232,0.66,A0A8V0XE68 A0A8V0YB71
"PF02866 lactate/malate dehydrogenase, alpha/beta C-terminal domain",2,6,449,2004,1.49,0.6214516551525062,0.21,E1BVT3 E1BTT8
"PF02874 ATP synthase alpha/beta family, beta-barrel domain",4,6,449,2004,2.98,0.02532342814049802,1.6,A0A1D5PN54 A0A8V1A624 F1NBW2 A0A8V1AK12
"PF02933 Cell division protein 48 (CDC48), domain 2",2,2,449,2004,4.46,0.050112456066432706,1.3,A0A1D5NTY5 A0A8V0ZZU2
PF03129 Anticodon binding domain,4,5,449,2004,3.57,0.01024987880846464,1.99,A0A3Q2TSP8 A0A8V0YH08 A0A8V0YQC4 A0A8V1AAU9
PF03144 Elongation factor Tu domain 2,3,7,449,2004,1.91,0.19145359489930308,0.72,Q5ZMS3 A0A8V0XBW1 P84172
PF03463 eRF1 domain 1,2,2,449,2004,4.46,0.050112456066432706,1.3,H9L2N7 A0A1L1RX26
PF03464 eRF1 domain 2,2,2,449,2004,4.46,0.050112456066432706,1.3,H9L2N7 A0A1L1RX26
PF03465 eRF1 domain 3,2,2,449,2004,4.46,0.050112456066432706,1.3,H9L2N7 A0A1L1RX26
"PF03950 tRNA synthetases class I (E and Q), anti-codon binding domain",2,2,449,2004,4.46,0.050112456066432706,1.3,A0A3Q2TSP8 A0A8V0ZF10
PF03953 Tubulin C-terminal domain,3,10,449,2004,1.34,0.7024652363381932,0.15,P09644 A0A1D5NU82 F1NWX0
PF04810 Sec23/Sec24 zinc finger,2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0Z7B5 A0A3Q2UGR5
PF04811 Sec23/Sec24 trunk domain,2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0Z7B5 A0A3Q2UGR5
PF04815 Sec23/Sec24 helical domain,2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0Z7B5 A0A3Q2UGR5
PF05193 Peptidase M16 inactive domain,2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0YZL1 A0A8V1A3B4
PF06456 Arfaptin-like domain,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V0X678 A0A1D5P997
PF07565 Band 3 cytoplasmic domain,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V0ZVE0 A0A1D5NYS2
PF07645 Calcium-binding EGF domain,3,25,449,2004,0.54,0.33187151312190044,0.48,A0A8V0Y357 A0A8V0YE20 A0A8V0XAL0
PF07677 A-macroglobulin receptor binding domain,6,12,449,2004,2.23,0.032693980323623945,1.49,A0A8V0X8L8 A0A8V0ZJW3 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF07679 Immunoglobulin I-set domain,4,41,449,2004,0.44,0.05695081884972312,1.24,A0A8V1A0H5 A0A8V0YRN1 A0A8V0YR59 A0A8V0X5B9
PF07686 Immunoglobulin V-set domain,2,37,449,2004,0.24,0.008842681408319333,2.05,A0A8V0X829 A0A8V1A8B2
PF07703 Alpha-2-macroglobulin bait region domain,6,12,449,2004,2.23,0.032693980323623945,1.49,A0A8V0X8L8 A0A8V0ZJW3 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF07714 Protein tyrosine and serine/threonine kinase,3,22,449,2004,0.61,0.44347918658034013,0.35,A0A1D5P6T3 A0A8V0YR59 A0A8V0X5B9
PF08033 Sec23/Sec24 beta-sandwich domain,2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0Z7B5 A0A3Q2UGR5
PF08075 NOPS (NUC059) domain,3,3,449,2004,4.46,0.011188944985840724,1.95,A0A8V0XSU6 A0A8V0YZ19 A0A1D5P8I3
PF08264 Anticodon-binding domain of tRNA ligase,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V0Z3U7 A0A8V1A7Y9
PF08442 ATP-grasp domain,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V0ZAK3 Q5F3B9
PF08726 Ca2+ insensitive EF hand,3,4,449,2004,3.35,0.037274116579598476,1.43,A0A8V0ZD41 A0A8V1A9H2 A0A8V0Y5A6
PF08752 Coatomer gamma subunit appendage platform subdomain,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V1A3D8 A0A8V0XLV1
PF08953 Domain of unknown function (DUF1899),2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0Z487 A0A8V0ZQD9
"PF09172 Vitellinogen, open beta-sheet",4,6,449,2004,2.98,0.02532342814049802,1.6,P02845 A0A8V0XV56 A0A8V0ZDT7 A0A8V0Z932
"PF09175 Vitellinogen, beta-sheet shell",3,5,449,2004,2.68,0.0778104732360566,1.11,P02845 A0A8V0Z932 A0A8V0ZDT7
"PF09294 Interferon-alpha/beta receptor, fibronectin type III",2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0Y652 K9JA28
PF10433 Mono-functional DNA-alkylating methyl methanesulfonate N-term,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A1D6UPS9 A0A8V0ZBT6
PF11838 ERAP1-like C-terminal domain,2,7,449,2004,1.28,0.6573865914570869,0.18,A0A8V0ZZ05 A0A8V0Z0I1
PF12947 EGF domain,2,6,449,2004,1.49,0.6214516551525062,0.21,A0A8V0Y357 A0A8V0XKI2
PF13364 Beta-galactosidase jelly roll domain,2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0YZJ3 A0A8V0ZI47
PF13499 EF-hand domain pair,4,22,449,2004,0.81,0.7996298620111637,0.1,A0A3Q2TTG3 A0A8V0YWS4 F1NCA2 A0A8V1A9H2
PF13802 Galactose mutarotase-like,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V1ALI6 A0A8V0Z3S8
PF13833 EF-hand domain pair,2,5,449,2004,1.79,0.31253441763462836,0.51,A0A1L1RM08 A0A8V0XAS9
"PF13893 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V1ABY0 A0A8V0XTL6
PF13927 Immunoglobulin domain,3,32,449,2004,0.42,0.08701331645422056,1.06,P17790 A0A8V0ZDW7 A0A8V0X5B9
PF14306 PUA-like domain,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V0ZJD3 A0A8V0XTM2
PF14670 Coagulation Factor Xa inhibitory site,2,17,449,2004,0.53,0.3903658706595269,0.41,A0A8V0YE20 A0A8V0XAL0
PF14844 PH domain associated with Beige/BEACH,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V0XM98 A0A1D5PMX3
PF16381 Coatomer subunit gamma-1 C-terminal appendage platform,2,2,449,2004,4.46,0.050112456066432706,1.3,A0A8V1A3D8 A0A8V0XLV1
PF16450 Proteasomal ATPase OB C-terminal domain,4,4,449,2004,4.46,0.0024938877879532345,2.6,A0A8V0Z3K2 A0A8V0ZH96 A0A1L1RP66 F1NU79
PF17789 Macroglobulin domain MG4,6,10,449,2004,2.68,0.01121116886543415,1.95,A0A8V0X8L8 A0A8V0ZJW3 A0A8V0X8J3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF17790 Macroglobulin domain MG1,2,3,449,2004,2.98,0.1279594782273203,0.89,A0A8V0X8L8 A0A8V0XH43
PF17791 Macroglobulin domain MG3,5,9,449,2004,2.48,0.031097014665027175,1.51,A0A8V0X8L8 A0A8V0ZJW3 A0A8V1AAP1 A0A8V0ZKI9 A0A8V0XH43
PF17862 AAA+ lid domain,8,14,449,2004,2.55,0.004941709281903402,2.31,A0A8V0Z3K2 A0A1D5NTY5 A0A8V0Y2X7 F1NU79 A0A8V0Y9B4 A0A8V0ZZU2 A0A1L1RP66 A0A8V0ZH96
PF17900 Peptidase M1 N-terminal domain,3,9,449,2004,1.49,0.42824745330508224,0.37,A0A8V1A0A4 A0A8V0ZZ05 A0A8V0Z0I1
PF17902 SH3 domain,3,4,449,2004,3.35,0.037274116579598476,1.43,A0A8V0YWS4 A0A8V0Z0W8 A0A8V0Y4B7
PF18373 Spectrin like domain,3,4,449,2004,3.35,0.037274116579598476,1.43,A0A8V0YWS4 A0A8V0Y0I0 A0A8V0Y4B7
PF19030 Thrombospondin type 1 domain,3,13,449,2004,1.03,1.0,-0.0,A0A8V0YRN1 A0A8V0ZCF7 A0A8V0XVV0
PF19236 ADAMTS cysteine-rich domain,2,11,449,2004,0.81,1.0,-0.0,A0A8V0YRN1 A0A8V0ZCF7
