Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A1D5PHP9	6	Wnt inhibitory factor 1 OS=Gallus gallus OX=9031 GN=WIF1 PE=1 SV=1	WIF1	Down	0.5494618057037498
A0A8V0XC92	6	5'-nucleotidase OS=Gallus gallus OX=9031 GN=NT5E PE=3 SV=1	NT5E	Down	0.2522065523612075
A0A8V0ZBK5	6	Nephrocystin 4 OS=Gallus gallus OX=9031 GN=NPHP4 PE=1 SV=1	NPHP4	Down	0.4554517447051957
A0A8V0Y4M6	6	Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Gallus gallus OX=9031 GN=ACADL PE=1 SV=1	ACADL	Up	2.1085650867146617
A0A8V1AEW4	6	Tubulin beta chain OS=Gallus gallus OX=9031 GN=TUBB4B PE=3 SV=1	TUBB4B	Down	0.5270670555526508
E1C599	6	DnaJ heat shock protein family (Hsp40) member B13 OS=Gallus gallus OX=9031 GN=DNAJB13 PE=1 SV=3	DNAJB13	Down	0.6327040320613044
A0A8V0XE68	6	acetyl-CoA C-acetyltransferase OS=Gallus gallus OX=9031 GN=ACAT1 PE=1 SV=1	ACAT1	Down	0.4337975156861859
A0A8V0YRG2	6	receptor protein-tyrosine kinase OS=Gallus gallus OX=9031 GN=EPHB2 PE=4 SV=1	EPHB2	Up	1.7205193526751912
A0A3Q2U2K2	6	Epsin 2 OS=Gallus gallus OX=9031 GN=EPN2 PE=1 SV=1	EPN2	Down	0.323451942107091
A0A8V1A7Y9	6	isoleucine--tRNA ligase OS=Gallus gallus OX=9031 GN=IARS PE=1 SV=1	IARS	Up	2.8489319289809023
A0A8V1ADL7	6	Charged multivesicular body protein 6 OS=Gallus gallus OX=9031 GN=CHMP6 PE=3 SV=1	CHMP6	Down	0.5014918744739192
A0A8V0X4H8	6	Proteasome assembly chaperone 2 OS=Gallus gallus OX=9031 GN=PSMG2 PE=1 SV=1	PSMG2	Down	0.5271615839825932
R4GKD1	6	Guanine nucleotide-binding protein subunit gamma OS=Gallus gallus OX=9031 GN=GNG5 PE=1 SV=1	GNG5	Down	0.3391919303808423
A0A3Q2TZS5	5	Formin-binding protein 1-like OS=Gallus gallus OX=9031 GN=FNBP1L PE=1 SV=1	FNBP1L	Down	0.6231821251688431
P09102	5	Protein disulfide-isomerase OS=Gallus gallus OX=9031 GN=P4HB PE=1 SV=3	P4HB	Down	0.6057790432159671
A0A8V0Z193	5	ADP-ribosylation factor-like protein 3 OS=Gallus gallus OX=9031 GN=ARL3 PE=1 SV=1	ARL3	Down	0.5500905780854842
A0A8V1ALE0	5	MYCBP associated protein OS=Gallus gallus OX=9031 GN=RSAD1 PE=4 SV=1	RSAD1	Down	0.6259773027239912
A0A8V0YYX3	5	Enoyl-CoA delta isomerase 1 OS=Gallus gallus OX=9031 GN=ECI1 PE=1 SV=1	ECI1	Down	0.5538319861507023
A0A1L1RR91	5	DnaJ homolog subfamily B member 11 OS=Gallus gallus OX=9031 GN=DNAJB11 PE=1 SV=2	DNAJB11	Down	0.6340826267364242
A0A8V0X8M0	5	Protein kinase X-linked OS=Gallus gallus OX=9031 GN=PRKX PE=3 SV=1	PRKX	Down	0.35431460522979313
Q5ZKR9	5	ADP-ribosylation factor OS=Gallus gallus OX=9031 GN=ARF4 PE=1 SV=1	ARF4	Down	0.5439905078970473
A0A8V1AKR7	5	BAR/IMD domain-containing adapter protein 2 OS=Gallus gallus OX=9031 GN=BAIAP2 PE=1 SV=1	BAIAP2	Down	0.6616638479034234
A0A1D5NU82	5	Tubulin gamma chain OS=Gallus gallus OX=9031 GN=TUBG1 PE=1 SV=2	TUBG1	Down	0.6128742487994305
A0A8V0ZIS3	5	Dynein regulatory complex subunit 2 OS=Gallus gallus OX=9031 GN=CCDC65 PE=1 SV=1	CCDC65	Down	0.5931303781454714
A0A8V0XWB1	5	Calmegin OS=Gallus gallus OX=9031 GN=CLGN PE=1 SV=1	CLGN	Down	0.6469219515795048
A0A8V0ZW02	5	IF rod domain-containing protein OS=Gallus gallus OX=9031 GN=KRT75L4 PE=3 SV=1	KRT75L4	Down	0.3238859638626301
A0A8V0YRQ5	5	Aldo-keto reductase family 1 member B1 OS=Gallus gallus OX=9031 GN=AKR1E2 PE=1 SV=1	AKR1E2	Down	0.5484968116553229
F1NTQ2	5	Beta-hexosaminidase OS=Gallus gallus OX=9031 GN=HEXB PE=1 SV=3	HEXB	Up	2.0203924496605143
A0A8V0XB81	5	glutathione transferase OS=Gallus gallus OX=9031 GN=GSTA4 PE=1 SV=1	GSTA4	Down	0.40288226094374496
A0A8V0ZJE0	5	Glutathione S-transferase omega OS=Gallus gallus OX=9031 GN=GSTO2 PE=1 SV=1	GSTO2	Down	0.4807000025386939
A0A8V0Y5A6	5	Alpha-actinin-4 OS=Gallus gallus OX=9031 GN=ACTN4 PE=1 SV=1	ACTN4	Down	0.6355945698866596
A0A1D5PQI1	5	Galectin 3 OS=Gallus gallus OX=9031 GN=LGALS3 PE=1 SV=3	LGALS3	Down	0.6503911182408018
A0A8V0Z958	5	Dynein light intermediate chain OS=Gallus gallus OX=9031 GN=DYNC1LI1 PE=3 SV=1	DYNC1LI1	Down	0.5345012797794841
A0A8V1AJZ1	5	Adenylate kinase 8 OS=Gallus gallus OX=9031 GN=AK8 PE=3 SV=1	AK8	Down	0.6602349664235188
A0A8V0YZ32	5	Protein Wnt OS=Gallus gallus OX=9031 GN=WNT4 PE=3 SV=1	WNT4	Down	0.5923819425905891
A0A8V1A9R2	5	Tyrosine-protein kinase OS=Gallus gallus OX=9031 GN=JAK3 PE=3 SV=1	JAK3	Up	2.0337592099231983
Q98953	5	Protein S100-A6 OS=Gallus gallus OX=9031 GN=S100A6 PE=3 SV=1	S100A6	Down	0.32175161173730443
A0A8V0Y7A6	5	Proopiomelanocortin OS=Gallus gallus OX=9031 GN=POMC PE=3 SV=1	POMC	Down	0.3609420818100599
