Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00069 Protein kinase domain,15,51,636,2004,0.93,0.7631665518400785,0.12,A0A1L1RWI9 A0A8V1AFS4 A0A8V0YTC2 A0A8V0YK18 A0A8V0X8M0 A0A8V0Y9D6 E1BS97 A0A1L1RPJ2 A0A8V0XKR3 A0A8V0ZSX6 A0A8V0XE48 A0A8V1ABC9 A0A8V0ZTC0 A0A8V0XBS7 A0A8V0Z153
PF00071 Ras family,14,47,636,2004,0.94,0.8745186180681563,0.06,A0A8V0ZEG2 A0A1D5P1T0 A0A1D5PME6 A0A8V0XNL0 Q1KME6 P42558 A0A8V1AE09 P08642 A0A1D5NWR3 A0A8V1A229 A0A1D5P3W0 Q5ZIP7 Q98932 Q5ZLG1
"PF00076 RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",7,38,636,2004,0.58,0.08015016797849846,1.1,A0A8V0YD10 A0A3Q2U3U3 A0A8V1AFZ6 A0A8V0XXW6 A0A1D5P8I3 A0A1D5NXB3 A0A8V0ZQT1
PF00079 Serpin (serine protease inhibitor),6,18,636,2004,1.05,1.0,-0.0,P01012 A0A8V0ZZS6 A0A8V0Y614 A0A8V0YJ25 A0A8V0YCF4 A0A8V1A504
PF00082 Subtilase family,5,7,636,2004,2.25,0.036453148651448025,1.44,A0A8V0X4D8 A0A8V0XEP8 A0A8V0ZRU9 A0A8V0YDL8 A0A8V0ZA56
PF00084 Sushi repeat (SCR repeat),3,13,636,2004,0.73,0.7657817185470694,0.12,A0A8V1AGP0 A0A8V0YHS1 A0A8V1ACZ0
PF00085 Thioredoxin,4,16,636,2004,0.79,0.7882250619543607,0.1,P09102 A0A8V0Y726 P08629 A0A8V0YVE0
PF00086 Thyroglobulin type-1 repeat,4,12,636,2004,1.05,1.0,-0.0,A0A8V0Y357 A0A1D5P480 A0A8V0Y4Q2 A0A8V0ZBR8
PF00089 Trypsin,10,26,636,2004,1.21,0.5250111936199703,0.28,E1C744 A0A8V0ZIX6 A0A8V1A3H9 A0A8V1A8E4 A0A8V0XEY5 A0A8V1A987 A0A8V0YID0 P15120 P25155 A0A8V0X945
PF00090 Thrombospondin type 1 domain,10,22,636,2004,1.43,0.17207427581928064,0.76,A0A8V0YUF6 A0A8V0XVV0 A0A8V0YRN1 A0A8V0Y1A4 A0A1D5NZ82 A0A8V0ZAP5 A0A8V0ZGF6 A0A8V0ZCF7 A0A8V0ZHF5 A0A8V0YHS1
"PF00091 Tubulin/FtsZ family, GTPase domain",4,10,636,2004,1.26,0.7344067474557042,0.13,P02552 A0A8V1AEW4 P09244 A0A1D5NU82
PF00092 von Willebrand factor type A domain,10,19,636,2004,1.66,0.07899791155267638,1.1,A0A8V0XQ82 A0A8V0XXK8 A0A8V1AFR2 A0A8V0YIR4 A0A8V0ZHX5 A0A8V0YE20 A0A1D5P8I8 A0A8V0YHC1 A0A8V1A774 A0A8V0X9L0
PF00093 von Willebrand factor type C domain,5,14,636,2004,1.13,0.7761809631873726,0.11,A0A8V0ZE58 A0A3Q2TT95 A0A8V0ZHF5 A0A8V0XXZ4 A0A8V0XS21
PF00094 von Willebrand factor type D domain,5,11,636,2004,1.43,0.3406485008970059,0.47,A0A8V0ZG90 A0A8V0ZDT7 A0A8V0ZF17 A0A8V0Z932 A0A8V1A1T7
PF00095 WAP-type (Whey Acidic Protein) 'four-disulfide core',3,4,636,2004,2.36,0.0972111182166596,1.01,P33005 A0A8V0YTG5 A0A8V0YTD7
PF00102 Protein-tyrosine phosphatase,3,13,636,2004,0.73,0.7657817185470694,0.12,A0A8V0YDT5 A0A1D5P6Q1 A0A8V0ZH14
PF00106 short chain dehydrogenase,3,11,636,2004,0.86,1.0,-0.0,A0A8V0YHY0 A0A8V0Z420 A0A8V0XK42
"PF00108 Thiolase, N-terminal domain",3,4,636,2004,2.36,0.0972111182166596,1.01,A0A8V0XE68 A0A8V0YB71 A0A8V0XH76
PF00112 Papain family cysteine protease,3,8,636,2004,1.18,0.7142206169671643,0.15,F1NYJ1 A0A8V0XWD4 A0A8V0YVB6
"PF00129 Class I Histocompatibility antigen, domains alpha 1 and 2",2,5,636,2004,1.26,0.6552174647980384,0.18,A0A8V0X8Q3 A0A8V0X8D5
PF00130 Phorbol esters/diacylglycerol binding domain (C1 domain),3,7,636,2004,1.35,0.6859676662222065,0.16,A0A8V0YK18 A0A8V1ABC9 A0A8V0ZZL0
PF00135 Carboxylesterase family,3,4,636,2004,2.36,0.0972111182166596,1.01,A0A8V0Y9F8 A0A8V0Y4Q2 A0A3Q2UGW3
"PF00147 Fibrinogen beta and gamma chains, C-terminal globular domain",5,10,636,2004,1.58,0.30458818919153063,0.52,A0A8V1AHP7 A0A8V0YS27 A0A8V0YIZ9 A0A8V0Y466 A0A8V1AAN6
PF00149 Calcineurin-like phosphoesterase,4,10,636,2004,1.26,0.7344067474557042,0.13,A0A8V0XL89 A0A8V0XC92 Q5ZM47 A0A8V0X637
PF00168 C2 domain,9,30,636,2004,0.95,1.0,-0.0,A0A1D5NTC1 A0A1D5NZL7 A0A8V1A5Y9 A0A8V0YKG4 A0A8V1A0D3 A0A3Q2U263 A0A8V1ABC9 A0A8V0ZZN9 A0A8V0X2V3
PF00169 PH domain,7,22,636,2004,1.0,1.0,-0.0,A0A3Q3ALT4 A0A3Q2TSS2 A0A8V0X8U3 A0A8V0X2V3 A0A8V0YBR8 A0A3Q2U511 A0A1D5P3P3
PF00173 Cytochrome b5-like Heme/Steroid binding domain,2,4,636,2004,1.58,0.595859299398018,0.22,A0A8V0ZUQ1 Q5ZKN2
PF00179 Ubiquitin-conjugating enzyme,2,9,636,2004,0.7,0.7276791650671183,0.14,A0A8V0XNV9 A0A1D5PNL3
"PF00181 Ribosomal Proteins L2, RNA binding domain",2,2,636,2004,3.15,0.1006125542225794,1.0,F1NIX0 A0A8V0Z865
PF00191 Annexin,4,9,636,2004,1.4,0.4769574589962002,0.32,A0A8V0Z637 P17153 A0A1D5P8E9 A0A8V0ZZ99
PF00193 Extracellular link domain,2,4,636,2004,1.58,0.595859299398018,0.22,A0A8V0XZ15 A0A8V0ZD24
PF00194 Eukaryotic-type carbonic anhydrase,2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V0YLT1 A0A8V0ZH14
PF00206 Lyase,2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V0Y9B0 A0A8V0YC20
PF00219 Insulin-like growth factor binding protein,3,9,636,2004,1.05,1.0,-0.0,A0A8V0XXZ4 A0A1D5P480 A0A8V0ZE58
PF00226 DnaJ domain,4,14,636,2004,0.9,1.0,-0.0,E1C599 A0A1D5NYA8 A0A1L1RR91 A0A3Q2UAA1
PF00227 Proteasome subunit,5,15,636,2004,1.05,1.0,-0.0,F1NC02 A0A8V1A582 A0A8V0ZNX9 A0A8V0ZNG4 Q7ZT63
PF00229 TNF(Tumour Necrosis Factor) family ,2,4,636,2004,1.58,0.595859299398018,0.22,A0A8V1AAN2 A0A8V0Z3C0
PF00240 Ubiquitin family,3,8,636,2004,1.18,0.7142206169671643,0.15,A0A1D5P624 A0A3Q2TZD8 A0A8V1A4X0
PF00241 Cofilin/tropomyosin-type actin-binding protein,2,4,636,2004,1.58,0.595859299398018,0.22,A0A8V0Z8Y2 A0A8V1A992
PF00246 Zinc carboxypeptidase,2,4,636,2004,1.58,0.595859299398018,0.22,A0A8V0ZP32 R4GFJ0
PF00248 Aldo/keto reductase family,2,6,636,2004,1.05,1.0,-0.0,E1BVD1 A0A8V0YRQ5
PF00270 DEAD/DEAH box helicase,5,13,636,2004,1.21,0.5646426067022621,0.25,A0A8V0ZJ97 A0A8V0X895 A0A8V0YZ41 A0A3S5ZPN3 A0A8V0YJ71
PF00271 Helicase conserved C-terminal domain,5,15,636,2004,1.05,1.0,-0.0,A0A8V0ZJ97 A0A8V0X895 A0A8V0YZ41 A0A3S5ZPN3 A0A8V0YJ71
PF00274 Fructose-bisphosphate aldolase class-I,2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V0X6I8 A0A8V1AIR0
PF00307 Calponin homology (CH) domain,5,24,636,2004,0.66,0.2798875588803868,0.55,A0A8V0Y5A6 Q5ZLC7 A0A1D5P797 A0A8V1ALH2 A0A8V0YVI8
PF00334 Nucleoside diphosphate kinase,3,4,636,2004,2.36,0.0972111182166596,1.01,O57535 A0A8V0XGF5 A0A8V0YTD8
PF00337 Galactoside-binding lectin,3,4,636,2004,2.36,0.0972111182166596,1.01,A0A1D5PQI1 Q5ZHQ2 A0A8V0Y2H5
PF00350 Dynamin family,2,8,636,2004,0.79,1.0,-0.0,A0A3Q2UHM4 F1NGM0
PF00354 Pentaxin family,2,5,636,2004,1.26,0.6552174647980384,0.18,A0A8V0ZG73 A0A8V1A9Y1
PF00364 Biotin-requiring enzyme,3,5,636,2004,1.89,0.33443078369399004,0.48,A0A8V1A102 A0A1D5PQV3 A0A8V0ZWH3
PF00373 FERM central domain,3,9,636,2004,1.05,1.0,-0.0,A0A8V0X097 A0A1D5P6Q1 A0A8V0Y699
PF00378 Enoyl-CoA hydratase/isomerase,2,6,636,2004,1.05,1.0,-0.0,A0A8V0YYX3 A0A8V0Y492
PF00386 C1q domain,3,6,636,2004,1.58,0.38911916799473983,0.41,A0A8V0Y0F3 A0A8V0YY90 A0A8V0X207
PF00406 Adenylate kinase,3,8,636,2004,1.18,0.7142206169671643,0.15,A0A8V1AJZ1 A0A8V1AC34 A0A8V0Z310
PF00412 LIM domain,2,9,636,2004,0.7,0.7276791650671183,0.14,A0A8V1AAK7 A0A8V0YQA1
PF00431 CUB domain,4,17,636,2004,0.74,0.6047595755086734,0.22,A0A8V0Y927 A0A8V0ZF83 A0A8V0Y070 A0A8V0ZIX6
PF00435 Spectrin repeat,3,9,636,2004,1.05,1.0,-0.0,A0A1D5P797 A0A8V0Y5A6 A0A8V0YVI8
"PF00441 Acyl-CoA dehydrogenase, C-terminal domain",2,9,636,2004,0.7,0.7276791650671183,0.14,A0A8V0Y4M6 A0A8V0ZTF7
PF00531 Death domain,2,4,636,2004,1.58,0.595859299398018,0.22,A0A8V1ABC8 A0A8V0XYK6
PF00536 SAM domain (Sterile alpha motif),2,4,636,2004,1.58,0.595859299398018,0.22,A0A8V1A535 A0A8V0YRG2
PF00564 PB1 domain,2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V0XJ04 Q0PVE4
PF00568 WH1 domain,2,2,636,2004,3.15,0.1006125542225794,1.0,A0A3S5ZPV2 A0A8V0X6F7
PF00578 AhpC/TSA family,3,4,636,2004,2.36,0.0972111182166596,1.01,A0A1D5PBY3 A0A8V0YEN4 P0CB50
"PF00587 tRNA synthetase class II core domain (G, H, P, S and T)",2,5,636,2004,1.26,0.6552174647980384,0.18,A0A8V0YQC4 A0A8V1A7D7
PF00594 Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain,3,7,636,2004,1.35,0.6859676662222065,0.16,A0A8V0YID0 A0A8V0YVP9 P25155
PF00595 PDZ domain,7,25,636,2004,0.88,0.8299919787379506,0.08,Q0PVE4 A0A8V0X7P4 A0A8V0YXB1 A0A8V1AJV5 A0A8V0X354 A0A8V1A6Q7 A0A8V1A0B4
PF00620 RhoGAP domain,4,9,636,2004,1.4,0.4769574589962002,0.32,A0A8V0ZTR7 A0A3Q3ACS4 A0A8V0Z535 A0A8V0XYP6
PF00625 Guanylate kinase,2,7,636,2004,0.9,1.0,-0.0,A0A8V0XZH4 A0A8V1A0B4
PF00627 UBA/TS-N domain,2,5,636,2004,1.26,0.6552174647980384,0.18,A0A1D5P624 A0A3Q2TZD8
PF00631 GGL domain,3,5,636,2004,1.89,0.33443078369399004,0.48,A0A8V1A9K7 A0A8V0XS64 R4GKD1
PF00640 Phosphotyrosine interaction domain (PTB/PID),3,5,636,2004,1.89,0.33443078369399004,0.48,A0A8V0YMC5 A0A8V0YBR8 A0A8V1A535
PF00735 Septin,2,6,636,2004,1.05,1.0,-0.0,A0A8V1AKZ9 A0A8V1AKB5
PF00754 F5/8 type C domain,3,9,636,2004,1.05,1.0,-0.0,A0A8V0Y927 E1C0K5 A0A1D5PT01
"PF00782 Dual specificity phosphatase, catalytic domain",2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V0X6J5 A0A8V1AJI2
PF00786 P21-Rho-binding domain,2,2,636,2004,3.15,0.1006125542225794,1.0,E1BS97 A0A8V0X6F7
PF00787 PX domain,5,11,636,2004,1.43,0.3406485008970059,0.47,A0A8V0YQL8 A0A8V1A6Q7 A0A8V0ZEP8 A0A8V0XPM1 A0A8V0XBS7
PF00788 Ras association (RalGDS/AF-6) domain,2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V1A6Q7 A0A8V0ZYC3
PF00932 Lamin Tail Domain,3,3,636,2004,3.15,0.03186231737113419,1.5,P13648 A0A8V0YY54 A0A3Q2U596
PF00965 Tissue inhibitor of metalloproteinase,2,3,636,2004,2.1,0.23811302792526792,0.62,P26652 A0A8V1ABU4
PF01023 S-100/ICaBP type calcium binding domain,3,5,636,2004,1.89,0.33443078369399004,0.48,P24479 Q98953 A0A8V1ABP6
PF01105 emp24/gp25L/p24 family/GOLD,2,4,636,2004,1.58,0.595859299398018,0.22,Q5ZLF6 A0A8V0ZUA4
PF01217 Clathrin adaptor complex small chain,2,9,636,2004,0.7,0.7276791650671183,0.14,A0A8V1AIF1 A0A8V0ZML0
PF01223 DNA/RNA non-specific endonuclease,2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V1A9K2 A0A8V0Y2I3
PF01301 Glycosyl hydrolases family 35,2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V0YZJ3 A0A8V0ZI47
PF01392 Fz domain,2,5,636,2004,1.26,0.6552174647980384,0.18,A0A8V0YA55 A0A8V0ZFL9
PF01399 PCI domain,2,11,636,2004,0.57,0.5188786221907995,0.28,A0A8V0ZEC1 A0A8V0ZY42
PF01400 Astacin (Peptidase family M12A),2,2,636,2004,3.15,0.1006125542225794,1.0,A0A8V0ZF83 A0A8V0Y070
PF01412 Putative GTPase activating protein for Arf,2,4,636,2004,1.58,0.595859299398018,0.22,A0A3Q3ALT4 A0A8V0X8U3
PF01421 Reprolysin (M12B) family zinc metalloprotease ,3,10,636,2004,0.95,1.0,-0.0,A0A8V0Y1A4 A0A8V0ZCF7 A0A1D5NZ82
PF01433 Peptidase family M1 domain,4,9,636,2004,1.4,0.4769574589962002,0.32,A0A8V0Y1W6 A0A8V0XA92 A0A8V0Y6Q3 A0A1L1RVF4
PF01556 DnaJ C terminal domain,4,8,636,2004,1.58,0.2732275339711408,0.56,E1C599 A0A1D5NYA8 A0A1L1RR91 A0A3Q2UAA1
PF01583 Adenylylsulphate kinase,2,2,636,2004,3.15,0.1006125542225794,1.0,A0A8V0ZJD3 A0A8V0XTM2
PF01747 ATP-sulfurylase,2,2,636,2004,3.15,0.1006125542225794,1.0,A0A8V0ZJD3 A0A8V0XTM2
PF01823 MAC/Perforin domain,2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V1A8N2 A0A8V0YHS1
PF01833 IPT/TIG domain,2,7,636,2004,0.9,1.0,-0.0,A0A8V0YIC3 A0A8V1A3N1
PF01835 MG2 domain,4,11,636,2004,1.15,0.7507399333088924,0.12,A0A8V0X5U5 A0A8V0ZKM2 A0A8V0ZJW3 A0A8V0ZTX8
PF02140 Galactose binding lectin domain,2,2,636,2004,3.15,0.1006125542225794,1.0,A0A8V0X9Y5 A0A1D5PDV9
PF02197 Regulatory subunit of type II PKA R-subunit,2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V0Z8R3 A0A8V0ZYU1
PF02210 Laminin G domain,6,13,636,2004,1.45,0.36872590303996183,0.43,A0A8V0Z8V4 A0A8V0XIV7 A0A8V0YDU6 A0A8V0ZUU4 A0A8V0YQU2 A0A8V0YVP9
PF02351 GDNF/GAS1 domain,2,2,636,2004,3.15,0.1006125542225794,1.0,A0A8V0Y999 A0A8V0YGL6
PF02469 Fasciclin domain,2,2,636,2004,3.15,0.1006125542225794,1.0,A0A8V0YAT1 A0A8V0YP03
PF02736 Myosin N-terminal SH3-like domain,2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V1AHP5 A0A1D5PM19
"PF02770 Acyl-CoA dehydrogenase, middle domain",2,9,636,2004,0.7,0.7276791650671183,0.14,A0A8V0Y4M6 A0A8V0ZTF7
"PF02771 Acyl-CoA dehydrogenase, N-terminal domain",2,9,636,2004,0.7,0.7276791650671183,0.14,A0A8V0Y4M6 A0A8V0ZTF7
"PF02798 Glutathione S-transferase, N-terminal domain",4,8,636,2004,1.58,0.2732275339711408,0.56,A0A8V0X0T6 A0A1D5NT70 A0A8V0X7B2 A0A8V0XB81
"PF02803 Thiolase, C-terminal domain",3,4,636,2004,2.36,0.0972111182166596,1.01,A0A8V0XE68 A0A8V0YB71 A0A8V0XH76
PF02824 TGS domain,2,4,636,2004,1.58,0.595859299398018,0.22,A0A8V0YQC4 F1NIK3
"PF02864 STAT protein, DNA binding domain",2,4,636,2004,1.58,0.595859299398018,0.22,A0A8V1A7R0 A0A8V0YFT7
"PF02865 STAT protein, protein interaction domain",2,4,636,2004,1.58,0.595859299398018,0.22,A0A8V1A7R0 A0A8V0YFT7
"PF02874 ATP synthase alpha/beta family, beta-barrel domain",2,6,636,2004,1.05,1.0,-0.0,A0A8V1A624 A0A1D5PP57
PF02883 Adaptin C-terminal domain,2,6,636,2004,1.05,1.0,-0.0,A0A1D5PXH0 A0A8V0ZRP2
"PF02886 LBP / BPI / CETP family, C-terminal domain",5,9,636,2004,1.75,0.15290853003807905,0.82,A0A8V0YSC2 A0A8V0YZ17 A0A8V0YRQ0 A0A8V0YRT1 O42273
PF03114 BAR domain,2,5,636,2004,1.26,0.6552174647980384,0.18,A0A8V0Z535 Q8AXV0
PF03144 Elongation factor Tu domain 2,3,7,636,2004,1.35,0.6859676662222065,0.16,A0A8V0Z083 A0A1D5PYQ3 P84172
"PF03947 Ribosomal Proteins L2, C-terminal domain",2,2,636,2004,3.15,0.1006125542225794,1.0,F1NIX0 A0A8V0Z865
PF03953 Tubulin C-terminal domain,4,10,636,2004,1.26,0.7344067474557042,0.13,P02552 A0A8V1AEW4 P09244 A0A1D5NU82
PF07474 G2F domain,3,3,636,2004,3.15,0.03186231737113419,1.5,A0A8V0ZAP5 A0A8V0Y357 A0A8V0ZBR8
PF07546 EMI domain,3,3,636,2004,3.15,0.03186231737113419,1.5,A0A8V0Y290 A0A8V0Y0F3 A0A8V0X207
PF07645 Calcium-binding EGF domain,10,25,636,2004,1.26,0.39041620418061057,0.41,A0A8V0ZBR8 A0A8V0YDT4 A0A8V0YIR4 A0A8V0YE20 A0A8V0XPE8 A0A8V0Y357 A0A8V0ZAP5 A0A8V0Y6D2 A0A8V0YVP9 A0A8V0Y1R9
PF07648 Kazal-type serine protease inhibitor domain,4,15,636,2004,0.84,0.7867533197013935,0.1,A0A1I7Q421 A0A8V0YMR1 A0A8V1A1C6 A0A1D5NZN4
PF07653 Variant SH3 domain,3,10,636,2004,0.95,1.0,-0.0,A0A8V0XQS1 A0A8V1A0B4 A0A1L1RP76
PF07654 Immunoglobulin C1-set domain,6,11,636,2004,1.72,0.11373566116519583,0.94,A0A8V0ZXF2 A0A8V0XEJ0 A0A8V0X8Q3 A0A8V0XHB9 P01875 A0A8V0X8D5
PF07677 A-macroglobulin receptor binding domain,5,12,636,2004,1.31,0.5357067464884017,0.27,A0A8V0ZTX8 A0A8V0X5U5 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V0ZQ48
PF07679 Immunoglobulin I-set domain,17,41,636,2004,1.31,0.17856010828613253,0.75,A0A8V0Y2M4 A0A8V0YUF6 A0A8V0YYZ7 A0A8V0YMR1 A0A8V0YRN1 A0A8V0Z7E5 A0A8V0XX41 A0A8V0ZAP5 A0A8V0ZGF6 A0A8V0YDT5 A0A1D5PBZ8 Q8AV58 A0A8V1A0H5 Q03696 A0A1D5PZ68 A0A8V0Z153 A0A8V1A3I2
PF07686 Immunoglobulin V-set domain,14,37,636,2004,1.19,0.47596580027607743,0.32,A0A8V0ZZD4 A0A8V1ACV0 A0A8V0YLX0 A0A8V0ZQJ4 A0A8V0XDZ2 A0A8V0ZXT4 F1NJI3 A0A8V0ZXF2 A0A8V0ZD24 A0A8V0XHB9 A0A8V0XZ15 A0A8V0XA34 A0A8V0XL71 A0A8V0XDT2
PF07703 Alpha-2-macroglobulin bait region domain,5,12,636,2004,1.31,0.5357067464884017,0.27,A0A8V0ZTX8 A0A8V0X5U5 A0A8V0ZJW3 A0A8V0ZKM2 A0A8V0ZQ48
PF07714 Protein tyrosine and serine/threonine kinase,9,22,636,2004,1.29,0.3622335753007762,0.44,A0A1D5P6T3 A0A8V0YYZ7 A0A8V1A3N1 A0A8V0ZSN8 A0A8V1A9R2 A0A8V0XHT1 A0A1D5PT01 A0A8V0YRG2 A0A1I7Q3Z0
PF07974 EGF-like domain,2,4,636,2004,1.58,0.595859299398018,0.22,A0A1D5NTR5 A0A8V1AAN6
PF08205 CD80-like C2-set immunoglobulin domain ,2,5,636,2004,1.26,0.6552174647980384,0.18,P01875 A0A8V0XEJ0
PF08266 Cadherin-like,3,6,636,2004,1.58,0.38911916799473983,0.41,A0A8V0Y478 A0A8V0YHL6 A0A8V0Y103
"PF08477 Ras of Complex, Roc, domain of DAPkinase",2,3,636,2004,2.1,0.23811302792526792,0.62,A0A8V0XNL0 A0A8V1ABR7
PF08686 PLAC (protease and lacunin) domain,5,6,636,2004,2.63,0.014083526100249079,1.85,A0A8V0YUF6 A0A8V0YRN1 A0A1D5NZ82 A0A8V0ZGF6 A0A8V0ZA56
"PF09007 EBP50, C-terminal",2,2,636,2004,3.15,0.1006125542225794,1.0,A0A8V1AJV5 A0A8V0YXB1
"PF09172 Vitellinogen, open beta-sheet",4,6,636,2004,2.1,0.08480268093811207,1.07,A0A8V0ZF17 A0A8V0ZG90 A0A8V0Z932 A0A8V0ZDT7
"PF09175 Vitellinogen, beta-sheet shell",4,5,636,2004,2.52,0.037656577712836314,1.42,A0A8V0ZF17 A0A8V0ZG90 A0A8V0Z932 A0A8V0ZDT7
PF09258 Glycosyl transferase family 64 domain,2,4,636,2004,1.58,0.595859299398018,0.22,F1NGB8 A0A8V0ZXC9
"PF09279 Phosphoinositide-specific phospholipase C, efhand-like",2,3,636,2004,2.1,0.23811302792526792,0.62,A0A1D5NZL7 A0A8V1A5Y9
PF09289 Follistatin/Osteonectin-like EGF domain,2,3,636,2004,2.1,0.23811302792526792,0.62,A0A1I7Q421 A0A8V1A1C6
"PF09294 Interferon-alpha/beta receptor, fibronectin type III",3,3,636,2004,3.15,0.03186231737113419,1.5,A0A8V0ZFJ4 A0A8V0Y652 K9JA28
PF11838 ERAP1-like C-terminal domain,3,7,636,2004,1.35,0.6859676662222065,0.16,A0A8V0Y1W6 A0A8V0XA92 A0A1L1RVF4
