Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF14670 Coagulation Factor Xa inhibitory site,6,17,210,2004,3.37,0.00565995276439614,2.25,A0A8V0ZKI8 A0A8V0YIR4 A0A8V0YE20 A0A8V0Y070 A0A8V0Y6D2 A0A8V0ZF83
PF16184 Cadherin-like,2,3,210,2004,6.36,0.03053055147817248,1.52,A0A8V0YQU2 A0A8V0XS21
PF16470 Peptidase S8 pro-domain,2,3,210,2004,6.36,0.03053055147817248,1.52,A0A8V0YDL8 A0A8V0X4D8
PF16489 GPCR-Autoproteolysis INducing (GAIN) domain,2,4,210,2004,4.77,0.05686957896834947,1.25,A0A1D5PDV9 A0A8V0ZUU4
PF17771 ADAMTS cysteine-rich domain 2,2,7,210,2004,2.73,0.16146215305927067,0.79,A0A8V0ZCF7 A0A1D5NZ82
PF17887 Jak1 pleckstrin homology-like domain,2,2,210,2004,9.54,0.010934197506138325,1.96,A0A8V1A9R2 A0A8V0ZSN8
PF18377 FERM F2 acyl-CoA binding protein-like domain,2,2,210,2004,9.54,0.010934197506138325,1.96,A0A8V1A9R2 A0A8V0ZSN8
PF18379 FERM F1 ubiquitin-like domain,2,2,210,2004,9.54,0.010934197506138325,1.96,A0A8V1A9R2 A0A8V0ZSN8
PF19030 Thrombospondin type 1 domain,6,13,210,2004,4.4,0.0011256671287222934,2.95,A0A8V0YUF6 A0A8V0XVV0 A0A8V0YRN1 A0A1D5NZ82 A0A8V0ZGF6 A0A8V0ZCF7
PF19236 ADAMTS cysteine-rich domain,5,11,210,2004,4.34,0.0032826138409244583,2.48,A0A8V0YUF6 A0A8V0YRN1 A0A1D5NZ82 A0A8V0ZGF6 A0A8V0ZCF7
