Protein accession	Gene name	ratio	type
A0A8V1A6Y8	DNAH12	0.42229448233588784	Down
A0A8V0ZGF6	PAPLN	0.4555852912884884	Down
A0A8V1A6A3	NOP58	0.4761075315226439	Down
A0A8V0ZKI8	LRP6	0.5994042412579937	Down
A0A8V1A653	TIMP4	0.2388948787061995	Down
A0A8V1A4F4	DNAH1	0.5179732681152821	Down
A0A8V0ZI29	PTPRF	0.4902883132291873	Down
A0A8V1A449	KIF9	0.5090417453018724	Down
A0A8V1A2P5	CD9	0.545845492243895	Down
A0A8V1A2F9	MYO5B	0.3547971287996225	Down
A0A8V1A2F4	GALNT11	0.4489387100384229	Down
A0A8V0ZJ97	LOC121108097	0.448221949943753	Down
A0A8V1A1K6	LOC121106477	0.6150560688103789	Down
A0A8V0ZH54	RAMP2	0.58061301370891	Down
C7G540	OCX32	0.4877690636094543	Down
A0A8V0Z3C0	TRAIL-LIKE	0.6457234883029915	Down
E1C2T4	CSGALNACT2	0.4423492252315076	Down
A0A3Q2TT95	VWC2	0.4095737414464725	Down
A0A8V0YDT4	FBLN1	0.6201698347470401	Down
A0A8V0YDT5	PTPRD	0.3330203556244045	Down
A0A8V0YF22	BACE2	0.5658198983111474	Down
A0A8V0YFB8	ATP13A4	0.5207883518196769	Down
A0A8V0YFD4	UBE2D2	0.6016951336703473	Down
A0A1D5PZV7	CLDN23	0.6232972750770063	Down
A0A8V0YGN8	RAB21	0.6361559188361102	Down
A0A8V0YDG8	PREP	0.4813266358112703	Down
A0A1D5PT01	DDR1	0.4497226368490192	Down
A0A1D5PNB8	AHCY	0.06913007163542143	Down
A0A1D5PMF4	CRISP2	0.5745477028704314	Down
A0A1D5PLP1	NACA	0.5031587522865217	Down
A0A1D5PJN7	FSTL5	0.4171333257259101	Down
A0A1D5PIZ5	LRP12	0.4564440495443856	Down
A0A8V0YKF2	LOC419584	0.4519217046297882	Down
A0A8V0YLT1	CA2	0.6249689137578825	Down
A0A1D5PE57	COL3A1	0.6231511109277175	Down
A0A1D5PRH9	MAL2	0.6612065354000837	Down
A0A8V0YM05	SMAD5	0.6179087345808487	Down
A0A3Q2TU24	PDGFA	0.6646696562032886	Down
A0A3Q2TVX1	KY	0.5543993296259618	Down
A0A8V0Y7C8	MAN2A1	0.5274379505000621	Down
A0A8V0Y8G8	DNAH7	0.5562421740160413	Down
A0A8V0X5U3	NUMA1	0.4790391186461178	Down
A0A8V0X5K9	GPM6B	0.4736141030999812	Down
A0A8V0Y9F8	CES1L2	0.2557770239636929	Down
A0A8V0X2C5	--	0.4492603155244484	Down
A0A8V0X1T3	--	0.3905193424026233	Down
A0A8V0X097	FRMD8	0.6665405583085767	Down
A0A8V0YDD6	FN1	0.37660649597366536	Down
A0A8V0X061	C14ORF166B	0.4369650977770664	Down
A0A3Q3AST7	BBS9	0.4928406274948936	Down
A0A8V0YB43	RAB10	0.5576591562777341	Down
A0A3Q3A4U3	ROBO1	0.5148594875413955	Down
A0A3Q2UNH8	IMMP2L	0.4186001766957888	Down
A0A3Q2UGW3	NLGN4Y	0.633195850908719	Down
A0A3Q2U8T7	CREG2	0.5582290820801814	Down
A0A8V0YC57	PDE3A	0.536891852340478	Down
A0A3Q2U3T5	OGFR	0.31410225277393805	Down
A0A8V0WZN3	GAL3ST1	0.5382546068575609	Down
A0A8V0X8Z6	C1HXORF59	0.3101791133363329	Down
A0A1D5PDV9	ADGRL2	0.4957091413657538	Down
A0A8V0YNQ0	PTN	0.6654581514139771	Down
A0A8V0YW57	MSH2	0.17041119536751195	Down
A0A8V0YWM3	AIFM1	0.5832554646359674	Down
A0A8V0YXG4	HSPG2	0.5664682875145122	Down
Q5ZHX2	DNAL4	0.17429370811373546	Down
Q5ZHQ2	LGALSL	0.4887592216338852	Down
Q5ZHL0	ATP6V0D2	0.560750171762281	Down
Q0PVE4	PARD6B	0.35353799773319605	Down
P01875	--	0.04597809963393284	Down
A0A8V0YW12	FRK	0.6535247503689621	Down
A0A8V0YYQ9	LARGE1	0.34288332812279176	Down
F1NGB8	EXTL3	0.3267421427444495	Down
F1NEZ4	LOC121106448	0.5728519519754627	Down
F1NB63	HEXDCL	0.4974917475649218	Down
E1C9E0	MMP10	0.3150686258679154	Down
E1C744	PRSS23	0.5129485228034266	Down
E1C733	CCL26	0.6583648717108205	Down
A0A8V0Z1C5	CRLS1	0.3743596976856259	Down
E1C3Z8	DSE	0.4910146455270879	Down
A0A8V0YZJ3	GLB1	0.5285791234551981	Down
A0A8V0YMS7	CTGFL	0.4948951997524244	Down
A0A8V0YVT3	KIF3A	0.630165123684599	Down
R4GGQ4	TIMM13	0.6341456459828128	Down
A0A1D5P8S6	CYSTM1	0.5791370898463992	Down
A0A1D5P7Y2	TSPAN13	0.5792574194785526	Down
A0A8V0YPH9	TRIM2	0.30033626369329625	Down
A0A8V0YQC4	TARS	0.3978559425530355	Down
A0A1D5P655	CYFIP1	0.6143153160687238	Down
A0A8V0YR09	LBP	0.4196091421000331	Down
A0A1D5P1F1	SPHK1	0.4264758068604453	Down
A0A8V0YRF2	BIRC8	0.12470819804821515	Down
Q5ZMG8	RHOG2	0.5507279548598326	Down
A0A8V0YRG2	EPHB2	0.6268459414045737	Down
A0A1D5NZT1	IFT80	0.3519587147558101	Down
A0A1D5NZN4	FSTL3	0.5865395077579265	Down
A0A8V0YSB2	LOC424998	0.5325183320504778	Down
A0A1D5NYI4	HHIPL1	0.531258227139779	Down
A0A1D5NWP2	STIM1	0.5417708169812308	Down
A0A1D5NW03	NTNG1	0.22347896093323652	Down
A0A8V0YT63	NSUN7	0.6326838966202784	Down
A0A8V0YU83	ATP10A	0.6632068974386087	Down
A0A8V0YRK4	PLK2	0.4170432096548256	Down
A0A8V0Z6Q5	--	0.2642502170463731	Down
A0A8V0X6J5	TPTE	0.6019193601017412	Down
A0A8V0ZSX0	CNP	0.6026194772687584	Down
A0A8V0ZHL4	P4HA1	0.6167069127818933	Down
A0A8V0YS46	NDST1	0.39105182097512015	Down
Q00649	HSPB1	0.5969537382861132	Down
Q05744	CTSD	0.5801078130676873	Down
A0A8V1AFP7	METRNL	0.4979826441508308	Down
A0A8V1AFP1	CCDC180	0.4445785466303101	Down
A0A8V0ZHX5	VWA2	0.17010644659729698	Down
A0A8V1AFE7	LRG1	0.5812032222459497	Down
A0A8V1AFC3	WBP2	0.6351450252301528	Down
A0A8V0ZI47	GLB1L	0.6654270095886727	Down
A0A8V0ZIF0	NAGLU	0.4224402521005096	Down
A0A8V0YC98	NAGA	0.5114619547484839	Down
Q6JHU8	P3H1	0.5398693913884264	Down
A0A8V1AEJ4	HID1	0.516987045951299	Down
A0A8V0ZIX6	OVCH1	0.13114250017802004	Down
A0A8V1AE66	--	0.5174373208764923	Down
A0A8V0ZKM2	OVST	0.6630580080113132	Down
A0A8V0ZKV3	TMEM132A	0.6090368665960866	Down
A0A8V0Y6W2	GALNT2	0.5926532358709217	Down
A0A8V0ZLV6	SPAG17	0.5894723332775574	Down
A0A8V0ZMD5	COL11A1	0.35316327672774955	Down
Q98938	IHH	0.6210154397173417	Down
A0A8V1ACU1	POLDIP2	0.6501321477347466	Down
A0A8V0ZHK9	RPGRIP1L	0.5792426712098749	Down
A0A8V0ZMU3	OLFM3	0.6427960297766749	Down
A0A8V1AFY1	GIMAP7L5	0.14483208032922654	Down
A0A8V0Z1E9	MANBA	0.6626116405548349	Down
A0A8V1AMI7	TBL2	0.2590987544671779	Down
