Protein.accession	Protein.description	Gene.name	G1	G2	G3	label
A0A8V0XA92	Aminopeptidase OS=Gallus gallus OX=9031 GN=ENPEP PE=1 SV=1	ENPEP	0.673659295389687	0.765900328960332	1.56044037564998	A0A8V0XA92
A0A8V0Z4R1	S-adenosylmethionine synthase OS=Gallus gallus OX=9031 GN=MAT2L2 PE=3 SV=1	MAT2L2	0.680070946324518	0.744453160017929	1.57547589365755	A0A8V0Z4R1
E1C0K5	Milk fat globule EGF and factor V/VIII domain containing OS=Gallus gallus OX=9031 GN=MFGE8 PE=1 SV=3	MFGE8	0.815750248535381	0.957806112197473	1.22644363926715	E1C0K5
A0A8V0YIR4	Matrilin 2 OS=Gallus gallus OX=9031 GN=MATN2 PE=1 SV=1	MATN2	0.805033977110157	0.962014186933715	1.23295183595613	A0A8V0YIR4
A0A8V1ABA3	Glucosylceramidase OS=Gallus gallus OX=9031 GN=LOC107050229 PE=1 SV=1	LOC107050229	0.802760462176372	0.980169669399065	1.21706986842456	A0A8V1ABA3
A0A8V1A5P3	Leucine rich repeat containing 71 OS=Gallus gallus OX=9031 GN=LRRC71 PE=1 SV=1	LRRC71	0.798685752410399	0.970420902390614	1.23089334519899	A0A8V1A5P3
A0A8V0ZSN8	Tyrosine-protein kinase OS=Gallus gallus OX=9031 GN=JAK1 PE=1 SV=1	JAK1	0.794560936163787	0.977784284768549	1.22765477906766	A0A8V0ZSN8
A0A1I7Q421	Follistatin OS=Gallus gallus OX=9031 GN=FST PE=4 SV=2	FST	0.781904381614125	1.01235616399484	1.20573945439104	A0A1I7Q421
A0A1L1RKY9	Caldesmon 1 OS=Gallus gallus OX=9031 GN=CALD1 PE=1 SV=2	CALD1	0.79163541773945	0.99153925423369	1.21682532802686	A0A1L1RKY9
A0A8V0XBD4	Unconventional myosin-VI OS=Gallus gallus OX=9031 GN=MYO6 PE=3 SV=1	MYO6	0.7856691501712	0.982637511205161	1.23169333862364	A0A8V0XBD4
